"jahr","Dauersiedelungsraum","Versiegelt","Fläche","gemeinde","gkz","Versiegelt_percapita"
"2002",31587706406,1885313119,83882494215,"Österreich","00000",233
"2003",31545076200,1922947335.5,83876054403,"Österreich","00000",237
"2004",31493949193,1962104593.6,83872286647,"Österreich","00000",240
"2005",31471303238,1985822527.9,83873642420,"Österreich","00000",241
"2006",31456316243,2003463220.7,83895896516,"Österreich","00000",242
"2007",31433760748,2023395012.75,83889144900,"Österreich","00000",244
"2008",31405021532,2056905936.55,83884455656,"Österreich","00000",247
"2009",31377600739,2102180917.7,83870158849,"Österreich","00000",252
"2010",31372629956,2142497726.7,83884951694,"Österreich","00000",256
"2011",31359881979,2175899523.4,83885690203,"Österreich","00000",259
"2012",31296545487,2233973026.75,83881374938,"Österreich","00000",265
"2013",31286835014,2252813353,83882319264,"Österreich","00000",266
"2014",31272257636,2278799621.8,83882991248,"Österreich","00000",267
"2015",31264966982,2297607689.65,83882463737,"Österreich","00000",266
"2016",31247610152,2311991184.75,83881697148,"Österreich","00000",265
"2002",28825196,3171861.5,42909753,"Eisenstadt","10101",272
"2003",28776684,3109384.35,42885399,"Eisenstadt","10101",266
"2004",28773860,3150091.1,42884852,"Eisenstadt","10101",267
"2005",28778794,3163486.4,42884792,"Eisenstadt","10101",263
"2006",28796653,3169839.45,42885013,"Eisenstadt","10101",260
"2007",28799514,3187529.45,42885419,"Eisenstadt","10101",258
"2008",28872333,3658492.5,42882707,"Eisenstadt","10101",292
"2009",28871729,3670767.05,42882895,"Eisenstadt","10101",289
"2010",28866825,3687963.55,42882806,"Eisenstadt","10101",288
"2011",28867784,3709958.15,42883745,"Eisenstadt","10101",286
"2012",28703957,3496471.8,42883706,"Eisenstadt","10101",267
"2013",28632551,3502703.85,42812942,"Eisenstadt","10101",262
"2014",28700943,3520651.6,42881334,"Eisenstadt","10101",261
"2015",28701417,3528491.2,42881777,"Eisenstadt","10101",258
"2016",28701753,3590608.9,42882113,"Eisenstadt","10101",252
"2002",8324751,470126.5,20009575,"Rust","10201",272
"2003",8316049,474485.65,20009772,"Rust","10201",274
"2004",8316049,474485.65,20009772,"Rust","10201",269
"2005",8316049,474531.85,20009772,"Rust","10201",264
"2006",8315988,475530.6,20009787,"Rust","10201",264
"2007",8315988,475549.85,20009787,"Rust","10201",262
"2008",8385006,602920.15,20009582,"Rust","10201",332
"2009",8385006,603466.15,20009582,"Rust","10201",322
"2010",8384982,604507.25,20009558,"Rust","10201",322
"2011",8385003,606361.5,20009579,"Rust","10201",321
"2012",8371469,631165.35,20009630,"Rust","10201",334
"2013",8371484,635739.65,20009642,"Rust","10201",331
"2014",8371485,635781,20009643,"Rust","10201",327
"2015",8371428,635980.2,20009586,"Rust","10201",330
"2016",8371493,636520.35,20009651,"Rust","10201",333
"2002",9748593,637189.7,25751070,"Breitenbrunn am Neusiedler See","10301",370
"2003",9753061,640188.85,25751101,"Breitenbrunn am Neusiedler See","10301",371
"2004",9754157,641773.75,25751085,"Breitenbrunn am Neusiedler See","10301",368
"2005",9754032,641821.95,25750960,"Breitenbrunn am Neusiedler See","10301",365
"2006",9754429,648886.85,25751357,"Breitenbrunn am Neusiedler See","10301",367
"2007",9751058,662838.25,25751338,"Breitenbrunn am Neusiedler See","10301",372
"2008",9238670,751202.25,25751274,"Breitenbrunn am Neusiedler See","10301",414
"2009",9238701,753433.6,25751257,"Breitenbrunn am Neusiedler See","10301",407
"2010",9238707,755383.05,25751263,"Breitenbrunn am Neusiedler See","10301",401
"2011",9238737,759463.75,25751293,"Breitenbrunn am Neusiedler See","10301",402
"2012",9201530,773286.95,25750751,"Breitenbrunn am Neusiedler See","10301",406
"2013",9202692,774118.5,25750791,"Breitenbrunn am Neusiedler See","10301",406
"2014",9202897,775756.3,25750996,"Breitenbrunn am Neusiedler See","10301",404
"2015",9155578,767448.55,25751022,"Breitenbrunn am Neusiedler See","10301",402
"2016",9155592,769274.1,25751036,"Breitenbrunn am Neusiedler See","10301",402
"2002",13475738,934051.5,33874845,"Donnerskirchen","10302",570
"2003",13476322,926886,33874929,"Donnerskirchen","10302",562
"2004",13476360,926408.05,33874967,"Donnerskirchen","10302",558
"2005",13476380,925981.3,33874943,"Donnerskirchen","10302",546
"2006",13476265,939751.75,33874826,"Donnerskirchen","10302",552
"2007",13476139,965594.55,33874697,"Donnerskirchen","10302",562
"2008",13662551,1081583.35,33873892,"Donnerskirchen","10302",630
"2009",13662699,1082398.65,33873954,"Donnerskirchen","10302",626
"2010",13667903,1083750.6,33874130,"Donnerskirchen","10302",632
"2011",13674609,1083939.65,33873997,"Donnerskirchen","10302",631
"2012",13312601,876026.85,33874044,"Donnerskirchen","10302",503
"2013",13312612,876167.25,33873946,"Donnerskirchen","10302",506
"2014",13313196,876126.3,33873853,"Donnerskirchen","10302",506
"2015",13315739,876702.55,33873781,"Donnerskirchen","10302",504
"2016",13316552,898233.7,33874594,"Donnerskirchen","10302",514
"2002",9641566,923588.5,14252840,"Großhöflein","10303",511
"2003",9484320,791953.5,14252857,"Großhöflein","10303",436
"2004",9484364,793329.6,14252901,"Großhöflein","10303",440
"2005",9484238,791237.1,14252775,"Großhöflein","10303",435
"2006",9484171,791266.9,14252708,"Großhöflein","10303",428
"2007",9484181,815916.9,14252718,"Großhöflein","10303",448
"2008",9821044,1156146.8,14252857,"Großhöflein","10303",627
"2009",9798244,1157260.4,14252824,"Großhöflein","10303",623
"2010",9798150,1157049.65,14252730,"Großhöflein","10303",613
"2011",9797919,1158355.3,14252425,"Großhöflein","10303",606
"2012",9936437,970293.2,14252498,"Großhöflein","10303",500
"2013",9803627,962821.3,14252693,"Großhöflein","10303",482
"2014",9803391,963557.95,14252694,"Großhöflein","10303",474
"2015",9803350,966505.75,14252653,"Großhöflein","10303",472
"2016",9803516,969544.6,14252820,"Großhöflein","10303",469
"2002",15661929,1385013.05,37069910,"Hornstein","10304",526
"2003",15781005,1297729.75,37069940,"Hornstein","10304",491
"2004",15780880,1297721.75,37069838,"Hornstein","10304",496
"2005",15781670,1299327.5,37069840,"Hornstein","10304",495
"2006",15781545,1298510.25,37069715,"Hornstein","10304",498
"2007",15781563,1298465.25,37069738,"Hornstein","10304",498
"2008",15781487,1300652.6,37069662,"Hornstein","10304",486
"2009",15807441,1586079.5,37069726,"Hornstein","10304",579
"2010",15807472,1596699.2,37069757,"Hornstein","10304",586
"2011",15806907,1606997.65,37069235,"Hornstein","10304",582
"2012",15178496,1240137.45,37068659,"Hornstein","10304",449
"2013",15178017,1242697.25,37068659,"Hornstein","10304",446
"2014",15209565,1242908.2,37068572,"Hornstein","10304",444
"2015",15209703,1284027.1,37068710,"Hornstein","10304",449
"2016",15210462,1294731.7,37069469,"Hornstein","10304",444
"2002",3563979,230156.9,4824608,"Klingenbach","10305",196
"2003",3563098,266449.75,4824615,"Klingenbach","10305",226
"2004",3549345,322619.35,4825175,"Klingenbach","10305",273
"2005",3549396,322619.35,4825226,"Klingenbach","10305",276
"2006",3549396,324091.7,4825226,"Klingenbach","10305",277
"2007",3548992,327504.85,4825195,"Klingenbach","10305",282
"2008",3391244,348874.05,4825207,"Klingenbach","10305",306
"2009",3391240,348948.8,4825203,"Klingenbach","10305",296
"2010",3392226,349687.65,4826189,"Klingenbach","10305",298
"2011",3392235,349658.75,4826087,"Klingenbach","10305",294
"2012",3348666,314143.15,4826030,"Klingenbach","10305",269
"2013",3348878,314774.6,4826242,"Klingenbach","10305",269
"2014",3348820,314774.6,4826184,"Klingenbach","10305",267
"2015",3348808,314454.95,4826172,"Klingenbach","10305",267
"2016",3347964,314264.35,4826167,"Klingenbach","10305",252
"2002",17168756,617540,18946727,"Leithaprodersdorf","10306",526
"2003",17169283,617536.8,18946467,"Leithaprodersdorf","10306",522
"2004",17169554,624626.3,18946451,"Leithaprodersdorf","10306",532
"2005",17171624,625715.6,18948199,"Leithaprodersdorf","10306",534
"2006",17172512,627376.05,18948199,"Leithaprodersdorf","10306",539
"2007",17172507,627376.05,18948194,"Leithaprodersdorf","10306",542
"2008",17076455,715324.95,18948194,"Leithaprodersdorf","10306",619
"2009",17076695,714611.2,18948370,"Leithaprodersdorf","10306",618
"2010",17076736,714968,18948380,"Leithaprodersdorf","10306",618
"2011",17076758,717825.85,18948374,"Leithaprodersdorf","10306",621
"2012",17090226,724809.5,18948421,"Leithaprodersdorf","10306",626
"2013",17090273,724972.45,18948468,"Leithaprodersdorf","10306",620
"2014",17078369,723071.35,18948461,"Leithaprodersdorf","10306",616
"2015",17078292,726361.75,18948384,"Leithaprodersdorf","10306",619
"2016",17060810,735488.35,18948337,"Leithaprodersdorf","10306",620
"2002",11111740,665598.1,28050973,"Mörbisch am See","10307",288
"2003",11111771,664783.05,28051004,"Mörbisch am See","10307",287
"2004",11111308,670954.1,28050949,"Mörbisch am See","10307",290
"2005",11111647,676003.1,28051288,"Mörbisch am See","10307",290
"2006",11106000,685634.8,28050812,"Mörbisch am See","10307",293
"2007",11105948,685613.8,28050760,"Mörbisch am See","10307",291
"2008",11109919,801964.85,28050840,"Mörbisch am See","10307",336
"2009",11109919,803971.7,28050840,"Mörbisch am See","10307",340
"2010",11109930,804454.45,28050851,"Mörbisch am See","10307",342
"2011",11109891,808445.85,28050830,"Mörbisch am See","10307",348
"2012",11047878,829845.85,28050834,"Mörbisch am See","10307",358
"2013",11047872,831728.45,28050834,"Mörbisch am See","10307",364
"2014",11048096,832912.9,28050957,"Mörbisch am See","10307",365
"2015",11048139,833176.9,28051000,"Mörbisch am See","10307",368
"2016",11047648,834097.15,28051000,"Mörbisch am See","10307",367
"2002",9775108,693615.35,12795413,"Müllendorf","10308",559
"2003",9775610,697215.85,12795694,"Müllendorf","10308",556
"2004",9775574,692977.05,12795628,"Müllendorf","10308",547
"2005",9775583,692133.9,12795637,"Müllendorf","10308",543
"2006",9776236,693690.65,12795868,"Müllendorf","10308",527
"2007",9776205,695393.45,12795837,"Müllendorf","10308",531
"2008",9893944,941796.6,12796035,"Müllendorf","10308",730
"2009",9893630,942563.2,12795712,"Müllendorf","10308",721
"2010",9893658,958405.7,12795740,"Müllendorf","10308",723
"2011",9893680,958539.65,12795762,"Müllendorf","10308",708
"2012",9950434,860069.8,12795829,"Müllendorf","10308",648
"2013",9950326,861041.15,12795721,"Müllendorf","10308",636
"2014",9950327,867797.6,12795712,"Müllendorf","10308",641
"2015",9952542,875105.75,12795734,"Müllendorf","10308",636
"2016",9952986,877203.45,12795838,"Müllendorf","10308",632
"2002",3601405,439982.4,4241884,"Neufeld an der Leitha","10309",148
"2003",3602148,441411.45,4242589,"Neufeld an der Leitha","10309",149
"2004",3602075,443073.35,4242551,"Neufeld an der Leitha","10309",148
"2005",3601928,444220.2,4242404,"Neufeld an der Leitha","10309",146
"2006",3601928,444894.9,4242404,"Neufeld an der Leitha","10309",145
"2007",3601657,445043.05,4242302,"Neufeld an der Leitha","10309",145
"2008",3602081,552526.9,4242379,"Neufeld an der Leitha","10309",176
"2009",3644750,560615,4292524,"Neufeld an der Leitha","10309",177
"2010",3644501,560624.3,4292292,"Neufeld an der Leitha","10309",178
"2011",3644247,561202.15,4292002,"Neufeld an der Leitha","10309",181
"2012",3639131,584058.35,4292054,"Neufeld an der Leitha","10309",183
"2013",3638103,585811.7,4292047,"Neufeld an der Leitha","10309",184
"2014",3637922,586373.95,4291866,"Neufeld an der Leitha","10309",183
"2015",3637863,586683.1,4291826,"Neufeld an der Leitha","10309",180
"2016",3638051,591527.2,4292014,"Neufeld an der Leitha","10309",183
"2002",15672650,505949.65,52192629,"Oggau am Neusiedler See","10310",283
"2003",15674265,508860.4,52183832,"Oggau am Neusiedler See","10310",288
"2004",15682540,508390.6,52192177,"Oggau am Neusiedler See","10310",282
"2005",15682541,508418.1,52192178,"Oggau am Neusiedler See","10310",280
"2006",15682543,508485.75,52192180,"Oggau am Neusiedler See","10310",281
"2007",15682862,520645.75,52192499,"Oggau am Neusiedler See","10310",288
"2008",15756392,669626.6,52192491,"Oggau am Neusiedler See","10310",371
"2009",15756848,671709.65,52192948,"Oggau am Neusiedler See","10310",374
"2010",15756848,671903.75,52192948,"Oggau am Neusiedler See","10310",375
"2011",15756848,675544.5,52192948,"Oggau am Neusiedler See","10310",374
"2012",15734992,651289.05,52192930,"Oggau am Neusiedler See","10310",360
"2013",15735013,652013.3,52192951,"Oggau am Neusiedler See","10310",364
"2014",15732612,651175,52192983,"Oggau am Neusiedler See","10310",365
"2015",15732602,651247.35,52192973,"Oggau am Neusiedler See","10310",370
"2016",15732326,654000,52192707,"Oggau am Neusiedler See","10310",370
"2002",12334020,702858.75,17832639,"Oslip","10311",533
"2003",12334046,702751.1,17832665,"Oslip","10311",534
"2004",12334242,703304.25,17832709,"Oslip","10311",545
"2005",12333704,706734.6,17832171,"Oslip","10311",545
"2006",12336616,705229.5,17832171,"Oslip","10311",537
"2007",12336491,710486.15,17832046,"Oslip","10311",551
"2008",12254300,706885.5,17831908,"Oslip","10311",545
"2009",12254338,707236.85,17832014,"Oslip","10311",538
"2010",12254363,709914.95,17832009,"Oslip","10311",538
"2011",12254359,710538.15,17832005,"Oslip","10311",540
"2012",12210960,636842.25,17831721,"Oslip","10311",498
"2013",12210917,637807.55,17831678,"Oslip","10311",501
"2014",12211141,638042.95,17831678,"Oslip","10311",499
"2015",12211141,638050.15,17831678,"Oslip","10311",504
"2016",12213364,651042.05,17831317,"Oslip","10311",521
"2002",19390038,896262.9,45843019,"Purbach am Neusiedler See","10312",349
"2003",19382018,899232.3,45836116,"Purbach am Neusiedler See","10312",350
"2004",19382002,899021.5,45836100,"Purbach am Neusiedler See","10312",347
"2005",19381474,904161.65,45836299,"Purbach am Neusiedler See","10312",345
"2006",19378462,955061.6,45836020,"Purbach am Neusiedler See","10312",362
"2007",19378628,970540.85,45836139,"Purbach am Neusiedler See","10312",364
"2008",19359401,1099473.7,45836202,"Purbach am Neusiedler See","10312",412
"2009",19359492,1102977.25,45836275,"Purbach am Neusiedler See","10312",406
"2010",19359174,1102828.8,45835957,"Purbach am Neusiedler See","10312",404
"2011",19358588,1107103.95,45835371,"Purbach am Neusiedler See","10312",406
"2012",19150581,1014306.3,45835125,"Purbach am Neusiedler See","10312",376
"2013",19150502,1020184.2,45835046,"Purbach am Neusiedler See","10312",375
"2014",19158262,1020489.5,45835001,"Purbach am Neusiedler See","10312",370
"2015",19158513,1022043.05,45835253,"Purbach am Neusiedler See","10312",371
"2016",19159216,1023877.5,45835126,"Purbach am Neusiedler See","10312",361
"2002",20144385,792836.6,26537373,"Sankt Margarethen im Burgenland","10313",286
"2003",20066787,861336.3,26537057,"Sankt Margarethen im Burgenland","10313",311
"2004",20053885,862557.9,26536989,"Sankt Margarethen im Burgenland","10313",311
"2005",20053859,863098.05,26536963,"Sankt Margarethen im Burgenland","10313",311
"2006",20052148,870576.1,26537003,"Sankt Margarethen im Burgenland","10313",313
"2007",20052188,883224.95,26537043,"Sankt Margarethen im Burgenland","10313",318
"2008",20042635,1074830.85,26536918,"Sankt Margarethen im Burgenland","10313",391
"2009",20040622,1073802,26536766,"Sankt Margarethen im Burgenland","10313",393
"2010",20034620,1090646.35,26536341,"Sankt Margarethen im Burgenland","10313",399
"2011",20035034,1091849.9,26536755,"Sankt Margarethen im Burgenland","10313",400
"2012",20003441,1097727.85,26536235,"Sankt Margarethen im Burgenland","10313",405
"2013",20003761,1096341.15,26536338,"Sankt Margarethen im Burgenland","10313",405
"2014",20003733,1096406.05,26536310,"Sankt Margarethen im Burgenland","10313",405
"2015",19999080,1098009.6,26536331,"Sankt Margarethen im Burgenland","10313",409
"2016",19998932,1098194,26536183,"Sankt Margarethen im Burgenland","10313",413
"2002",11883294,701722.9,21200212,"Schützen am Gebirge","10314",510
"2003",11725147,668758.15,21200219,"Schützen am Gebirge","10314",483
"2004",11725338,694355.15,21200308,"Schützen am Gebirge","10314",505
"2005",11726750,694423.15,21200304,"Schützen am Gebirge","10314",494
"2006",11726750,696177.05,21200304,"Schützen am Gebirge","10314",498
"2007",11726719,691639.75,21200273,"Schützen am Gebirge","10314",500
"2008",11706144,774138.95,21200408,"Schützen am Gebirge","10314",557
"2009",11706091,776821.2,21200358,"Schützen am Gebirge","10314",553
"2010",11706130,777348.8,21200397,"Schützen am Gebirge","10314",551
"2011",11706180,776745.2,21200447,"Schützen am Gebirge","10314",545
"2012",11394228,561264.8,21200483,"Schützen am Gebirge","10314",402
"2013",11394269,564011,21200524,"Schützen am Gebirge","10314",397
"2014",11394204,565508.1,21200459,"Schützen am Gebirge","10314",407
"2015",11392311,568765.65,21200488,"Schützen am Gebirge","10314",411
"2016",11387706,569203.75,21200901,"Schützen am Gebirge","10314",408
"2002",17898702,695590,23056581,"Siegendorf","10315",257
"2003",17658303,774759.25,23057590,"Siegendorf","10315",287
"2004",17658291,772196.65,23057578,"Siegendorf","10315",285
"2005",17658594,777746.85,23057624,"Siegendorf","10315",288
"2006",17658743,801568.75,23057793,"Siegendorf","10315",294
"2007",17718870,822296.6,23058039,"Siegendorf","10315",300
"2008",17721925,985104.35,23058140,"Siegendorf","10315",352
"2009",17722634,986584,23058849,"Siegendorf","10315",352
"2010",17722602,1000938.35,23058817,"Siegendorf","10315",347
"2011",17722932,1004027.7,23059147,"Siegendorf","10315",346
"2012",17711001,969153.55,23059543,"Siegendorf","10315",328
"2013",17711219,971853.8,23059753,"Siegendorf","10315",331
"2014",17711636,969506.9,23061028,"Siegendorf","10315",329
"2015",17711801,976240.85,23061193,"Siegendorf","10315",328
"2016",17711981,985962.4,23061371,"Siegendorf","10315",334
"2002",14291356,682969.65,15405301,"Steinbrunn","10316",363
"2003",14240571,718117,15404771,"Steinbrunn","10316",377
"2004",14232129,718208.1,15404758,"Steinbrunn","10316",371
"2005",14235768,720182.8,15404785,"Steinbrunn","10316",366
"2006",14235939,723119.4,15404956,"Steinbrunn","10316",350
"2007",14235940,725127.3,15405288,"Steinbrunn","10316",342
"2008",14208392,896175.65,15355448,"Steinbrunn","10316",410
"2009",14207741,900701,15355448,"Steinbrunn","10316",399
"2010",14207750,904433.15,15355457,"Steinbrunn","10316",393
"2011",14208663,903986.7,15356370,"Steinbrunn","10316",389
"2012",14191349,921676.9,15356285,"Steinbrunn","10316",389
"2013",14191968,922282.1,15356226,"Steinbrunn","10316",374
"2014",14192506,920489.8,15356303,"Steinbrunn","10316",370
"2015",14192552,920841.65,15356387,"Steinbrunn","10316",369
"2016",14192198,923090.25,15356386,"Steinbrunn","10316",355
"2002",13714122,658502.55,15437874,"Trausdorf an der Wulka","10317",378
"2003",13647300,627106.95,15437874,"Trausdorf an der Wulka","10317",356
"2004",13646753,627379.65,15437915,"Trausdorf an der Wulka","10317",353
"2005",13647145,626431.1,15437862,"Trausdorf an der Wulka","10317",353
"2006",13647189,630014.75,15437906,"Trausdorf an der Wulka","10317",354
"2007",13466798,649747.2,15441448,"Trausdorf an der Wulka","10317",355
"2008",13479265,720355.15,15438013,"Trausdorf an der Wulka","10317",385
"2009",13479075,724140.75,15437823,"Trausdorf an der Wulka","10317",387
"2010",13479075,724226.75,15437823,"Trausdorf an der Wulka","10317",390
"2011",13479161,725655,15437909,"Trausdorf an der Wulka","10317",386
"2012",13508800,732814.2,15437988,"Trausdorf an der Wulka","10317",385
"2013",13508972,733343.35,15438159,"Trausdorf an der Wulka","10317",380
"2014",13515543,738755.6,15438167,"Trausdorf an der Wulka","10317",375
"2015",13470761,740550.25,15437107,"Trausdorf an der Wulka","10317",370
"2016",13471280,742225.95,15437626,"Trausdorf an der Wulka","10317",365
"2002",6456769,271460.5,7913939,"Wimpassing an der Leitha","10318",244
"2003",6593804,325849.65,7913861,"Wimpassing an der Leitha","10318",285
"2004",6596846,339483.15,7913846,"Wimpassing an der Leitha","10318",301
"2005",6594430,341849.25,7913843,"Wimpassing an der Leitha","10318",306
"2006",6596567,343193.7,7913739,"Wimpassing an der Leitha","10318",302
"2007",6597847,368534.85,7914285,"Wimpassing an der Leitha","10318",321
"2008",6597835,371155.5,7914273,"Wimpassing an der Leitha","10318",318
"2009",6601960,399026.05,7914273,"Wimpassing an der Leitha","10318",333
"2010",6601925,399582,7914238,"Wimpassing an der Leitha","10318",333
"2011",6602184,401585.7,7914278,"Wimpassing an der Leitha","10318",324
"2012",6604063,394743.3,7914195,"Wimpassing an der Leitha","10318",312
"2013",6601794,402671.7,7914204,"Wimpassing an der Leitha","10318",303
"2014",6601645,404682.4,7913586,"Wimpassing an der Leitha","10318",293
"2015",6605635,407932.6,7913641,"Wimpassing an der Leitha","10318",289
"2016",6605638,411127.55,7913644,"Wimpassing an der Leitha","10318",283
"2002",12159859,635120.05,12224337,"Wulkaprodersdorf","10319",336
"2003",12160718,668865.15,12224337,"Wulkaprodersdorf","10319",353
"2004",12160578,669450.85,12224337,"Wulkaprodersdorf","10319",355
"2005",12160529,669517.3,12224288,"Wulkaprodersdorf","10319",356
"2006",12160536,669555.75,12224295,"Wulkaprodersdorf","10319",358
"2007",12160074,669320.75,12224313,"Wulkaprodersdorf","10319",359
"2008",12160127,669872.55,12224366,"Wulkaprodersdorf","10319",361
"2009",12151582,749569.1,12224696,"Wulkaprodersdorf","10319",405
"2010",12151650,748600.35,12224764,"Wulkaprodersdorf","10319",404
"2011",12151734,749803.3,12224848,"Wulkaprodersdorf","10319",398
"2012",11735258,917841.15,12219921,"Wulkaprodersdorf","10319",487
"2013",11735203,918715.25,12219866,"Wulkaprodersdorf","10319",486
"2014",11735198,924214.9,12219861,"Wulkaprodersdorf","10319",485
"2015",11735245,924347.25,12219908,"Wulkaprodersdorf","10319",488
"2016",11742649,923114.25,12219909,"Wulkaprodersdorf","10319",481
"2002",1775403,116798.55,2380613,"Loretto","10320",322
"2003",1775403,117000,2380613,"Loretto","10320",315
"2004",1775403,117031.3,2380613,"Loretto","10320",318
"2005",1775337,117511.95,2380525,"Loretto","10320",308
"2006",1775985,120305.3,2380995,"Loretto","10320",301
"2007",1775985,120305.3,2380995,"Loretto","10320",305
"2008",1831494,175545.05,2380995,"Loretto","10320",429
"2009",1831494,175743.05,2380995,"Loretto","10320",404
"2010",1831494,175446.8,2380995,"Loretto","10320",394
"2011",1831494,176782.8,2380995,"Loretto","10320",386
"2012",1839038,145570.35,2380992,"Loretto","10320",314
"2013",1839037,145570.35,2380991,"Loretto","10320",316
"2014",1839037,145573.95,2380991,"Loretto","10320",315
"2015",1836095,143281.85,2380991,"Loretto","10320",307
"2016",1836156,143822.45,2381052,"Loretto","10320",309
"2002",4985050,382692.9,12910903,"Stotzing","10321",494
"2003",4985096,382852.15,12910949,"Stotzing","10321",491
"2004",4989488,386808.3,12911309,"Stotzing","10321",490
"2005",4989515,387054.15,12911350,"Stotzing","10321",478
"2006",4988870,396104.35,12911248,"Stotzing","10321",495
"2007",4988897,396112.4,12911275,"Stotzing","10321",492
"2008",4988683,396404.15,12911061,"Stotzing","10321",486
"2009",4987693,424093.5,12911061,"Stotzing","10321",519
"2010",4987693,424230.15,12911061,"Stotzing","10321",526
"2011",4987682,425204.45,12911050,"Stotzing","10321",530
"2012",4789969,300996.25,12911025,"Stotzing","10321",374
"2013",4789968,301084.7,12911024,"Stotzing","10321",376
"2014",4785191,301178.25,12911024,"Stotzing","10321",371
"2015",4775108,299367.65,12911103,"Stotzing","10321",358
"2016",4775148,299903.9,12911103,"Stotzing","10321",358
"2002",12447507,356908.1,13100947,"Zillingtal","10322",417
"2003",12447523,358763.95,13100963,"Zillingtal","10322",409
"2004",12447523,358938.85,13100963,"Zillingtal","10322",402
"2005",12447745,363473.45,13101106,"Zillingtal","10322",407
"2006",12448837,364393,13101108,"Zillingtal","10322",411
"2007",12449192,382168.3,13101117,"Zillingtal","10322",427
"2008",12449217,382542.25,13101120,"Zillingtal","10322",432
"2009",12451225,422928.95,13101120,"Zillingtal","10322",474
"2010",12451224,422648.4,13101120,"Zillingtal","10322",457
"2011",12451241,423704.15,13101137,"Zillingtal","10322",461
"2012",12433484,407137.45,13101107,"Zillingtal","10322",438
"2013",12433284,407112.25,13101107,"Zillingtal","10322",440
"2014",12433265,407447.9,13101089,"Zillingtal","10322",440
"2015",12432545,393488.95,13101071,"Zillingtal","10322",424
"2016",12432615,394802.6,13100933,"Zillingtal","10322",427
"2002",5944335,297439.75,7297528,"Zagersdorf","10323",325
"2003",5984511,319928.1,7297521,"Zagersdorf","10323",352
"2004",5984858,319642.8,7297868,"Zagersdorf","10323",352
"2005",5984858,319622.2,7297868,"Zagersdorf","10323",343
"2006",5984819,319759.25,7297829,"Zagersdorf","10323",332
"2007",5984819,333017.35,7297829,"Zagersdorf","10323",347
"2008",5984487,356601.1,7297775,"Zagersdorf","10323",373
"2009",6000587,356776.9,7297789,"Zagersdorf","10323",372
"2010",6000090,356413.65,7297292,"Zagersdorf","10323",374
"2011",5989673,357996.15,7297246,"Zagersdorf","10323",370
"2012",5894180,315518.1,7297303,"Zagersdorf","10323",318
"2013",5894180,315724.1,7297303,"Zagersdorf","10323",320
"2014",5868995,316101.7,7297303,"Zagersdorf","10323",317
"2015",5869209,315788.6,7297517,"Zagersdorf","10323",316
"2016",5869156,316220.3,7297464,"Zagersdorf","10323",314
"2002",7655033,355482,9990882,"Bocksdorf","10401",451
"2003",7696762,388134.3,9990882,"Bocksdorf","10401",491
"2004",7697003,388243.2,9990882,"Bocksdorf","10401",505
"2005",7696989,388622.7,9990868,"Bocksdorf","10401",505
"2006",7696739,390196.4,9990771,"Bocksdorf","10401",498
"2007",7696728,391083.65,9990760,"Bocksdorf","10401",496
"2008",7717286,408805.65,9990788,"Bocksdorf","10401",508
"2009",7717239,409729.05,9990742,"Bocksdorf","10401",516
"2010",7690784,410155.7,9990898,"Bocksdorf","10401",513
"2011",7690696,411371.7,9990810,"Bocksdorf","10401",510
"2012",7688002,432202.55,9990807,"Bocksdorf","10401",540
"2013",7692443,432221.95,9990766,"Bocksdorf","10401",541
"2014",7692443,431825.75,9990766,"Bocksdorf","10401",544
"2015",7692443,431697.95,9990766,"Bocksdorf","10401",536
"2016",7689601,431014.15,9990766,"Bocksdorf","10401",541
"2002",8369433,577361.9,10912736,"Burgauberg-Neudauberg","10402",440
"2003",8367498,630450.85,10912765,"Burgauberg-Neudauberg","10402",474
"2004",8371484,637647.05,10912851,"Burgauberg-Neudauberg","10402",478
"2005",8369918,637819.95,10912787,"Burgauberg-Neudauberg","10402",472
"2006",8370776,639627.15,10913728,"Burgauberg-Neudauberg","10402",470
"2007",8370776,641195.2,10913728,"Burgauberg-Neudauberg","10402",466
"2008",8360222,657705.8,10912860,"Burgauberg-Neudauberg","10402",475
"2009",8361491,657295.45,10912845,"Burgauberg-Neudauberg","10402",468
"2010",8361518,660617.45,10912870,"Burgauberg-Neudauberg","10402",474
"2011",8361068,666968.25,10912780,"Burgauberg-Neudauberg","10402",494
"2012",8302152,736973.35,10912870,"Burgauberg-Neudauberg","10402",537
"2013",8302152,736973.35,10912870,"Burgauberg-Neudauberg","10402",537
"2014",8302145,737704.35,10912861,"Burgauberg-Neudauberg","10402",542
"2015",8302171,737893.5,10912872,"Burgauberg-Neudauberg","10402",534
"2016",8303196,738509.1,10912903,"Burgauberg-Neudauberg","10402",541
"2002",19305311,879136.5,30747685,"Eberau","10403",875
"2003",19301259,888025.1,30719164,"Eberau","10403",894
"2004",19229556,888382.45,30674300,"Eberau","10403",922
"2005",19100336,1043242.7,30808981,"Eberau","10403",1096
"2006",19071478,1043440.85,30780881,"Eberau","10403",1104
"2007",18999278,1064416.95,30730585,"Eberau","10403",1124
"2008",18996346,1072773.95,30742123,"Eberau","10403",1097
"2009",18841620,1036617.75,30735581,"Eberau","10403",1069
"2010",18815609,1037801.95,30735568,"Eberau","10403",1031
"2011",18805713,1038662.8,30735582,"Eberau","10403",1035
