"KG-NR";"KATASTRALGEMEINDE";"BUNDESLAND";"VERMESSUNGSAMT";"BEZIRKSGERICHT";"FINANZAMT";"BEZIRKSHAUPTMANNSCHAFT/MAGISTRAT";"PG-NR";"POLITISCHE GEMEINDE";"ANZ_EZ";"ANZ_GST";"ANZ_GST GK";"ANZ_BAUFLÄCHEN";"FL_BAUFLÄCHEN";"ANZ_Gebäude";"FL_Gebäude";"ANZ_befestigt";"FL_befestigt";"ANZ_begrünt";"FL_begrünt";"ANZ_BAUFLÄCHEN n.n.u.";"FL_BAUFLÄCHEN n.n.u.";"ANZ_LANDW. GENUTZT";"FL_LANDW. GENUTZT";"ANZ_GÄRTEN";"FL_GÄRTEN";"ANZ_Erholungsflächen";"FL_Erholungsflächen";"ANZ_WEINGÄRTEN";"FL_WEINGÄRTEN";"ANZ_ALPEN";"FL_ALPEN";"ANZ_WALD";"FL_WALD";"ANZ_GEWÄSSER";"FL_GEWÄSSER";"ANZ_fließend";"FL_fließend";"ANZ_stehend";"FL_stehend";"ANZ_Sumpf";"FL_Sumpf";"ANZ_GEWÄSSER n.n.u.";"FL_GEWÄSSER n.n.u.";"ANZ_SONSTIGE";"FL_SONSTIGE";"ANZ_Straßenanlagen";"FL_Straßenanlagen";"ANZ_Bahnanlagen";"FL_Bahnanlagen";"ANZ_Abbauflächen";"FL_Abbauflächen";"ANZ_Ödland";"FL_Ödland";"ANZ_SONSTIGE n.n.u.";"FL_SONSTIGE n.n.u.";"FL_KATASTRALGEMEINDE";"MER";"ZENTRUM Bezeichnung";"y-Koord";"x-Koord";"y-ggmmss";"x-ggmmss";"Höhe";"ANZ_TP";"ANZ_EP";"ANZ_EPterr";"ANZ_EPphot";"ANZ_GP";"ANZ_GP E";"ANZ_GP S";"ANZ_GP G";"ANZ_GP PP"
"01002";"Alsergrund";"Wien";"Wien";"Josefstadt";"f.d.9/18/19 Bez.,Klosterneuburg";"Alsergrund";"90001";"Wien";1620;2424;154;3733;1814684;1726;1212186;1554;279609;426;296753;27;26136;0;0;58;241256;58;241256;0;0;0;0;0;0;10;11710;10;11710;0;0;0;0;0;0;574;892159;528;815404;44;54162;0;0;0;0;2;22593;2959809;34;"Chemisch-physikalisches Institut";+1762;+342442;162125;481315;177;38;9;9;0;3256;1548;0;1708;0
"01004";"Innere Stadt";"Wien";"Wien";"Innere Stadt Wien";"f.d.1.Bez. in Wien";"Innere Stadt";"90001";"Wien";1321;1989;45;2788;1404777;1452;1119634;1253;219692;48;36726;35;28725;0;0;61;372621;60;372039;0;0;0;0;0;0;5;33948;1;29483;4;4465;0;0;0;0;614;1065327;604;1051607;8;3132;0;0;0;0;2;10588;2876673;34;"St. Stefan Dom";+3041;+341095;162227;481232;171;48;3;3;0;3980;3268;0;712;0
"01005";"Josefstadt";"Wien";"Wien";"Josefstadt";"f.d.8.,16.u.17.Bez. in Wien";"Josefstadt";"90001";"Wien";952;1377;87;2236;763167;1008;511929;865;135308;351;112073;12;3857;0;0;16;23477;16;23477;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202;302513;196;297366;6;5147;0;0;0;0;0;0;1089157;34;"Piaristenkirche";+1299;+341350;162103;481240;195;13;10;10;0;1425;803;0;622;0
"01006";"Landstraße";"Wien";"Wien";"Innere Stadt Wien";"f.d.3/11 Bez,Schwechat,Gerasdorf";"Landstraße";"90001";"Wien";2768;4711;696;6850;4366551;3032;2166666;2311;1058133;1484;1122210;23;19542;0;0;150;777357;141;762241;0;0;0;0;0;0;15;15193;1;983;14;14210;0;0;0;0;1248;1979685;1130;1642947;98;259889;0;0;0;0;20;76849;7138786;34;"Herz Jesu Kirche";+4904;+339561;162357;481142;169;80;49;49;0;10427;6438;0;3989;0
"01008";"Margarethen";"Wien";"Wien";"Innere Stadt Wien";"f.d.4.,5.u.10.Bez. in Wien";"Margareten";"90001";"Wien";1618;2340;169;3810;1299934;1767;847509;1238;177872;797;269903;8;4650;0;0;30;65951;30;65951;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;443;642122;429;612997;12;23118;0;0;0;0;2;6007;2008007;34;"Reinprechtsdorferstraße 35";+1561;+338669;162116;481113;170;23;16;16;0;3735;2218;0;1517;0
"01009";"Mariahilf";"Wien";"Wien";"Innere Stadt Wien";"f.d.6.,7.u.15.Bez. in Wien";"Mariahilf";"90001";"Wien";1144;1579;114;2635;957123;1208;658435;908;137236;506;148192;13;13260;0;0;33;34149;33;34149;0;0;0;0;0;0;1;37231;1;37231;0;0;0;0;0;0;263;419643;262;417798;0;0;0;0;0;0;1;1845;1448146;34;"Esterhazy Betonturm u. Apollo";+1492;+339841;162112;481151;192;22;9;9;0;2715;1821;0;894;0
"01010";"Neubau";"Wien";"Wien";"Josefstadt";"f.d.6.,7.u.15.Bez. in Wien";"Neubau";"90001";"Wien";1313;1806;112;3128;1170288;1410;805015;1173;217869;535;142638;10;4766;0;0;35;50712;35;50712;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;216;384521;208;376158;8;8363;0;0;0;0;0;0;1605521;34;"St. Laurent. Pfarrkirche";+810;+340388;162039;481209;207;21;5;5;0;1923;1089;0;834;0
"01011";"Wieden";"Wien";"Wien";"Innere Stadt Wien";"f.d.4.,5.u.10.Bez. in Wien";"Wieden";"90001";"Wien";1218;1807;80;3031;1199316;1338;759036;932;143159;756;294374;5;2747;0;0;40;123340;40;123340;0;0;0;0;0;0;4;1373;0;0;4;1373;0;0;0;0;278;477423;275;467670;2;1655;0;0;0;0;1;8098;1801452;34;"Paulanerkirche";+2629;+339726;162207;481147;200;21;10;10;0;2828;2173;0;655;0
"01101";"Favoriten";"Wien";"Wien";"Favoriten";"f.d.4.,5.u.10.Bez. in Wien";"Favoriten";"90001";"Wien";2005;3242;328;4692;2819120;2305;1461737;1474;463863;904;886404;9;7116;0;0;80;267906;79;262393;0;0;0;0;0;0;2;1045;0;0;2;1045;0;0;0;0;705;2153274;672;1113870;23;923934;0;0;0;0;10;115470;5241345;34;"Amalienbad";+3477;+337318;162248;481029;248;32;28;28;0;4687;2710;0;1977;0
"01102";"Inzersdorf Stadt";"Wien";"Wien";"Favoriten";"f.d.4.,5.u.10.Bez. in Wien";"Favoriten";"90001";"Wien";1619;4956;2472;5605;3651256;2801;1146246;606;448373;2180;2052542;18;4095;12;165127;142;2099672;142;2099672;0;0;0;0;0;0;25;174854;0;0;25;174854;0;0;0;0;1756;1769694;1709;1458538;15;185009;0;0;0;0;32;126147;7860603;34;"Stefan Fadinger-Platz, Kirche";+1862;+336348;162130;480958;243;24;61;61;0;13650;7267;0;6383;0
"01103";"Kaiserebersdorf";"Wien";"Wien";"Innere Stadt Wien";"f.d.3/11 Bez,Schwechat,Gerasdorf";"Simmering";"90001";"Wien";1998;4949;1625;4491;2956231;2171;862709;337;319137;1937;1762125;46;12260;439;1267021;604;1997813;106;332038;0;0;0;0;6;38822;4;14427;4;14427;0;0;0;0;0;0;1945;5474417;1672;1140254;112;718247;0;0;0;0;161;3615916;11748731;34;"Zentralfriedhof, evang. Kirche";+8753;+334818;162704;480908;174;41;54;54;0;11252;5580;0;5672;0
"01104";"Oberlaa Land";"Wien";"Wien";"Favoriten";"f.d.4.,5.u.10.Bez. in Wien";"Favoriten";"90001";"Wien";1320;3010;378;3082;1164171;1381;288513;363;117074;1317;755558;21;3026;674;2713551;55;54740;49;48276;0;0;0;0;1;1171;8;121964;7;118817;1;3147;0;0;0;0;693;446497;645;323181;10;6314;0;0;14;65069;24;51933;4502094;34;"Oberlaa, Pfarrkirche";+5410;+333004;162422;480809;175;6;38;38;0;5188;3296;0;1867;0
"01105";"Oberlaa Stadt";"Wien";"Wien";"Favoriten";"f.d.4.,5.u.10.Bez. in Wien";"Favoriten";"90001";"Wien";1431;4104;1778;3667;2124935;1818;465162;172;214818;1663;1441985;14;2970;573;2321016;108;1290824;108;1290824;81;241971;0;0;55;392075;8;86012;0;0;8;86012;0;0;0;0;1690;1147818;1505;764965;121;278180;0;0;0;0;64;104673;7604651;34;"Laaerberg, Radiostation";+5606;+335092;162431;480917;250;13;61;61;0;8603;4068;0;4523;0
"01106";"Rothneusiedl";"Wien";"Wien";"Favoriten";"f.d.4.,5.u.10.Bez. in Wien";"Favoriten";"90001";"Wien";247;707;308;532;239918;173;49373;52;18359;306;172112;1;74;159;1527961;8;13252;8;13252;0;0;0;0;7;44715;3;7537;2;7498;1;39;0;0;0;0;213;65963;213;65963;0;0;0;0;0;0;0;0;1899346;34;"Himbergerstraße 51, Kapelle, TP 774-59";+3780;+333387;162303;480822;190;2;19;19;0;1629;794;0;835;0
"01107";"Simmering";"Wien";"Wien";"Innere Stadt Wien";"f.d.3/11 Bez,Schwechat,Gerasdorf";"Simmering";"90001";"Wien";2185;5319;1121;6108;4795203;2899;1735193;825;816618;2368;2234740;16;8652;147;745408;422;1478304;159;380623;0;0;0;0;4;60306;3;21835;1;20363;2;1472;0;0;0;0;1717;3325461;1478;1712881;148;624758;0;0;0;0;91;987822;10426517;34;"Simmering, Kirche";+6711;+336798;162525;481012;173;56;56;56;0;13935;7629;0;6306;0
"01108";"Unterlaa";"Wien";"Wien";"Favoriten";"f.d.4.,5.u.10.Bez. in Wien";"Favoriten";"90001";"Wien";305;748;81;527;201972;237;70806;74;20164;216;111002;0;0;334;2565747;35;49666;35;49666;0;0;0;0;17;71807;5;17635;5;17635;0;0;0;0;0;0;297;474451;237;110124;0;0;0;0;0;0;60;364327;3381278;34;"Funkmast Umspannwerk SO";+6661;+331946;162522;480735;200;4;23;23;0;1515;967;0;548;0
"01109";"Albern";"Wien";"Wien";"Innere Stadt Wien";"f.d.3/11 Bez,Schwechat,Gerasdorf";"Simmering";"90001";"Wien";142;368;61;323;203897;178;103529;47;14436;95;85481;3;451;32;180673;78;428331;4;12754;0;0;0;0;30;661234;21;440533;6;283943;12;148591;3;7999;0;0;131;671467;90;161061;15;93143;0;0;0;0;26;417263;2586135;34;"Alberner Hafen, Agrarspeicher";+12064;+335635;162944;480934;152;6;25;25;0;814;390;0;424;0
"01201";"Auhof";"Wien";"Wien";"Hietzing";"f.d.12/13/14 Bez.,Purkersdorf";"Hietzing";"90001";"Wien";2430;3051;248;4950;1638229;2422;301318;13;2447;2514;1334372;1;92;126;4483569;10;101057;10;101057;0;0;0;0;43;18900293;31;207070;25;164093;6;42977;0;0;0;0;374;742479;360;664400;1;11776;0;0;0;0;13;66303;26072697;34;"Wohnhaus Rohrhaus";-7561;+337813;161354;481045;402;18;43;43;0;2845;1797;0;1045;0
"01202";"Breitensee";"Wien";"Wien";"Fünfhaus";"f.d.12/13/14 Bez.,Purkersdorf";"Penzing";"90001";"Wien";806;1593;277;2259;1269420;1085;395953;249;222826;910;647084;15;3557;13;35733;23;36411;21;31507;0;0;0;0;0;0;1;476;0;0;1;476;0;0;0;0;377;386096;369;319704;0;0;0;0;0;0;8;66392;1728136;34;"Wiener Radiowerke";-2860;+340864;161741;481224;276;6;16;16;0;3164;2001;0;1163;0
"01203";"Hacking";"Wien";"Wien";"Hietzing";"f.d.12/13/14 Bez.,Purkersdorf";"Hietzing";"90001";"Wien";184;464;50;536;263645;233;70145;38;4517;259;185862;6;3121;0;0;12;27298;12;27298;0;0;0;0;3;3925;2;22628;2;22628;0;0;0;0;0;0;83;112951;74;83695;8;28324;0;0;0;0;1;932;430447;34;"Dominikanerinnen Kapelle";-5165;+339408;161550;481137;240;3;5;5;0;1135;712;0;423;0
"01204";"Hadersdorf";"Wien";"Wien";"Fünfhaus";"f.d.12/13/14 Bez.,Purkersdorf";"Penzing";"90001";"Wien";2796;6370;932;7139;2548618;3342;336244;292;18227;3471;2189884;34;4263;157;1186121;30;103080;28;96970;0;0;0;0;313;15950312;43;123099;41;112163;2;10936;0;0;0;0;986;685333;964;544119;2;32758;0;0;2;1127;18;107329;20596563;34;"Greutberg";-8847;+343804;161251;481359;448;34;57;57;0;8468;4955;0;3489;0
"01205";"Hietzing";"Wien";"Wien";"Hietzing";"f.d.12/13/14 Bez.,Purkersdorf";"Hietzing";"90001";"Wien";667;1486;85;2027;885593;828;216702;274;24093;888;634494;37;10304;0;0;5;6251;4;4654;0;0;0;0;2;15416;1;250;0;0;1;250;0;0;0;0;116;322688;113;214428;2;11947;0;0;0;0;1;96313;1230198;34;"Lainzerstraße 53";-2961;+338282;161737;481100;261;9;18;18;0;1765;1140;0;625;0
