"KG-NR";"KATASTRALGEMEINDE";"BUNDESLAND";"VERMESSUNGSAMT";"BEZIRKSGERICHT";"FINANZAMT";"BEZIRKSHAUPTMANNSCHAFT/MAGISTRAT";"PG-NR";"POLITISCHE GEMEINDE";"ANZ_EZ";"ANZ_GST";"ANZ_GST GK";"ANZ_BAUFLÄCHEN";"FL_BAUFLÄCHEN";"ANZ_Gebäude";"FL_Gebäude";"ANZ_befestigt";"FL_befestigt";"ANZ_begrünt";"FL_begrünt";"ANZ_BAUFLÄCHEN n.n.u.";"FL_BAUFLÄCHEN n.n.u.";"ANZ_LANDW. GENUTZT";"FL_LANDW. GENUTZT";"ANZ_GÄRTEN";"FL_GÄRTEN";"ANZ_Erholungsflächen";"FL_Erholungsflächen";"ANZ_WEINGÄRTEN";"FL_WEINGÄRTEN";"ANZ_ALPEN";"FL_ALPEN";"ANZ_WALD";"FL_WALD";"ANZ_GEWÄSSER";"FL_GEWÄSSER";"ANZ_fließend";"FL_fließend";"ANZ_stehend";"FL_stehend";"ANZ_Sumpf";"FL_Sumpf";"ANZ_GEWÄSSER n.n.u.";"FL_GEWÄSSER n.n.u.";"ANZ_SONSTIGE";"FL_SONSTIGE";"ANZ_Straßenanlagen";"FL_Straßenanlagen";"ANZ_Bahnanlagen";"FL_Bahnanlagen";"ANZ_Abbauflächen";"FL_Abbauflächen";"ANZ_Ödland";"FL_Ödland";"ANZ_SONSTIGE n.n.u.";"FL_SONSTIGE n.n.u.";"FL_KATASTRALGEMEINDE";"MER";"ZENTRUM Bezeichnung";"y-Koord";"x-Koord";"y-ggmmss";"x-ggmmss";"Höhe";"ANZ_TP";"ANZ_EP";"ANZ_EPterr";"ANZ_EPphot";"ANZ_GP";"ANZ_GP E";"ANZ_GP S";"ANZ_GP G";"ANZ_GP PP"
"01002";"Alsergrund";"Wien";"Wien";"Josefstadt";"f.d.9/18/19 Bez.,Klosterneuburg";"Alsergrund";"90001";"Wien";1621;2385;77;3731;1819205;1727;1211739;1551;280504;425;298916;28;28046;0;0;63;239392;63;239392;0;0;0;0;0;0;8;11072;8;11072;0;0;0;0;0;0;540;888128;530;812801;8;52734;0;0;0;0;2;22593;2957797;34;"Chemisch-physikalisches Institut";+1762;+342442;162125;481315;177;38;9;9;0;2490;1752;0;738;0
"01004";"Innere Stadt";"Wien";"Wien";"Innere Stadt Wien";"f.d.1.Bez. in Wien";"Innere Stadt";"90001";"Wien";1314;1983;34;2785;1403633;1450;1119357;1252;218986;48;36565;35;28725;0;0;59;370690;59;370690;0;0;0;0;0;0;5;33948;1;29483;4;4465;0;0;0;0;614;1063692;605;1053821;8;3132;0;0;0;0;1;6739;2871963;34;"St. Stefan Dom";+3041;+341095;162227;481232;171;48;3;3;0;3709;3127;0;582;0
"01005";"Josefstadt";"Wien";"Wien";"Josefstadt";"f.d.8.,16.u.17.Bez. in Wien";"Josefstadt";"90001";"Wien";956;1387;82;2265;763323;1017;512908;864;128173;372;118385;12;3857;0;0;17;23642;17;23642;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;196;302046;190;296899;6;5147;0;0;0;0;0;0;1089011;34;"Piaristenkirche";+1299;+341350;162103;481240;195;13;11;11;0;1328;766;0;562;0
"01006";"Landstraße";"Wien";"Wien";"Innere Stadt Wien";"f.d.3/11 Bez,Schwechat,Gerasdorf";"Landstraße";"90001";"Wien";2776;4763;664;6954;4389843;3075;2185767;2326;1051781;1528;1132342;25;19953;0;0;151;779050;142;763934;0;0;0;0;0;0;15;15193;1;983;14;14210;0;0;0;0;1260;1988371;1146;1656302;96;256480;0;0;0;0;18;75589;7172457;34;"Herz Jesu Kirche";+4904;+339561;162357;481142;169;80;50;50;0;10039;6432;0;3607;0
"01008";"Margarethen";"Wien";"Wien";"Innere Stadt Wien";"f.d.4.,5.u.10.Bez. in Wien";"Margareten";"90001";"Wien";1619;2359;156;3951;1317922;1771;832623;1207;165677;958;311663;15;7959;0;0;29;58883;29;58883;0;0;0;0;1;71;0;0;0;0;0;0;0;0;0;0;438;630005;423;601375;14;28628;0;0;0;0;1;2;2006881;34;"Reinprechtsdorferstraße 35";+1561;+338669;162116;481113;170;23;16;16;0;3488;2182;0;1306;0
"01009";"Mariahilf";"Wien";"Wien";"Innere Stadt Wien";"f.d.6.,7.u.15.Bez. in Wien";"Mariahilf";"90001";"Wien";1148;1582;110;2643;958079;1213;654026;909;143601;507;147151;14;13301;0;0;35;35511;35;35511;0;0;0;0;0;0;1;41431;1;41431;0;0;0;0;0;0;261;418169;260;416324;0;0;0;0;0;0;1;1845;1453190;34;"Esterhazy Betonturm u. Apollo";+1492;+339841;162112;481151;192;22;9;9;0;2668;1820;0;848;0
"01010";"Neubau";"Wien";"Wien";"Josefstadt";"f.d.6.,7.u.15.Bez. in Wien";"Neubau";"90001";"Wien";1323;1807;81;3138;1172083;1415;804649;1174;218503;539;144165;10;4766;0;0;30;43052;30;43052;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;220;389765;220;389765;0;0;0;0;0;0;0;0;1604900;34;"St. Laurent. Pfarrkirche";+810;+340388;162039;481209;207;21;5;5;0;1796;1141;0;655;0
"01011";"Wieden";"Wien";"Wien";"Innere Stadt Wien";"f.d.4.,5.u.10.Bez. in Wien";"Wieden";"90001";"Wien";1214;1801;73;3066;1264205;1315;746119;955;149614;787;363885;9;4587;0;0;39;70366;39;70366;0;0;0;0;0;0;4;1359;0;0;4;1359;0;0;0;0;272;467094;271;466896;0;0;0;0;0;0;1;198;1803024;34;"Paulanerkirche";+2629;+339726;162207;481147;200;21;10;10;0;2775;2186;0;589;0
"01101";"Favoriten";"Wien";"Wien";"Favoriten";"f.d.4.,5.u.10.Bez. in Wien";"Favoriten";"90001";"Wien";1993;3231;287;4772;2666084;2287;1314152;1515;502959;947;835738;23;13235;0;0;87;356906;86;351393;0;0;0;0;0;0;2;640;0;0;2;640;0;0;0;0;688;2219165;658;1125667;19;1014309;0;0;0;0;11;79189;5242795;34;"Amalienbad";+3477;+337318;162248;481029;248;32;28;28;0;4252;2561;0;1691;0
"01102";"Inzersdorf Stadt";"Wien";"Wien";"Favoriten";"f.d.4.,5.u.10.Bez. in Wien";"Favoriten";"90001";"Wien";1464;4823;2323;5456;3574467;2724;1082712;604;437148;2108;2050340;20;4267;12;159312;135;2076040;135;2076040;0;0;0;0;0;0;21;166480;0;0;21;166480;0;0;0;0;1706;1884041;1650;1463246;19;193471;0;0;2;2996;35;224328;7860340;34;"Stefan Fadinger-Platz, Kirche";+1862;+336348;162130;480958;243;24;59;59;0;13144;7268;0;5876;0
