"KG-NR";"KATASTRALGEMEINDE";"BUNDESLAND";"VERMESSUNGSAMT";"BEZIRKSGERICHT";"FINANZAMT";"BEZIRKSHAUPTMANNSCHAFT/MAGISTRAT";"PG-NR";"POLITISCHE GEMEINDE";"ANZ_EZ";"ANZ_GST";"ANZ_GST GK";"ANZ_BAUFLÄCHEN";"FL_BAUFLÄCHEN";"ANZ_Gebäude";"FL_Gebäude";"ANZ_befestigt";"FL_befestigt";"ANZ_begrünt";"FL_begrünt";"ANZ_BAUFLÄCHEN n.n.u.";"FL_BAUFLÄCHEN n.n.u.";"ANZ_LANDW. GENUTZT";"FL_LANDW. GENUTZT";"ANZ_GÄRTEN";"FL_GÄRTEN";"ANZ_Erholungsflächen";"FL_Erholungsflächen";"ANZ_WEINGÄRTEN";"FL_WEINGÄRTEN";"ANZ_ALPEN";"FL_ALPEN";"ANZ_WALD";"FL_WALD";"ANZ_GEWÄSSER";"FL_GEWÄSSER";"ANZ_fließend";"FL_fließend";"ANZ_stehend";"FL_stehend";"ANZ_Sumpf";"FL_Sumpf";"ANZ_GEWÄSSER n.n.u.";"FL_GEWÄSSER n.n.u.";"ANZ_SONSTIGE";"FL_SONSTIGE";"ANZ_Straßenanlagen";"FL_Straßenanlagen";"ANZ_Bahnanlagen";"FL_Bahnanlagen";"ANZ_Abbauflächen";"FL_Abbauflächen";"ANZ_Ödland";"FL_Ödland";"ANZ_SONSTIGE n.n.u.";"FL_SONSTIGE n.n.u.";"FL_KATASTRALGEMEINDE";"MER";"ZENTRUM Bezeichnung";"y-Koord";"x-Koord";"y-ggmmss";"x-ggmmss";"Höhe";"ANZ_TP";"ANZ_EP";"ANZ_EPterr";"ANZ_EPphot";"ANZ_GP";"ANZ_GP E";"ANZ_GP S";"ANZ_GP G";"ANZ_GP PP"
"01002";"Alsergrund";"Wien";"Wien";"Josefstadt";"f.d.9/18/19 Bez.,Klosterneuburg";"Alsergrund";"90001";"Wien";1622;2434;176;3728;1804442;1722;1202386;1555;277170;424;298750;27;26136;0;0;57;239945;57;239945;0;0;0;0;0;0;10;11710;10;11710;0;0;0;0;0;0;586;904218;539;828416;45;53209;0;0;0;0;2;22593;2960315;34;"Chemisch-physikalisches Institut";+1762;+342442;162125;481315;177;38;9;9;0;3675;1771;0;1898;0
"01004";"Innere Stadt";"Wien";"Wien";"Innere Stadt Wien";"f.d.1.Bez. in Wien";"Innere Stadt";"90001";"Wien";1319;1991;45;2730;1414934;1451;1142092;1206;216773;48;30470;25;25599;0;0;42;340978;42;340978;0;0;0;0;0;0;4;31879;2;27524;2;4355;0;0;0;0;616;1090082;616;1090082;0;0;0;0;0;0;0;0;2877873;34;"St. Stefan Dom";+3041;+341095;162227;481232;171;48;3;3;0;4007;3295;0;712;0
"01005";"Josefstadt";"Wien";"Wien";"Josefstadt";"f.d.8.,16.u.17.Bez. in Wien";"Josefstadt";"90001";"Wien";953;1371;79;2222;759280;1016;530082;885;122612;314;103721;7;2865;0;0;21;27124;21;27124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202;303008;190;297237;12;5771;0;0;0;0;0;0;1089412;34;"Piaristenkirche";+1299;+341350;162103;481240;195;13;10;10;0;1462;843;0;619;0
"01006";"Landstraße";"Wien";"Wien";"Innere Stadt Wien";"f.d.3/11 Bez,Schwechat,Gerasdorf";"Landstraße";"90001";"Wien";2776;4739;741;6760;4314497;3041;2236198;2226;976933;1476;1086617;17;14749;0;0;126;841942;125;838904;0;0;0;0;0;0;11;14358;0;0;11;14358;0;0;0;0;1298;1966751;1192;1669868;91;231486;0;0;0;0;15;65397;7137548;34;"Herz Jesu Kirche";+4904;+339561;162357;481142;169;80;49;49;0;10507;6337;0;4170;0
"01008";"Margarethen";"Wien";"Wien";"Innere Stadt Wien";"f.d.4.,5.u.10.Bez. in Wien";"Margareten";"90001";"Wien";1618;2341;175;3808;1302291;1763;846692;1236;177757;801;273192;8;4650;0;0;29;63918;29;63918;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;441;641754;427;612637;12;23110;0;0;0;0;2;6007;2007963;34;"Reinprechtsdorferstraße 35";+1561;+338669;162116;481113;170;23;15;15;0;3841;2272;0;1569;0
"01009";"Mariahilf";"Wien";"Wien";"Innere Stadt Wien";"f.d.6.,7.u.15.Bez. in Wien";"Mariahilf";"90001";"Wien";1131;1579;114;2546;939712;1206;683645;916;143529;413;109711;11;2827;0;0;54;50821;54;50821;0;0;0;0;0;0;1;30008;1;30008;0;0;0;0;0;0;278;427607;268;409981;10;17626;0;0;0;0;0;0;1448148;34;"Esterhazy Betonturm u. Apollo";+1492;+339841;162112;481151;192;22;9;9;0;2715;1821;0;894;0
"01010";"Neubau";"Wien";"Wien";"Josefstadt";"f.d.6.,7.u.15.Bez. in Wien";"Neubau";"90001";"Wien";1314;1796;107;2999;1163582;1398;826043;1187;222941;408;111500;6;3098;0;0;35;54067;35;54067;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;226;387509;221;378253;5;9256;0;0;0;0;0;0;1605158;34;"St. Laurent. Pfarrkirche";+810;+340388;162039;481209;207;21;5;5;0;1985;1140;0;845;0
"01011";"Wieden";"Wien";"Wien";"Innere Stadt Wien";"f.d.4.,5.u.10.Bez. in Wien";"Wieden";"90001";"Wien";1218;1809;80;3032;1199298;1339;757885;932;143159;756;295507;5;2747;0;0;40;123338;40;123338;0;0;0;0;0;0;4;1373;0;0;4;1373;0;0;0;0;279;477441;276;467688;2;1655;0;0;0;0;1;8098;1801450;34;"Paulanerkirche";+2629;+339726;162207;481147;200;21;10;10;0;2834;2179;0;655;0
"01101";"Favoriten";"Wien";"Wien";"Favoriten";"f.d.4.,5.u.10.Bez. in Wien";"Favoriten";"90001";"Wien";2010;3245;367;4709;2815824;2313;1458576;1464;443467;923;906665;9;7116;0;0;66;269406;65;263893;0;0;0;0;0;0;2;1045;0;0;2;1045;0;0;0;0;708;2155037;675;1118447;23;923934;0;0;0;0;10;112656;5241312;34;"Amalienbad";+3477;+337318;162248;481029;248;32;28;28;0;4972;2816;0;2156;0
"01102";"Inzersdorf Stadt";"Wien";"Wien";"Favoriten";"f.d.4.,5.u.10.Bez. in Wien";"Favoriten";"90001";"Wien";1661;4963;2482;5607;3651285;2800;1133337;607;461311;2182;2052542;18;4095;12;165127;142;2101110;142;2101110;0;0;0;0;0;0;25;174854;0;0;25;174854;0;0;0;0;1758;1768975;1711;1457819;15;185009;0;0;0;0;32;126147;7861351;34;"Stefan Fadinger-Platz, Kirche";+1862;+336348;162130;480958;243;24;61;61;0;13690;7262;0;6428;0
