"KG-NR";"KATASTRALGEMEINDE";"BUNDESLAND";"VERMESSUNGSAMT";"BEZIRKSGERICHT";"FINANZAMT";"BEZIRKSHAUPTMANNSCHAFT/MAGISTRAT";"PG-NR";"POLITISCHE GEMEINDE";"ANZ_EZ";"ANZ_GST";"ANZ_GST GK";"ANZ_BAUFLÄCHEN";"FL_BAUFLÄCHEN";"ANZ_Gebäude";"FL_Gebäude";"ANZ_befestigt";"FL_befestigt";"ANZ_begrünt";"FL_begrünt";"ANZ_BAUFLÄCHEN n.n.u.";"FL_BAUFLÄCHEN n.n.u.";"ANZ_LANDW. GENUTZT";"FL_LANDW. GENUTZT";"ANZ_GÄRTEN";"FL_GÄRTEN";"ANZ_Erholungsflächen";"FL_Erholungsflächen";"ANZ_WEINGÄRTEN";"FL_WEINGÄRTEN";"ANZ_ALPEN";"FL_ALPEN";"ANZ_WALD";"FL_WALD";"ANZ_GEWÄSSER";"FL_GEWÄSSER";"ANZ_fließend";"FL_fließend";"ANZ_stehend";"FL_stehend";"ANZ_Sumpf";"FL_Sumpf";"ANZ_GEWÄSSER n.n.u.";"FL_GEWÄSSER n.n.u.";"ANZ_SONSTIGE";"FL_SONSTIGE";"ANZ_Straßenanlagen";"FL_Straßenanlagen";"ANZ_Bahnanlagen";"FL_Bahnanlagen";"ANZ_Abbauflächen";"FL_Abbauflächen";"ANZ_Ödland";"FL_Ödland";"ANZ_SONSTIGE n.n.u.";"FL_SONSTIGE n.n.u.";"FL_KATASTRALGEMEINDE";"MER";"ZENTRUM Bezeichnung";"y-Koord";"x-Koord";"y-ggmmss";"x-ggmmss";"Höhe";"ANZ_TP";"ANZ_EP";"ANZ_EPterr";"ANZ_EPphot";"ANZ_GP";"ANZ_GP E";"ANZ_GP S";"ANZ_GP G";"ANZ_GP PP"
"01002";"Alsergrund";"Wien";"Wien";"Josefstadt";"für den 9.,18. u. 19. Bezirk";"Alsergrund";"90001";"Wien";1623;2379;72;3726;1819210;1723;1201922;1547;280241;427;307240;29;29807;0;0;63;239392;63;239392;0;0;0;0;0;0;8;11072;8;11072;0;0;0;0;0;0;537;888121;527;812794;8;52734;0;0;0;0;2;22593;2957795;34;"Chemisch-physikalisches Institut";+1762;+342442;162125;481315;177;38;9;9;0;2450;1735;0;715;0
"01004";"Innere Stadt";"Wien";"Wien";"Innere Stadt Wien";"für den 1. Bezirk";"Innere Stadt";"90001";"Wien";1313;1976;31;2788;1403585;1451;1118056;1254;220239;48;36565;35;28725;0;0;55;370798;55;370798;0;0;0;0;0;0;4;4465;0;0;4;4465;0;0;0;0;611;1093186;602;1083315;8;3132;0;0;0;0;1;6739;2872034;34;"St. Stefan Dom";+3041;+341095;162227;481232;171;47;3;3;0;3476;2952;0;524;0
"01005";"Josefstadt";"Wien";"Wien";"Josefstadt";"für den 8.,16. u. 17. Bezirk";"Josefstadt";"90001";"Wien";954;1351;34;2278;770052;1029;520426;865;127817;372;117952;12;3857;0;0;14;23826;14;23826;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;162;296986;160;295951;2;1035;0;0;0;0;0;0;1090864;34;"Piaristenkirche";+1299;+341350;162103;481240;195;14;12;12;0;1076;781;0;295;0
"01006";"Landstraße";"Wien";"Wien";"Innere Stadt Wien";"für den 3. u. 11. Bezirk";"Landstraße";"90001";"Wien";2687;4566;445;6793;4352984;3003;2175336;2323;1019236;1440;1135943;27;22469;1;28128;150;784621;143;769743;0;0;0;0;0;0;15;15193;1;983;14;14210;0;0;0;0;1171;1991940;1044;1658083;102;257608;0;0;0;0;25;76249;7172866;34;"Herz Jesu Kirche";+4904;+339561;162357;481142;169;80;50;50;0;8158;5278;0;2880;0
"01008";"Margarethen";"Wien";"Wien";"Innere Stadt Wien";"für den 4.,5. u. 10. Bezirk";"Margareten";"90001";"Wien";1619;2375;133;3976;1319015;1782;830871;1216;168095;963;312090;15;7959;0;0;26;57707;26;57707;0;0;0;0;3;1274;0;0;0;0;0;0;0;0;0;0;444;628097;432;617789;11;10306;0;0;0;0;1;2;2006093;34;"Reinprechtsdorferstraße 35";+1561;+338669;162116;481113;170;23;16;16;0;3190;2152;0;1038;0
"01009";"Mariahilf";"Wien";"Wien";"Innere Stadt Wien";"für den 6.,7. u. 15. Bezirk";"Mariahilf";"90001";"Wien";1149;1586;106;2644;959333;1214;656240;909;143282;507;146510;14;13301;0;0;36;34479;36;34479;0;0;0;0;0;0;1;41431;1;41431;0;0;0;0;0;0;267;423181;266;421336;0;0;0;0;0;0;1;1845;1458424;34;"Esterhazy Betonturm u. Apollo";+1492;+339841;162112;481151;192;22;10;10;0;2556;1755;0;801;0
"01010";"Neubau";"Wien";"Wien";"Josefstadt";"für den 6.,7. u. 15. Bezirk";"Neubau";"90001";"Wien";1322;1806;72;3136;1172000;1413;802983;1172;219309;541;144942;10;4766;0;0;30;43052;30;43052;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;221;389826;221;389826;0;0;0;0;0;0;0;0;1604878;34;"St. Laurent. Pfarrkirche";+810;+340388;162039;481209;207;21;6;6;0;1747;1131;0;616;0
"01011";"Wieden";"Wien";"Wien";"Innere Stadt Wien";"für den 4.,5. u. 10. Bezirk";"Wieden";"90001";"Wien";1214;1797;72;3065;1264391;1315;746158;955;149792;786;363854;9;4587;0;0;39;70366;39;70366;0;0;0;0;0;0;4;1359;0;0;4;1359;0;0;0;0;269;466831;268;466633;0;0;0;0;0;0;1;198;1802947;34;"Paulanerkirche";+2629;+339726;162207;481147;200;21;10;10;0;2726;2146;0;580;0
"01101";"Favoriten";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";1993;3239;260;4804;2669068;2311;1317478;1532;543362;938;794993;23;13235;0;0;85;356993;84;351480;0;0;0;0;0;0;2;640;0;0;2;640;0;0;0;0;682;2218618;653;1125398;19;1014309;0;0;0;0;10;78911;5245319;34;"Amalienbad";+3477;+337318;162248;481029;248;32;30;30;0;3937;2456;0;1481;0
"01102";"Inzersdorf Stadt";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";1251;4417;1844;5102;3554033;2564;1069295;622;427547;1896;2052924;20;4267;12;159312;145;2085708;145;2085708;0;0;0;0;0;0;21;166480;0;0;21;166480;0;0;0;0;1484;1894776;1422;1461347;19;193471;0;0;2;2996;41;236962;7860309;34;"Stefan Fadinger-Platz, Kirche";+1862;+336348;162130;480958;243;24;61;61;0;10973;6226;0;4747;0
