"KG-NR";"KATASTRALGEMEINDE";"BUNDESLAND";"VERMESSUNGSAMT";"BEZIRKSGERICHT";"FINANZAMT";"BEZIRKSHAUPTMANNSCHAFT/MAGISTRAT";"PG-NR";"POLITISCHE GEMEINDE";"ANZ_EZ";"ANZ_GST";"ANZ_GST GK";"ANZ_BAUFLÄCHEN";"FL_BAUFLÄCHEN";"ANZ_Gebäude";"FL_Gebäude";"ANZ_befestigt";"FL_befestigt";"ANZ_begrünt";"FL_begrünt";"ANZ_BAUFLÄCHEN n.n.u.";"FL_BAUFLÄCHEN n.n.u.";"ANZ_LANDW. GENUTZT";"FL_LANDW. GENUTZT";"ANZ_GÄRTEN";"FL_GÄRTEN";"ANZ_Erholungsflächen";"FL_Erholungsflächen";"ANZ_WEINGÄRTEN";"FL_WEINGÄRTEN";"ANZ_ALPEN";"FL_ALPEN";"ANZ_WALD";"FL_WALD";"ANZ_GEWÄSSER";"FL_GEWÄSSER";"ANZ_fließend";"FL_fließend";"ANZ_stehend";"FL_stehend";"ANZ_Sumpf";"FL_Sumpf";"ANZ_GEWÄSSER n.n.u.";"FL_GEWÄSSER n.n.u.";"ANZ_SONSTIGE";"FL_SONSTIGE";"ANZ_Straßenanlagen";"FL_Straßenanlagen";"ANZ_Bahnanlagen";"FL_Bahnanlagen";"ANZ_Abbauflächen";"FL_Abbauflächen";"ANZ_Ödland";"FL_Ödland";"ANZ_SONSTIGE n.n.u.";"FL_SONSTIGE n.n.u.";"FL_KATASTRALGEMEINDE";"MER";"ZENTRUM Bezeichnung";"y-Koord";"x-Koord";"y-ggmmss";"x-ggmmss";"Höhe";"ANZ_TP";"ANZ_EP";"ANZ_EPterr";"ANZ_EPphot";"ANZ_GP";"ANZ_GP E";"ANZ_GP S";"ANZ_GP G";"ANZ_GP PP"
"01002";"Alsergrund";"Wien";"Wien";"Josefstadt";"f.d.9/18/19 Bez.,Klosterneuburg";"Alsergrund";"90001";"Wien";1612;2407;141;3728;1812928;1723;1210519;1554;278246;424;298027;27;26136;0;0;59;238900;59;238900;0;0;0;0;0;0;9;11895;9;11895;0;0;0;0;0;0;559;895072;518;814431;39;58048;0;0;0;0;2;22593;2958795;34;"Chemisch-physikalisches Institut";+1762;+342442;162125;481315;177;38;9;9;0;3098;1646;0;1448;0
"01004";"Innere Stadt";"Wien";"Wien";"Innere Stadt Wien";"f.d.1.Bez. in Wien";"Innere Stadt";"90001";"Wien";1324;1989;38;2786;1403674;1451;1119398;1252;218986;48;36565;35;28725;0;0;62;372083;61;371501;0;0;0;0;0;0;5;33948;1;29483;4;4465;0;0;0;0;616;1067401;606;1053681;8;3132;0;0;0;0;2;10588;2877106;34;"St. Stefan Dom";+3041;+341095;162227;481232;171;48;3;3;0;3748;3131;0;617;0
"01005";"Josefstadt";"Wien";"Wien";"Josefstadt";"f.d.8.,16.u.17.Bez. in Wien";"Josefstadt";"90001";"Wien";950;1391;83;2261;763362;1016;512438;863;128084;370;118983;12;3857;0;0;16;23477;16;23477;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;201;302513;195;297366;6;5147;0;0;0;0;0;0;1089352;34;"Piaristenkirche";+1299;+341350;162103;481240;195;13;11;11;0;1371;787;0;584;0
"01006";"Landstraße";"Wien";"Wien";"Innere Stadt Wien";"f.d.3/11 Bez,Schwechat,Gerasdorf";"Landstraße";"90001";"Wien";2769;4760;663;6943;4389828;3069;2182894;2323;1054663;1526;1132318;25;19953;0;0;151;779050;142;763934;0;0;0;0;0;0;15;15193;1;983;14;14210;0;0;0;0;1261;1988404;1147;1656335;96;256480;0;0;0;0;18;75589;7172475;34;"Herz Jesu Kirche";+4904;+339561;162357;481142;169;80;50;50;0;10057;6444;0;3613;0
"01008";"Margarethen";"Wien";"Wien";"Innere Stadt Wien";"f.d.4.,5.u.10.Bez. in Wien";"Margareten";"90001";"Wien";1620;2361;157;3953;1317707;1773;832704;1207;165566;958;311478;15;7959;0;0;29;58883;29;58883;0;0;0;0;1;71;0;0;0;0;0;0;0;0;0;0;438;630109;423;601479;14;28628;0;0;0;0;1;2;2006770;34;"Reinprechtsdorferstraße 35";+1561;+338669;162116;481113;170;23;16;16;0;3517;2205;0;1312;0
"01009";"Mariahilf";"Wien";"Wien";"Innere Stadt Wien";"f.d.6.,7.u.15.Bez. in Wien";"Mariahilf";"90001";"Wien";1145;1576;108;2642;958038;1213;654026;909;143601;507;147151;13;13260;0;0;33;34149;33;34149;0;0;0;0;0;0;1;41431;1;41431;0;0;0;0;0;0;258;414489;257;412644;0;0;0;0;0;0;1;1845;1448107;34;"Esterhazy Betonturm u. Apollo";+1492;+339841;162112;481151;192;22;9;9;0;2655;1816;0;839;0
"01010";"Neubau";"Wien";"Wien";"Josefstadt";"f.d.6.,7.u.15.Bez. in Wien";"Neubau";"90001";"Wien";1323;1804;81;3138;1172083;1415;804649;1174;218503;539;144165;10;4766;0;0;30;43052;30;43052;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;217;390231;217;390231;0;0;0;0;0;0;0;0;1605366;34;"St. Laurent. Pfarrkirche";+810;+340388;162039;481209;207;21;5;5;0;1796;1141;0;655;0
"01011";"Wieden";"Wien";"Wien";"Innere Stadt Wien";"f.d.4.,5.u.10.Bez. in Wien";"Wieden";"90001";"Wien";1217;1798;72;3066;1264205;1315;746119;955;149614;787;363885;9;4587;0;0;38;70336;38;70336;0;0;0;0;0;0;4;1359;0;0;4;1359;0;0;0;0;270;466348;269;466150;0;0;0;0;0;0;1;198;1802248;34;"Paulanerkirche";+2629;+339726;162207;481147;200;21;10;10;0;2771;2184;0;587;0
"01101";"Favoriten";"Wien";"Wien";"Favoriten";"f.d.4.,5.u.10.Bez. in Wien";"Favoriten";"90001";"Wien";2005;3214;297;4762;2756679;2288;1342490;1514;464739;937;936215;23;13235;0;0;81;264259;80;258746;0;0;0;0;0;0;2;640;0;0;2;640;0;0;0;0;686;2219834;656;1126336;19;1014309;0;0;0;0;11;79189;5241412;34;"Amalienbad";+3477;+337318;162248;481029;248;32;27;27;0;4358;2621;0;1737;0
"01102";"Inzersdorf Stadt";"Wien";"Wien";"Favoriten";"f.d.4.,5.u.10.Bez. in Wien";"Favoriten";"90001";"Wien";1531;4882;2384;5525;3612589;2752;1076456;602;436126;2151;2095740;20;4267;12;159312;135;2076045;135;2076045;0;0;0;0;0;0;21;166479;0;0;21;166479;0;0;0;0;1725;1845857;1671;1472197;19;193471;0;0;2;2996;33;177193;7860282;34;"Stefan Fadinger-Platz, Kirche";+1862;+336348;162130;480958;243;24;59;59;0;13409;7315;0;6094;0
