"KG-NR";"KATASTRALGEMEINDE";"BUNDESLAND";"VERMESSUNGSAMT";"BEZIRKSGERICHT";"FINANZAMT";"BEZIRKSHAUPTMANNSCHAFT/MAGISTRAT";"PG-NR";"POLITISCHE GEMEINDE";"ANZ_EZ";"ANZ_GST";"ANZ_GST GK";"ANZ_BAUFLÄCHEN";"FL_BAUFLÄCHEN";"ANZ_Gebäude";"FL_Gebäude";"ANZ_befestigt";"FL_befestigt";"ANZ_begrünt";"FL_begrünt";"ANZ_BAUFLÄCHEN n.n.u.";"FL_BAUFLÄCHEN n.n.u.";"ANZ_LANDW. GENUTZT";"FL_LANDW. GENUTZT";"ANZ_GÄRTEN";"FL_GÄRTEN";"ANZ_Erholungsflächen";"FL_Erholungsflächen";"ANZ_WEINGÄRTEN";"FL_WEINGÄRTEN";"ANZ_ALPEN";"FL_ALPEN";"ANZ_WALD";"FL_WALD";"ANZ_GEWÄSSER";"FL_GEWÄSSER";"ANZ_fließend";"FL_fließend";"ANZ_stehend";"FL_stehend";"ANZ_Sumpf";"FL_Sumpf";"ANZ_GEWÄSSER n.n.u.";"FL_GEWÄSSER n.n.u.";"ANZ_SONSTIGE";"FL_SONSTIGE";"ANZ_Straßenanlagen";"FL_Straßenanlagen";"ANZ_Bahnanlagen";"FL_Bahnanlagen";"ANZ_Abbauflächen";"FL_Abbauflächen";"ANZ_Ödland";"FL_Ödland";"ANZ_SONSTIGE n.n.u.";"FL_SONSTIGE n.n.u.";"FL_KATASTRALGEMEINDE";"MER";"ZENTRUM Bezeichnung";"y-Koord";"x-Koord";"y-ggmmss";"x-ggmmss";"Höhe";"ANZ_TP";"ANZ_EP";"ANZ_EPterr";"ANZ_EPphot";"ANZ_GP";"ANZ_GP E";"ANZ_GP S";"ANZ_GP G";"ANZ_GP PP"
"01002";"Alsergrund";"Wien";"Wien";"Josefstadt";"für den 9.,18. u. 19. Bezirk";"Alsergrund";"90001";"Wien";1630;2376;57;2027;1931936;16;23769;0;0;342;308383;1669;1599784;0;0;8;4041;8;4041;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;345;1022028;313;788272;23;196026;0;0;2;59;7;37671;2958005;34;"Chemisch-physikalisches Institut";+1762;+342442;162125;481315;177;38;9;9;0;2322;1731;0;583;0
"01004";"Innere Stadt";"Wien";"Wien";"Innere Stadt Wien";"für den 1. Bezirk";"Innere Stadt";"90001";"Wien";1313;1936;17;1481;1494320;17;6137;0;0;50;123275;1414;1364908;0;0;8;141562;8;141562;0;0;0;0;0;0;1;56337;1;56337;0;0;0;0;0;0;447;1180438;430;1149880;9;3201;0;0;0;0;8;27357;2872657;34;"St. Stefan Dom";+3041;+341095;162227;481232;171;47;3;3;0;2884;2687;0;183;0
"01005";"Josefstadt";"Wien";"Wien";"Josefstadt";"für den 8.,16. u. 17. Bezirk";"Josefstadt";"90001";"Wien";951;1349;26;2286;770240;1031;521363;866;127677;377;117343;12;3857;0;0;12;23683;12;23683;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;156;296982;154;295947;2;1035;0;0;0;0;0;0;1090905;34;"Piaristenkirche";+1299;+341350;162103;481240;195;14;12;12;0;944;733;0;211;0
"01006";"Landstraße";"Wien";"Wien";"Innere Stadt Wien";"für den 3. u. 11. Bezirk";"Landstraße";"90001";"Wien";2885;4817;352;3754;4355738;43;220296;1;857;840;1229505;2870;2905080;188;437066;27;241641;27;241641;0;0;0;0;0;0;1;983;1;983;0;0;0;0;0;0;861;2139190;770;1673420;45;253730;0;0;6;1669;40;210371;7174618;34;"Herz Jesu Kirche";+4904;+339561;162357;481142;169;80;50;50;0;8065;5749;0;2163;0
"01008";"Margarethen";"Wien";"Wien";"Innere Stadt Wien";"für den 4.,5. u. 10. Bezirk";"Margareten";"90001";"Wien";1627;2380;103;3986;1318595;1788;836031;1214;160035;969;314570;15;7959;0;0;27;57713;27;57713;0;0;0;0;3;1274;0;0;0;0;0;0;0;0;0;0;446;628532;434;618224;11;10306;0;0;0;0;1;2;2006114;34;"Reinprechtsdorferstraße 35";+1561;+338669;162116;481113;170;23;16;16;0;2941;2114;0;827;0
"01009";"Mariahilf";"Wien";"Wien";"Innere Stadt Wien";"für den 6.,7. u. 15. Bezirk";"Mariahilf";"90001";"Wien";1153;1588;91;2651;958951;1215;662881;909;135972;513;146100;14;13998;0;0;35;34088;35;34088;0;0;0;0;0;0;1;41431;1;41431;0;0;0;0;0;0;268;423882;267;422037;0;0;0;0;0;0;1;1845;1458352;34;"Esterhazy Betonturm u. Apollo";+1492;+339841;162112;481151;192;22;10;10;0;2361;1703;0;658;0
"01010";"Neubau";"Wien";"Wien";"Josefstadt";"für den 6.,7. u. 15. Bezirk";"Neubau";"90001";"Wien";1322;1793;53;3133;1171133;1413;805765;1170;217639;539;141333;11;6396;0;0;26;42282;26;42282;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;216;391303;216;391303;0;0;0;0;0;0;0;0;1604718;34;"St. Laurent. Pfarrkirche";+810;+340388;162039;481209;207;21;6;6;0;1505;1006;0;499;0
"01011";"Wieden";"Wien";"Wien";"Innere Stadt Wien";"für den 4.,5. u. 10. Bezirk";"Wieden";"90001";"Wien";1217;1782;58;1564;1232193;13;12889;0;0;279;212665;1272;1006639;0;0;6;34191;6;34191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;212;535902;200;502301;3;20409;0;0;5;4859;4;8333;1802286;34;"Paulanerkirche";+2629;+339726;162207;481147;200;21;10;10;0;2562;2097;0;458;0
"01101";"Favoriten";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";1998;3239;236;2368;2167517;34;72732;0;0;282;473950;2052;1620835;244;479671;36;75829;36;75829;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;594;2522297;516;1106495;13;1197595;0;0;10;47624;55;170583;5245314;34;"Amalienbad";+3477;+337318;162248;481029;248;32;30;30;0;4003;2575;0;1343;0
"01102";"Inzersdorf Stadt";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";1212;3238;597;2361;3139793;227;344892;1;2569;975;1665527;1158;1126805;342;2020065;7;53167;7;53167;0;0;0;0;0;0;5;46918;1;1169;4;45749;0;0;0;0;554;2596998;498;1494187;8;203632;25;621348;1;72;22;277759;7856941;34;"Stefan Fadinger-Platz, Kirche";+1862;+336348;162130;480958;243;24;61;61;0;8551;5893;0;2490;0
