"KG-NR";"KATASTRALGEMEINDE";"BUNDESLAND";"VERMESSUNGSAMT";"BEZIRKSGERICHT";"FINANZAMT";"BEZIRKSHAUPTMANNSCHAFT/MAGISTRAT";"PG-NR";"POLITISCHE GEMEINDE";"ANZ_EZ";"ANZ_GST";"ANZ_GST GK";"ANZ_BAUFLÄCHEN";"FL_BAUFLÄCHEN";"ANZ_Gebäude";"FL_Gebäude";"ANZ_befestigt";"FL_befestigt";"ANZ_begrünt";"FL_begrünt";"ANZ_BAUFLÄCHEN n.n.u.";"FL_BAUFLÄCHEN n.n.u.";"ANZ_LANDW. GENUTZT";"FL_LANDW. GENUTZT";"ANZ_GÄRTEN";"FL_GÄRTEN";"ANZ_Erholungsflächen";"FL_Erholungsflächen";"ANZ_WEINGÄRTEN";"FL_WEINGÄRTEN";"ANZ_ALPEN";"FL_ALPEN";"ANZ_WALD";"FL_WALD";"ANZ_GEWÄSSER";"FL_GEWÄSSER";"ANZ_fließend";"FL_fließend";"ANZ_stehend";"FL_stehend";"ANZ_Sumpf";"FL_Sumpf";"ANZ_GEWÄSSER n.n.u.";"FL_GEWÄSSER n.n.u.";"ANZ_SONSTIGE";"FL_SONSTIGE";"ANZ_Straßenanlagen";"FL_Straßenanlagen";"ANZ_Bahnanlagen";"FL_Bahnanlagen";"ANZ_Abbauflächen";"FL_Abbauflächen";"ANZ_Ödland";"FL_Ödland";"ANZ_SONSTIGE n.n.u.";"FL_SONSTIGE n.n.u.";"FL_KATASTRALGEMEINDE";"MER";"ZENTRUM Bezeichnung";"y-Koord";"x-Koord";"y-ggmmss";"x-ggmmss";"Höhe";"ANZ_TP";"ANZ_EP";"ANZ_EPterr";"ANZ_EPphot";"ANZ_GP";"ANZ_GP E";"ANZ_GP S";"ANZ_GP G";"ANZ_GP PP"
"01002";"Alsergrund";"Wien";"Wien";"Josefstadt";"f.d.9/18/19 Bez.,Klosterneuburg";"Alsergrund";"90001";"Wien";1623;2383;77;3731;1819208;1727;1203497;1549;280425;427;307240;28;28046;0;0;63;239392;63;239392;0;0;0;0;0;0;8;11072;8;11072;0;0;0;0;0;0;538;888125;528;812798;8;52734;0;0;0;0;2;22593;2957797;34;"Chemisch-physikalisches Institut";+1762;+342442;162125;481315;177;38;9;9;0;2480;1742;0;738;0
"01004";"Innere Stadt";"Wien";"Wien";"Innere Stadt Wien";"f.d.1.Bez. in Wien";"Innere Stadt";"90001";"Wien";1313;1982;32;2785;1403589;1450;1118275;1252;220024;48;36565;35;28725;0;0;57;370727;57;370727;0;0;0;0;0;0;5;33948;1;29483;4;4465;0;0;0;0;616;1063699;607;1053828;8;3132;0;0;0;0;1;6739;2871963;34;"St. Stefan Dom";+3041;+341095;162227;481232;171;47;3;3;0;3523;2987;0;536;0
"01005";"Josefstadt";"Wien";"Wien";"Josefstadt";"f.d.8.,16.u.17.Bez. in Wien";"Josefstadt";"90001";"Wien";956;1385;77;2269;765161;1019;513647;866;129479;372;118178;12;3857;0;0;14;23826;14;23826;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;196;302015;190;296868;6;5147;0;0;0;0;0;0;1091002;34;"Piaristenkirche";+1299;+341350;162103;481240;195;14;12;12;0;1290;761;0;529;0
"01006";"Landstraße";"Wien";"Wien";"Innere Stadt Wien";"f.d.3/11 Bez,Schwechat,Gerasdorf";"Landstraße";"90001";"Wien";2769;4574;475;6796;4349246;3001;2175560;2330;1012336;1439;1139457;26;21893;1;28128;149;782771;142;767893;0;0;0;0;0;0;15;15193;1;983;14;14210;0;0;0;0;1174;1997369;1046;1657121;102;257608;0;0;0;0;26;82640;7172707;34;"Herz Jesu Kirche";+4904;+339561;162357;481142;169;80;50;50;0;8804;5685;0;3119;0
"01008";"Margarethen";"Wien";"Wien";"Innere Stadt Wien";"f.d.4.,5.u.10.Bez. in Wien";"Margareten";"90001";"Wien";1616;2357;149;3950;1318172;1771;832780;1207;166093;957;311340;15;7959;0;0;29;58883;29;58883;0;0;0;0;1;71;0;0;0;0;0;0;0;0;0;0;437;629969;422;601339;14;28628;0;0;0;0;1;2;2007095;34;"Reinprechtsdorferstraße 35";+1561;+338669;162116;481113;170;23;16;16;0;3395;2138;0;1257;0
"01009";"Mariahilf";"Wien";"Wien";"Innere Stadt Wien";"f.d.6.,7.u.15.Bez. in Wien";"Mariahilf";"90001";"Wien";1150;1580;106;2644;958071;1214;654447;909;143308;507;147015;14;13301;0;0;35;34413;35;34413;0;0;0;0;0;0;1;41431;1;41431;0;0;0;0;0;0;261;419981;260;418136;0;0;0;0;0;0;1;1845;1453896;34;"Esterhazy Betonturm u. Apollo";+1492;+339841;162112;481151;192;22;10;10;0;2608;1777;0;831;0
"01010";"Neubau";"Wien";"Wien";"Josefstadt";"f.d.6.,7.u.15.Bez. in Wien";"Neubau";"90001";"Wien";1325;1807;77;3137;1172069;1415;804617;1173;218432;539;144254;10;4766;0;0;30;43052;30;43052;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;220;389765;220;389765;0;0;0;0;0;0;0;0;1604886;34;"St. Laurent. Pfarrkirche";+810;+340388;162039;481209;207;21;6;6;0;1770;1125;0;645;0
"01011";"Wieden";"Wien";"Wien";"Innere Stadt Wien";"f.d.4.,5.u.10.Bez. in Wien";"Wieden";"90001";"Wien";1214;1798;72;3065;1264213;1315;746158;955;149614;786;363854;9;4587;0;0;39;70366;39;70366;0;0;0;0;0;0;4;1359;0;0;4;1359;0;0;0;0;270;467007;269;466809;0;0;0;0;0;0;1;198;1802945;34;"Paulanerkirche";+2629;+339726;162207;481147;200;21;10;10;0;2727;2147;0;580;0
"01101";"Favoriten";"Wien";"Wien";"Favoriten";"f.d.4.,5.u.10.Bez. in Wien";"Favoriten";"90001";"Wien";1997;3244;269;4798;2666190;2304;1315951;1530;543299;941;793705;23;13235;0;0;87;358504;86;352991;0;0;0;0;0;0;2;640;0;0;2;640;0;0;0;0;686;2218831;657;1125611;19;1014309;0;0;0;0;10;78911;5244165;34;"Amalienbad";+3477;+337318;162248;481029;248;32;30;30;0;4037;2510;0;1527;0
"01102";"Inzersdorf Stadt";"Wien";"Wien";"Favoriten";"f.d.4.,5.u.10.Bez. in Wien";"Favoriten";"90001";"Wien";1371;4809;2274;5472;3568551;2734;1072512;621;437770;2097;2054002;20;4267;12;159312;147;2086064;147;2086064;0;0;0;0;0;0;21;166480;0;0;21;166480;0;0;0;0;1702;1880068;1640;1446639;19;193471;0;0;2;2996;41;236962;7860475;34;"Stefan Fadinger-Platz, Kirche";+1862;+336348;162130;480958;243;24;61;61;0;12711;7107;0;5604;0
"01103";"Kaiserebersdorf";"Wien";"Wien";"Innere Stadt Wien";"f.d.3/11 Bez,Schwechat,Gerasdorf";"Simmering";"90001";"Wien";1939;4925;1496;4484;2961449;2181;862988;342;340265;1913;1745620;48;12576;451;1282031;620;1999117;119;313420;0;0;0;0;5;33006;4;14589;4;14589;0;0;0;0;0;0;1956;5459615;1685;1137489;112;715734;0;0;0;0;159;3606392;11749807;34;"Zentralfriedhof, evang. Kirche";+8753;+334818;162704;480908;174;41;61;61;0;10330;5504;0;4826;0
"01104";"Oberlaa Land";"Wien";"Wien";"Favoriten";"f.d.4.,5.u.10.Bez. in Wien";"Favoriten";"90001";"Wien";1299;3023;324;3094;1101259;1395;288951;368;120502;1310;688780;21;3026;712;2795453;54;51417;48;44953;0;0;0;0;1;1171;8;121964;7;118817;1;3147;0;0;0;0;697;431809;649;308493;10;6314;0;0;14;65069;24;51933;4503073;34;"Oberlaa, Pfarrkirche";+5410;+333004;162422;480809;175;6;42;42;0;4849;3330;0;1519;0
"01105";"Oberlaa Stadt";"Wien";"Wien";"Favoriten";"f.d.4.,5.u.10.Bez. in Wien";"Favoriten";"90001";"Wien";1327;4047;1595;3671;2131754;1850;465174;189;223920;1615;1438630;17;4030;580;2362022;108;1291248;108;1291248;77;201233;0;0;55;396135;8;83727;0;0;8;83727;0;0;0;0;1620;1134657;1437;757927;120;277952;0;0;0;0;63;98778;7600776;34;"Laaerberg, Radiostation";+5606;+335092;162431;480917;250;13;64;64;0;7972;4084;0;3888;0
"01106";"Rothneusiedl";"Wien";"Wien";"Favoriten";"f.d.4.,5.u.10.Bez. in Wien";"Favoriten";"90001";"Wien";231;708;305;534;239906;174;49259;53;18453;306;172120;1;74;159;1527752;8;13252;8;13252;0;0;0;0;7;44715;3;7537;2;7498;1;39;0;0;0;0;213;65948;213;65948;0;0;0;0;0;0;0;0;1899110;34;"Himbergerstraße 51, Kapelle, TP 774-59";+3780;+333387;162303;480822;190;2;20;20;0;1599;798;0;800;0
"01107";"Simmering";"Wien";"Wien";"Innere Stadt Wien";"f.d.3/11 Bez,Schwechat,Gerasdorf";"Simmering";"90001";"Wien";2161;5142;848;3190;3982075;145;294382;9;5048;1435;1948347;1601;1734298;919;2844368;61;325501;44;218921;0;0;0;0;4;67166;9;24358;9;24358;0;0;0;0;0;0;1064;3148484;948;1516257;31;538771;0;0;2;546;83;1092910;10391952;34;"Simmering, Kirche";+6711;+336798;162525;481012;173;56;64;64;0;12113;7208;0;4905;0
"01108";"Unterlaa";"Wien";"Wien";"Favoriten";"f.d.4.,5.u.10.Bez. in Wien";"Favoriten";"90001";"Wien";300;747;76;529;201770;238;71082;75;19942;216;110746;0;0;333;2563223;35;56242;35;56242;0;0;0;0;16;71565;5;17635;5;17635;0;0;0;0;0;0;294;470510;235;106893;0;0;0;0;0;0;59;363617;3380945;34;"Funkmast Umspannwerk SO";+6661;+331946;162522;480735;200;4;27;27;0;1470;999;0;471;0
