"KG-NR";"KATASTRALGEMEINDE";"BUNDESLAND";"VERMESSUNGSAMT";"BEZIRKSGERICHT";"FINANZAMT";"BEZIRKSHAUPTMANNSCHAFT/MAGISTRAT";"PG-NR";"POLITISCHE GEMEINDE";"ANZ_EZ";"ANZ_GST";"ANZ_GST GK";"ANZ_BAUFLÄCHEN";"FL_BAUFLÄCHEN";"ANZ_Gebäude";"FL_Gebäude";"ANZ_befestigt";"FL_befestigt";"ANZ_begrünt";"FL_begrünt";"ANZ_BAUFLÄCHEN n.n.u.";"FL_BAUFLÄCHEN n.n.u.";"ANZ_LANDW. GENUTZT";"FL_LANDW. GENUTZT";"ANZ_GÄRTEN";"FL_GÄRTEN";"ANZ_Erholungsflächen";"FL_Erholungsflächen";"ANZ_WEINGÄRTEN";"FL_WEINGÄRTEN";"ANZ_ALPEN";"FL_ALPEN";"ANZ_WALD";"FL_WALD";"ANZ_GEWÄSSER";"FL_GEWÄSSER";"ANZ_fließend";"FL_fließend";"ANZ_stehend";"FL_stehend";"ANZ_Sumpf";"FL_Sumpf";"ANZ_GEWÄSSER n.n.u.";"FL_GEWÄSSER n.n.u.";"ANZ_SONSTIGE";"FL_SONSTIGE";"ANZ_Straßenanlagen";"FL_Straßenanlagen";"ANZ_Bahnanlagen";"FL_Bahnanlagen";"ANZ_Abbauflächen";"FL_Abbauflächen";"ANZ_Ödland";"FL_Ödland";"ANZ_SONSTIGE n.n.u.";"FL_SONSTIGE n.n.u.";"FL_KATASTRALGEMEINDE";"MER";"ZENTRUM Bezeichnung";"y-Koord";"x-Koord";"y-ggmmss";"x-ggmmss";"Höhe";"ANZ_TP";"ANZ_EP";"ANZ_EPterr";"ANZ_EPphot";"ANZ_GP";"ANZ_GP E";"ANZ_GP S";"ANZ_GP G";"ANZ_GP PP"
"01002";"Alsergrund";"Wien";"Wien";"Josefstadt";"f.d.9/18/19 Bez.,Klosterneuburg";"Wien";"90001";"Wien";1632;2434;192;3759;1814077;1741;1223333;1578;286876;424;289538;16;14330;0;0;62;269381;62;269381;0;0;0;0;0;0;10;11686;10;11686;0;0;0;0;0;0;572;864923;541;808591;30;54037;0;0;0;0;1;2295;2960067;34;"Chemisch-physikalisches Institut";+1762;+342442;162125;481315;177;38;9;9;0;3828;1752;0;2070;0
"01004";"Innere Stadt";"Wien";"Wien";"Innere Stadt Wien";"f.d.1.Bez. in Wien";"Wien";"90001";"Wien";1319;2003;45;2725;1414883;1448;1142182;1204;216772;48;30324;25;25605;0;0;42;340978;42;340978;0;0;0;0;0;0;4;31879;2;27524;2;4355;0;0;0;0;627;1090598;627;1090598;0;0;0;0;0;0;0;0;2878338;34;"St. Stefan Dom";+3041;+341095;162227;481232;171;48;3;3;0;4207;3477;0;713;0
"01005";"Josefstadt";"Wien";"Wien";"Josefstadt";"f.d.8.,16.u.17.Bez. in Wien";"Wien";"90001";"Wien";952;1373;78;2222;759269;1016;530080;885;122609;314;103715;7;2865;0;0;21;27124;21;27124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;204;303249;191;297422;13;5827;0;0;0;0;0;0;1089642;34;"Piaristenkirche";+1299;+341350;162103;481240;195;13;10;10;0;1561;944;0;617;0
"01006";"Landstraße";"Wien";"Wien";"Innere Stadt Wien";"f.d.3/11 Bez,Schwechat,Gerasdorf";"Wien";"90001";"Wien";2791;4715;777;6714;4312387;3038;2199829;2210;1024020;1449;1073789;17;14749;0;0;125;838756;125;838756;0;0;0;0;0;0;11;14358;0;0;11;14358;0;0;0;0;1294;1972566;1191;1667903;87;232169;0;0;0;0;16;72494;7138067;34;"Herz Jesu Kirche";+4904;+339561;162357;481142;169;80;47;47;0;10741;6374;0;4364;0
"01008";"Margarethen";"Wien";"Wien";"Innere Stadt Wien";"f.d.4.,5.u.10.Bez. in Wien";"Wien";"90001";"Wien";1620;2350;189;3805;1305955;1763;846515;1235;181361;799;273429;8;4650;0;0;36;63918;36;63918;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;438;642445;425;614242;11;22196;0;0;0;0;2;6007;2012318;34;"Reinprechtsdorferstraße 35";+1561;+338669;162116;481113;170;23;13;13;0;3944;2318;0;1626;0
"01009";"Mariahilf";"Wien";"Wien";"Innere Stadt Wien";"f.d.6.,7.u.15.Bez. in Wien";"Wien";"90001";"Wien";1132;1571;115;2552;942727;1205;682987;925;145471;411;111442;11;2827;0;0;41;47704;41;47704;0;0;0;0;0;0;1;30008;1;30008;0;0;0;0;0;0;270;427692;260;410066;10;17626;0;0;0;0;0;0;1448131;34;"Esterhazy Betonturm u. Apollo";+1492;+339841;162112;481151;192;22;8;8;0;2898;1980;0;918;0
"01010";"Neubau";"Wien";"Wien";"Josefstadt";"f.d.6.,7.u.15.Bez. in Wien";"Wien";"90001";"Wien";1316;1794;110;2997;1163558;1395;824631;1188;224329;408;111500;6;3098;0;0;35;54067;35;54067;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;220;387300;215;378044;5;9256;0;0;0;0;0;0;1604925;34;"St. Laurent. Pfarrkirche";+810;+340388;162039;481209;207;21;5;5;0;2034;1130;0;886;0
"01011";"Wieden";"Wien";"Wien";"Innere Stadt Wien";"f.d.4.,5.u.10.Bez. in Wien";"Wien";"90001";"Wien";1219;1808;86;3025;1199112;1335;758002;928;142544;757;295819;5;2747;0;0;38;123101;38;123101;0;0;0;0;0;0;4;1373;0;0;4;1373;0;0;0;0;279;476672;275;463441;2;1655;0;0;0;0;2;11576;1800258;34;"Paulanerkirche";+2629;+339726;162207;481147;200;21;10;10;0;2960;2273;0;687;0
"01101";"Favoriten";"Wien";"Wien";"Favoriten";"f.d.4.,5.u.10.Bez. in Wien";"Wien";"90001";"Wien";2008;3290;412;4793;2834619;2355;1459736;1464;453548;965;914219;9;7116;0;0;66;269403;65;263890;0;0;0;0;0;0;2;1045;0;0;2;1045;0;0;0;0;714;2173390;674;1127135;27;941283;0;0;0;0;13;104972;5278457;34;"Amalienbad";+3477;+337318;162248;481029;248;32;28;28;0;5192;2947;0;2245;0
"01102";"Inzersdorf Stadt";"Wien";"Wien";"Favoriten";"f.d.4.,5.u.10.Bez. in Wien";"Wien";"90001";"Wien";1665;4935;2599;5574;3642987;2739;1134077;605;458753;2212;2046062;18;4095;7;97269;148;2147521;148;2147521;0;0;0;0;0;0;25;174855;0;0;25;174855;0;0;0;0;1793;1798934;1741;1468121;18;179754;0;0;0;0;34;151059;7861566;34;"Stefan Fadinger-Platz, Kirche";+1862;+336348;162130;480958;243;24;60;60;0;13898;6787;0;7111;0
