"KG-NR";"KATASTRALGEMEINDE";"BUNDESLAND";"VERMESSUNGSAMT";"BEZIRKSGERICHT";"FINANZAMT";"BEZIRKSHAUPTMANNSCHAFT/MAGISTRAT";"PG-NR";"POLITISCHE GEMEINDE";"ANZ_EZ";"ANZ_GST";"ANZ_GST GK";"ANZ_BAUFLÄCHEN";"FL_BAUFLÄCHEN";"ANZ_Gebäude";"FL_Gebäude";"ANZ_befestigt";"FL_befestigt";"ANZ_begrünt";"FL_begrünt";"ANZ_BAUFLÄCHEN n.n.u.";"FL_BAUFLÄCHEN n.n.u.";"ANZ_LANDW. GENUTZT";"FL_LANDW. GENUTZT";"ANZ_GÄRTEN";"FL_GÄRTEN";"ANZ_Erholungsflächen";"FL_Erholungsflächen";"ANZ_WEINGÄRTEN";"FL_WEINGÄRTEN";"ANZ_ALPEN";"FL_ALPEN";"ANZ_WALD";"FL_WALD";"ANZ_GEWÄSSER";"FL_GEWÄSSER";"ANZ_fließend";"FL_fließend";"ANZ_stehend";"FL_stehend";"ANZ_Sumpf";"FL_Sumpf";"ANZ_GEWÄSSER n.n.u.";"FL_GEWÄSSER n.n.u.";"ANZ_SONSTIGE";"FL_SONSTIGE";"ANZ_Straßenanlagen";"FL_Straßenanlagen";"ANZ_Bahnanlagen";"FL_Bahnanlagen";"ANZ_Abbauflächen";"FL_Abbauflächen";"ANZ_Ödland";"FL_Ödland";"ANZ_SONSTIGE n.n.u.";"FL_SONSTIGE n.n.u.";"FL_KATASTRALGEMEINDE";"MER";"ZENTRUM Bezeichnung";"y-Koord";"x-Koord";"y-ggmmss";"x-ggmmss";"Höhe";"ANZ_TP";"ANZ_EP";"ANZ_EPterr";"ANZ_EPphot";"ANZ_GP";"ANZ_GP E";"ANZ_GP S";"ANZ_GP G";"ANZ_GP PP"
"01002";"Alsergrund";"Wien";"Wien";"Josefstadt";"für den 9.,18. u. 19. Bezirk";"Alsergrund";"90001";"Wien";1628;2374;59;2025;1931869;16;24388;1;221;340;308339;1668;1598921;0;0;8;4041;8;4041;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;346;1022097;314;788341;23;196026;0;0;2;59;7;37671;2958007;34;"Chemisch-physikalisches Institut";+1762;+342442;162125;481315;177;38;9;9;0;2277;1666;0;599;0
"01004";"Innere Stadt";"Wien";"Wien";"Innere Stadt Wien";"für den 1. Bezirk";"Innere Stadt";"90001";"Wien";1313;1936;18;2793;1403318;1458;1118107;1255;220835;49;36743;31;27633;0;0;41;364640;41;364640;0;0;0;0;0;0;5;33574;1;29109;4;4465;0;0;0;0;594;1071132;584;1061403;9;2990;0;0;0;0;1;6739;2872664;34;"St. Stefan Dom";+3041;+341095;162227;481232;171;47;3;3;0;2903;2716;0;187;0
"01005";"Josefstadt";"Wien";"Wien";"Josefstadt";"für den 8.,16. u. 17. Bezirk";"Josefstadt";"90001";"Wien";951;1347;26;2284;770240;1031;521334;866;127867;375;117182;12;3857;0;0;12;23683;12;23683;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;156;296982;154;295947;2;1035;0;0;0;0;0;0;1090905;34;"Piaristenkirche";+1299;+341350;162103;481240;195;14;12;12;0;944;733;0;211;0
"01006";"Landstraße";"Wien";"Wien";"Innere Stadt Wien";"für den 3. u. 11. Bezirk";"Landstraße";"90001";"Wien";2796;4723;389;3665;4333962;44;222867;1;857;821;1251520;2799;2858718;165;455299;27;241641;27;241641;0;0;0;0;0;0;1;983;1;983;0;0;0;0;0;0;879;2141048;796;1682025;45;251937;0;0;5;968;33;206118;7172933;34;"Herz Jesu Kirche";+4904;+339561;162357;481142;169;80;50;50;0;8333;5744;0;2423;0
"01008";"Margarethen";"Wien";"Wien";"Innere Stadt Wien";"für den 4.,5. u. 10. Bezirk";"Margareten";"90001";"Wien";1624;2372;112;3976;1319035;1784;832253;1213;165883;964;312940;15;7959;0;0;27;57713;27;57713;0;0;0;0;3;1274;0;0;0;0;0;0;0;0;0;0;443;628070;431;617762;11;10306;0;0;0;0;1;2;2006092;34;"Reinprechtsdorferstraße 35";+1561;+338669;162116;481113;170;23;16;16;0;3006;2118;0;888;0
"01009";"Mariahilf";"Wien";"Wien";"Innere Stadt Wien";"für den 6.,7. u. 15. Bezirk";"Mariahilf";"90001";"Wien";1154;1584;94;2645;958983;1214;662086;908;135988;509;146911;14;13998;0;0;35;34088;35;34088;0;0;0;0;0;0;1;41431;1;41431;0;0;0;0;0;0;268;423866;267;422021;0;0;0;0;0;0;1;1845;1458368;34;"Esterhazy Betonturm u. Apollo";+1492;+339841;162112;481151;192;22;10;10;0;2412;1714;0;698;0
"01010";"Neubau";"Wien";"Wien";"Josefstadt";"für den 6.,7. u. 15. Bezirk";"Neubau";"90001";"Wien";1324;1793;59;3133;1170920;1413;805674;1171;219430;539;141050;10;4766;0;0;26;42282;26;42282;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;216;391498;216;391498;0;0;0;0;0;0;0;0;1604700;34;"St. Laurent. Pfarrkirche";+810;+340388;162039;481209;207;21;6;6;0;1618;1062;0;556;0
"01011";"Wieden";"Wien";"Wien";"Innere Stadt Wien";"für den 4.,5. u. 10. Bezirk";"Wieden";"90001";"Wien";1215;1782;59;3072;1261112;1323;748459;955;144882;786;363314;8;4457;0;0;38;70803;38;70803;0;0;0;0;0;0;4;1359;0;0;4;1359;0;0;0;0;265;469011;264;468813;0;0;0;0;0;0;1;198;1802285;34;"Paulanerkirche";+2629;+339726;162207;481147;200;21;10;10;0;2573;2111;0;462;0
"01101";"Favoriten";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";1997;3239;236;2368;2167517;34;72732;0;0;282;473950;2052;1620835;244;479671;36;75829;36;75829;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;594;2522297;516;1106495;13;1197595;0;0;10;47624;55;170583;5245314;34;"Amalienbad";+3477;+337318;162248;481029;248;32;30;30;0;4002;2574;0;1343;0
"01102";"Inzersdorf Stadt";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";1213;3241;602;2362;3138184;225;343929;1;2569;977;1664012;1159;1127674;342;2019196;7;53167;7;53167;0;0;0;0;0;0;5;46918;1;1169;4;45749;0;0;0;0;558;2602183;501;1498784;8;203632;25;621348;1;72;23;278347;7859648;34;"Stefan Fadinger-Platz, Kirche";+1862;+336348;162130;480958;243;24;61;61;0;8584;5896;0;2515;0
"01103";"Kaiserebersdorf";"Wien";"Wien";"Innere Stadt Wien";"für den 3. u. 11. Bezirk";"Simmering";"90001";"Wien";1898;4862;1264;2678;2199653;140;68816;0;0;1646;1445957;892;684880;1408;4613622;3;18299;2;13791;0;0;0;0;4;7419;16;33362;14;33023;0;0;0;0;2;339;777;4877235;715;945327;33;725634;0;0;3;495;26;3205779;11749590;34;"Zentralfriedhof, evang. Kirche";+8753;+334818;162704;480908;174;41;59;59;0;7875;3918;0;3848;0
"01104";"Oberlaa Land";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";1267;2983;265;1604;776022;11;12590;0;0;742;421905;851;341527;1091;3173210;1;7664;1;7664;0;0;0;0;0;0;12;133889;11;130742;1;3147;0;0;0;0;286;413236;245;278797;10;6236;0;0;3;359;28;127844;4504021;34;"Oberlaa, Pfarrkirche";+5410;+333004;162422;480809;175;6;42;42;0;4527;3235;0;1261;0
"01105";"Oberlaa Stadt";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";1212;2731;253;1394;1526550;111;165377;0;0;736;1167942;547;193231;942;3591947;27;1219707;27;1219707;75;197099;0;0;36;382144;3;34520;0;0;3;34520;0;0;0;0;275;647788;251;385118;11;203422;0;0;0;0;13;59248;7599755;34;"Laaerberg, Radiostation";+5606;+335092;162431;480917;250;13;64;64;0;3755;2503;0;1238;0
"01106";"Rothneusiedl";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";184;515;103;244;192837;1;503;0;0;135;118811;108;73523;203;1642170;1;1014;1;1014;0;0;0;0;0;0;7;10403;7;10403;0;0;0;0;0;0;61;52296;61;52296;0;0;0;0;0;0;0;0;1898720;34;"Himbergerstraße 51, Kapelle, TP 774-59";+3780;+333387;162303;480822;190;2;20;20;0;956;567;0;389;0
"01107";"Simmering";"Wien";"Wien";"Innere Stadt Wien";"für den 3. u. 11. Bezirk";"Simmering";"90001";"Wien";2126;5093;711;3122;4184144;86;167601;0;0;1384;1904235;1652;2112308;984;3033684;32;157812;32;157812;0;0;0;0;3;70510;11;25468;11;25468;0;0;0;0;0;0;975;2922454;872;1512423;25;537123;0;0;2;546;76;872362;10394072;34;"Simmering, Kirche";+6711;+336798;162525;481012;173;56;63;63;0;10424;6293;0;3985;0
"01108";"Unterlaa";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";298;747;70;188;114018;4;4004;0;0;41;27002;143;83012;480;3074415;3;4813;3;4813;0;0;0;0;0;0;5;16704;5;16704;0;0;0;0;0;0;76;171155;73;104755;0;0;0;0;0;0;3;66400;3381105;34;"Funkmast Umspannwerk SO";+6661;+331946;162522;480735;200;4;27;27;0;1438;1021;0;413;0
"01109";"Albern";"Wien";"Wien";"Innere Stadt Wien";"für den 3. u. 11. Bezirk";"Simmering";"90001";"Wien";136;353;45;141;66156;1;885;0;0;54;29420;86;35851;125;632213;0;0;0;0;0;0;0;0;18;751520;21;656083;18;579298;0;0;1;4809;2;71976;50;480431;30;88215;6;15677;0;0;0;0;14;376539;2586403;34;"Alberner Hafen, Agrarspeicher";+12064;+335635;162944;480934;152;6;25;25;0;574;220;0;346;0
