"KG-NR";"KATASTRALGEMEINDE";"BUNDESLAND";"VERMESSUNGSAMT";"BEZIRKSGERICHT";"FINANZAMT";"BEZIRKSHAUPTMANNSCHAFT/MAGISTRAT";"PG-NR";"POLITISCHE GEMEINDE";"ANZ_EZ";"ANZ_GST";"ANZ_GST GK";"ANZ_BAUFLÄCHEN";"FL_BAUFLÄCHEN";"ANZ_Gebäude";"FL_Gebäude";"ANZ_befestigt";"FL_befestigt";"ANZ_begrünt";"FL_begrünt";"ANZ_BAUFLÄCHEN n.n.u.";"FL_BAUFLÄCHEN n.n.u.";"ANZ_LANDW. GENUTZT";"FL_LANDW. GENUTZT";"ANZ_GÄRTEN";"FL_GÄRTEN";"ANZ_Erholungsflächen";"FL_Erholungsflächen";"ANZ_WEINGÄRTEN";"FL_WEINGÄRTEN";"ANZ_ALPEN";"FL_ALPEN";"ANZ_WALD";"FL_WALD";"ANZ_GEWÄSSER";"FL_GEWÄSSER";"ANZ_fließend";"FL_fließend";"ANZ_stehend";"FL_stehend";"ANZ_Sumpf";"FL_Sumpf";"ANZ_GEWÄSSER n.n.u.";"FL_GEWÄSSER n.n.u.";"ANZ_SONSTIGE";"FL_SONSTIGE";"ANZ_Straßenanlagen";"FL_Straßenanlagen";"ANZ_Bahnanlagen";"FL_Bahnanlagen";"ANZ_Abbauflächen";"FL_Abbauflächen";"ANZ_Ödland";"FL_Ödland";"ANZ_SONSTIGE n.n.u.";"FL_SONSTIGE n.n.u.";"FL_KATASTRALGEMEINDE";"MER";"ZENTRUM Bezeichnung";"y-Koord";"x-Koord";"y-ggmmss";"x-ggmmss";"Höhe";"ANZ_TP";"ANZ_EP";"ANZ_EPterr";"ANZ_EPphot";"ANZ_GP";"ANZ_GP E";"ANZ_GP S";"ANZ_GP G";"ANZ_GP PP"
"01002";"Alsergrund";"Wien";"Wien";"Josefstadt";"für den 9.,18. u. 19. Bezirk";"Alsergrund";"90001";"Wien";1625;2372;64;3719;1840035;1720;1201917;1543;278378;427;329933;29;29807;0;0;60;220555;60;220555;0;0;0;0;0;0;8;11072;8;11072;0;0;0;0;0;0;538;886133;528;810806;8;52734;0;0;0;0;2;22593;2957795;34;"Chemisch-physikalisches Institut";+1762;+342442;162125;481315;177;38;9;9;0;2354;1729;0;625;0
"01004";"Innere Stadt";"Wien";"Wien";"Innere Stadt Wien";"für den 1. Bezirk";"Innere Stadt";"90001";"Wien";1314;1976;31;2788;1403585;1451;1118056;1254;220239;48;36565;35;28725;0;0;55;370798;55;370798;0;0;0;0;0;0;4;4465;0;0;4;4465;0;0;0;0;611;1093186;602;1083315;8;3132;0;0;0;0;1;6739;2872034;34;"St. Stefan Dom";+3041;+341095;162227;481232;171;47;3;3;0;3476;2952;0;524;0
"01005";"Josefstadt";"Wien";"Wien";"Josefstadt";"für den 8.,16. u. 17. Bezirk";"Josefstadt";"90001";"Wien";952;1354;30;2283;770174;1030;520985;866;127824;375;117508;12;3857;0;0;14;23826;14;23826;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;162;296865;160;295830;2;1035;0;0;0;0;0;0;1090865;34;"Piaristenkirche";+1299;+341350;162103;481240;195;14;12;12;0;1012;763;0;249;0
"01006";"Landstraße";"Wien";"Wien";"Innere Stadt Wien";"für den 3. u. 11. Bezirk";"Landstraße";"90001";"Wien";2693;4552;419;6802;4360088;3010;2177490;2327;1027623;1438;1132506;27;22469;1;28128;149;772415;146;764301;0;0;0;0;0;0;15;15193;1;983;14;14210;0;0;0;0;1159;1996812;1033;1662529;100;256951;0;0;0;0;26;77332;7172636;34;"Herz Jesu Kirche";+4904;+339561;162357;481142;169;80;50;50;0;8203;5466;0;2737;0
"01008";"Margarethen";"Wien";"Wien";"Innere Stadt Wien";"für den 4.,5. u. 10. Bezirk";"Margareten";"90001";"Wien";1622;2375;131;3976;1319009;1782;830836;1216;168098;963;312116;15;7959;0;0;26;57707;26;57707;0;0;0;0;3;1274;0;0;0;0;0;0;0;0;0;0;444;628097;432;617789;11;10306;0;0;0;0;1;2;2006087;34;"Reinprechtsdorferstraße 35";+1561;+338669;162116;481113;170;23;16;16;0;3173;2149;0;1024;0
"01009";"Mariahilf";"Wien";"Wien";"Innere Stadt Wien";"für den 6.,7. u. 15. Bezirk";"Mariahilf";"90001";"Wien";1150;1587;105;2645;959435;1214;656240;909;143282;508;146612;14;13301;0;0;36;34479;36;34479;0;0;0;0;0;0;1;41431;1;41431;0;0;0;0;0;0;267;423077;266;421232;0;0;0;0;0;0;1;1845;1458422;34;"Esterhazy Betonturm u. Apollo";+1492;+339841;162112;481151;192;22;10;10;0;2546;1755;0;791;0
"01010";"Neubau";"Wien";"Wien";"Josefstadt";"für den 6.,7. u. 15. Bezirk";"Neubau";"90001";"Wien";1324;1801;70;3137;1172046;1414;803008;1172;219330;541;144942;10;4766;0;0;29;41974;29;41974;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;217;390859;217;390859;0;0;0;0;0;0;0;0;1604879;34;"St. Laurent. Pfarrkirche";+810;+340388;162039;481209;207;21;6;6;0;1718;1114;0;604;0
"01011";"Wieden";"Wien";"Wien";"Innere Stadt Wien";"für den 4.,5. u. 10. Bezirk";"Wieden";"90001";"Wien";1214;1797;72;3065;1264391;1315;746160;955;149792;786;363852;9;4587;0;0;39;70366;39;70366;0;0;0;0;0;0;4;1359;0;0;4;1359;0;0;0;0;270;466831;269;466633;0;0;0;0;0;0;1;198;1802947;34;"Paulanerkirche";+2629;+339726;162207;481147;200;21;10;10;0;2722;2142;0;580;0
"01101";"Favoriten";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";1995;3237;250;4816;2666452;2317;1317958;1532;538638;944;796621;23;13235;0;0;85;360144;84;354631;0;0;0;0;0;0;2;640;0;0;2;640;0;0;0;0;675;2218094;646;1124874;19;1014309;0;0;0;0;10;78911;5245330;34;"Amalienbad";+3477;+337318;162248;481029;248;32;30;30;0;3967;2466;0;1405;0
"01102";"Inzersdorf Stadt";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";1198;3253;644;2389;3257313;240;405629;7;71936;993;1782980;1149;996768;326;1603281;10;310373;10;310373;0;0;0;0;0;0;6;47713;1;1169;5;46544;0;0;0;0;581;2641319;516;1510814;8;203632;25;618868;1;72;31;307933;7859999;34;"Stefan Fadinger-Platz, Kirche";+1862;+336348;162130;480958;243;24;61;61;0;8643;5736;0;2732;0
