"KG-NR";"KATASTRALGEMEINDE";"BUNDESLAND";"VERMESSUNGSAMT";"BEZIRKSGERICHT";"FINANZAMT";"BEZIRKSHAUPTMANNSCHAFT/MAGISTRAT";"PG-NR";"POLITISCHE GEMEINDE";"ANZ_EZ";"ANZ_GST";"ANZ_GST GK";"ANZ_BAUFLÄCHEN";"FL_BAUFLÄCHEN";"ANZ_Gebäude";"FL_Gebäude";"ANZ_befestigt";"FL_befestigt";"ANZ_begrünt";"FL_begrünt";"ANZ_BAUFLÄCHEN n.n.u.";"FL_BAUFLÄCHEN n.n.u.";"ANZ_LANDW. GENUTZT";"FL_LANDW. GENUTZT";"ANZ_GÄRTEN";"FL_GÄRTEN";"ANZ_Erholungsflächen";"FL_Erholungsflächen";"ANZ_WEINGÄRTEN";"FL_WEINGÄRTEN";"ANZ_ALPEN";"FL_ALPEN";"ANZ_WALD";"FL_WALD";"ANZ_GEWÄSSER";"FL_GEWÄSSER";"ANZ_fließend";"FL_fließend";"ANZ_stehend";"FL_stehend";"ANZ_Sumpf";"FL_Sumpf";"ANZ_GEWÄSSER n.n.u.";"FL_GEWÄSSER n.n.u.";"ANZ_SONSTIGE";"FL_SONSTIGE";"ANZ_Straßenanlagen";"FL_Straßenanlagen";"ANZ_Bahnanlagen";"FL_Bahnanlagen";"ANZ_Abbauflächen";"FL_Abbauflächen";"ANZ_Ödland";"FL_Ödland";"ANZ_SONSTIGE n.n.u.";"FL_SONSTIGE n.n.u.";"FL_KATASTRALGEMEINDE";"MER";"ZENTRUM Bezeichnung";"y-Koord";"x-Koord";"y-ggmmss";"x-ggmmss";"Höhe";"ANZ_TP";"ANZ_EP";"ANZ_EPterr";"ANZ_EPphot";"ANZ_GP";"ANZ_GP E";"ANZ_GP S";"ANZ_GP G";"ANZ_GP PP"
"30017";"Purbach am Neusiedlersee";"Burgenland";"Eisenstadt";"Eisenstadt";"Eisenstadt";"Eisenstadt - Umgebung";"10312";"Purbach am Neusiedler See";2387;7490;344;1257;595605;265;69207;0;0;75;30404;917;495994;2476;11624823;9;16890;6;14422;3213;6452751;0;0;469;13829206;18;6401778;14;29397;1;6312655;3;59726;0;0;353;6914975;269;622741;1;16111;0;0;18;5832;65;6270291;45836028;34;"Pfarrkirche 169-78";+27183;+308405;164149;475451;122;12;172;172;0;7733;3650;0;3238;0
"30018";"Rust";"Burgenland";"Eisenstadt";"Eisenstadt";"Eisenstadt";"Rust";"10201";"Rust";1483;5302;56;1283;547485;22;7210;0;0;222;112847;1039;427428;1257;1931809;4;28995;4;28995;2547;5209700;0;0;34;224275;33;11564568;2;13729;23;10266795;8;1284044;0;0;172;503239;155;450436;0;0;0;0;6;16335;11;36468;20010071;34;"evang. Kirche 61-78";+25579;+295788;164029;474803;124;17;75;75;0;2503;2089;0;414;0
"30019";"St. Georgen";"Burgenland";"Eisenstadt";"Eisenstadt";"Eisenstadt";"Eisenstadt";"10101";"Eisenstadt";1344;4531;735;1592;552245;636;135852;628;261613;323;153395;5;1385;1207;3890592;0;0;0;0;1724;3407801;0;0;448;5673679;4;17744;3;17147;1;597;0;0;0;0;233;585013;186;453879;10;37100;2;1582;6;11551;29;80901;14127074;34;"Kirche 188-77";+16489;+301909;163313;475122;160;11;78;78;0;4533;1501;0;2654;0
"30020";"St. Margarethen";"Burgenland";"Eisenstadt";"Eisenstadt";"Eisenstadt";"Eisenstadt - Umgebung";"10313";"Sankt Margarethen im Burgenland";2685;8285;373;1548;762004;41;26118;3;873;204;106928;1300;628085;3565;11865381;2;3916;1;2163;2871;6562179;0;0;71;6326428;23;98064;22;89664;1;8400;0;0;0;0;319;919347;298;748722;0;0;3;140228;0;0;18;30397;26537319;34;"Pfarrkirche 64-78";+20578;+296123;163629;474814;151;34;156;156;0;4644;2860;11;1781;0
"30021";"Schützen am Gebirge";"Burgenland";"Eisenstadt";"Eisenstadt";"Eisenstadt";"Eisenstadt - Umgebung";"10314";"Schützen am Gebirge";1260;6404;94;820;387655;112;47889;0;0;136;74252;572;265514;2439;5433000;0;0;0;0;2893;5144835;0;0;115;9478156;50;127357;24;100283;26;27074;0;0;0;0;242;628970;174;452610;23;86572;1;15663;8;16944;36;57181;21199973;34;"r.k. Pfarrkirche 113-78";+21916;+301353;163734;475103;130;14;87;87;0;2198;1143;0;1017;0
"30022";"Siegendorf";"Burgenland";"Eisenstadt";"Eisenstadt";"Eisenstadt";"Eisenstadt - Umgebung";"10315";"Siegendorf";1843;5082;0;1385;700829;8;2668;0;0;426;227423;951;470738;2954;15355110;5;40066;5;40066;424;1016062;0;0;68;4971754;72;331519;64;123846;5;28433;3;179240;0;0;195;641167;183;546914;0;0;0;0;0;0;12;94253;23056507;34;"r.k. Pfarrkirche 64-77";+15756;+293349;163237;474645;171;29;108;108;0;5697;3220;59;0;0
"30023";"Steinbrunn";"Burgenland";"Eisenstadt";"Eisenstadt";"Eisenstadt";"Eisenstadt - Umgebung";"10316";"Steinbrunn";1211;2750;1113;790;596174;16;5663;2;272;225;253829;547;336410;1537;12639469;5;37616;5;37616;67;70645;0;0;101;986759;25;83323;13;10579;12;72744;0;0;0;0;255;990749;224;752609;7;100553;0;0;8;63646;16;73941;15404735;34;"r.k. Pfarrkirche 149-77";+5721;+299900;162435;475018;242;18;104;104;0;5967;1070;0;4566;0
"30024";"Stotzing";"Burgenland";"Eisenstadt";"Eisenstadt";"Eisenstadt";"Eisenstadt - Umgebung";"10321";"Stotzing";538;1483;629;341;195391;22;8350;1;226;13;4513;305;182302;857;4243192;0;0;0;0;38;36754;0;0;132;8097134;0;0;0;0;0;0;0;0;0;0;144;338059;124;296550;0;0;2;4931;0;0;18;36578;12910530;34;"Pfarr-u. Klosterkirche 261-77";+16104;+307372;163256;475419;253;13;73;73;0;3210;519;0;2546;8
"30025";"Trausdorf an der Wulka";"Burgenland";"Eisenstadt";"Eisenstadt";"Eisenstadt";"Eisenstadt - Umgebung";"10317";"Trausdorf an der Wulka";1377;6063;0;811;508174;3;371;1;198;101;36426;706;471179;2651;11875241;0;0;0;0;681;1086041;0;0;1759;1432369;23;112031;23;112031;0;0;0;0;0;0;161;423390;149;400861;0;0;1;7485;0;0;11;15044;15437246;34;"Pfarrkirche 118-77";+16917;+297279;163333;474852;150;21;83;83;0;0;0;0;0;0
"30026";"Wimpassing an der Leitha";"Burgenland";"Eisenstadt";"Eisenstadt";"Eisenstadt";"Eisenstadt - Umgebung";"10318";"Wimpassing an der Leitha";665;1994;225;441;318139;29;20550;1;424;82;71374;329;225791;985;5577952;0;0;0;0;53;85667;0;0;377;1329485;26;87273;12;79433;1;510;0;0;13;7330;166;515718;144;309307;0;0;8;102224;11;76337;3;27850;7914234;34;"r.k. Pfarrkirche 280-77";+7244;+308612;162549;475500;221;14;84;84;0;4243;765;0;1211;43
