KG_NR;KG;Meridian;GKZ;PG;BKZ;PB;FA_NR;FA;GB_KZ;GB;VA_NR;VA;DS_NR;DS;BL_KZ;BL;FL
"01002";"Alsergrund";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"028";"Josefstadt";"01";"Wien";"";"";"9";"Wien";2961340
"01004";"Innere Stadt";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"010";"Innere Stadt Wien";"01";"Wien";"";"";"9";"Wien";2864630
"01005";"Josefstadt";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"028";"Josefstadt";"01";"Wien";"";"";"9";"Wien";1089528
"01006";"Landstraße";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"010";"Innere Stadt Wien";"01";"Wien";"";"";"9";"Wien";7143394
"01008";"Margarethen";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"010";"Innere Stadt Wien";"01";"Wien";"";"";"9";"Wien";2012274
"01009";"Mariahilf";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"010";"Innere Stadt Wien";"01";"Wien";"";"";"9";"Wien";1459566
"01010";"Neubau";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"028";"Josefstadt";"01";"Wien";"";"";"9";"Wien";1607521
"01011";"Wieden";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"010";"Innere Stadt Wien";"01";"Wien";"";"";"9";"Wien";1810303
"01101";"Favoriten";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"011";"Favoriten";"01";"Wien";"";"";"9";"Wien";5279029
"01102";"Inzersdorf Stadt";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"011";"Favoriten";"01";"Wien";"";"";"9";"Wien";7861735
"01103";"Kaiserebersdorf";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"010";"Innere Stadt Wien";"01";"Wien";"";"";"9";"Wien";11760382
"01104";"Oberlaa Land";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"011";"Favoriten";"01";"Wien";"";"";"9";"Wien";4512832
"01105";"Oberlaa Stadt";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"011";"Favoriten";"01";"Wien";"";"";"9";"Wien";7607737
"01106";"Rothneusiedl";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"011";"Favoriten";"01";"Wien";"";"";"9";"Wien";1904439
"01107";"Simmering";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"010";"Innere Stadt Wien";"01";"Wien";"";"";"9";"Wien";10429106
"01108";"Unterlaa";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"011";"Favoriten";"01";"Wien";"";"";"9";"Wien";3384334
"01109";"Albern";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"010";"Innere Stadt Wien";"01";"Wien";"";"";"9";"Wien";2583711
"01201";"Auhof";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"012";"Hietzing";"01";"Wien";"";"";"9";"Wien";26090386
"01202";"Breitensee";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"013";"Fünfhaus";"01";"Wien";"";"";"9";"Wien";1725935
"01203";"Hacking";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"012";"Hietzing";"01";"Wien";"";"";"9";"Wien";430461
"01204";"Hadersdorf";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"013";"Fünfhaus";"01";"Wien";"";"";"9";"Wien";20596212
"01205";"Hietzing";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"012";"Hietzing";"01";"Wien";"";"";"9";"Wien";1229886
"01206";"Hütteldorf";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"013";"Fünfhaus";"01";"Wien";"";"";"9";"Wien";6148731
"01207";"Lainz";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"012";"Hietzing";"01";"Wien";"";"";"9";"Wien";1712738
"01208";"Oberbaumgarten";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"013";"Fünfhaus";"01";"Wien";"";"";"9";"Wien";898465
"01209";"Ober St. Veit";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"012";"Hietzing";"01";"Wien";"";"";"9";"Wien";3939387
"01210";"Penzing";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"013";"Fünfhaus";"01";"Wien";"";"";"9";"Wien";1927486
"01211";"Rosenberg";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"012";"Hietzing";"01";"Wien";"";"";"9";"Wien";408132
"01212";"Schönbrunn";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"012";"Hietzing";"01";"Wien";"";"";"9";"Wien";2018447
"01213";"Speising";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"012";"Hietzing";"01";"Wien";"";"";"9";"Wien";1803241
"01214";"Unterbaumgarten";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"013";"Fünfhaus";"01";"Wien";"";"";"9";"Wien";991679
"01215";"Unter St. Veit";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"012";"Hietzing";"01";"Wien";"";"";"9";"Wien";608872
"01216";"Weidlingau";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"013";"Fünfhaus";"01";"Wien";"";"";"9";"Wien";934679
"01301";"Altmannsdorf";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"081";"Meidling";"01";"Wien";"";"";"9";"Wien";2289174
"01302";"Fünfhaus";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"013";"Fünfhaus";"01";"Wien";"";"";"9";"Wien";1889071
"01303";"Gaudenzdorf";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"081";"Meidling";"01";"Wien";"";"";"9";"Wien";275469
"01304";"Hetzendorf";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"081";"Meidling";"01";"Wien";"";"";"9";"Wien";2238421
"01305";"Meidling";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"081";"Meidling";"01";"Wien";"";"";"9";"Wien";3143148
"01306";"Rudolfsheim";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"013";"Fünfhaus";"01";"Wien";"";"";"9";"Wien";1674476
"01307";"Sechshaus";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"013";"Fünfhaus";"01";"Wien";"";"";"9";"Wien";362103
"01401";"Dornbach";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"014";"Hernals";"01";"Wien";"";"";"9";"Wien";5569799
"01402";"Hernals";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"014";"Hernals";"01";"Wien";"";"";"9";"Wien";1953659
"01403";"Neulerchenfeld";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"014";"Hernals";"01";"Wien";"";"";"9";"Wien";601054
"01404";"Neuwaldegg";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"014";"Hernals";"01";"Wien";"";"";"9";"Wien";3865114
"01405";"Ottakring";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"014";"Hernals";"01";"Wien";"";"";"9";"Wien";8069997
"01501";"Gersthof";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"015";"Döbling";"01";"Wien";"";"";"9";"Wien";879410
"01502";"Grinzing";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"015";"Döbling";"01";"Wien";"";"";"9";"Wien";6734744
"01503";"Heiligenstadt";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"015";"Döbling";"01";"Wien";"";"";"9";"Wien";2703066
"01504";"Josefsdorf";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"015";"Döbling";"01";"Wien";"";"";"9";"Wien";649045
"01505";"Kahlenbergerdorf";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"015";"Döbling";"01";"Wien";"";"";"9";"Wien";2281676
"01506";"Neustift am Walde";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"015";"Döbling";"01";"Wien";"";"";"9";"Wien";1511752
"01507";"Nußdorf";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"015";"Döbling";"01";"Wien";"";"";"9";"Wien";2273987
"01508";"Oberdöbling";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"015";"Döbling";"01";"Wien";"";"";"9";"Wien";2411222
"01509";"Obersievering";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"015";"Döbling";"01";"Wien";"";"";"9";"Wien";2354258
"01510";"Pötzleinsdorf";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"015";"Döbling";"01";"Wien";"";"";"9";"Wien";2785992
"01511";"Salmannsdorf";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"015";"Döbling";"01";"Wien";"";"";"9";"Wien";662619
"01512";"Unterdöbling";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"015";"Döbling";"01";"Wien";"";"";"9";"Wien";723873
"01513";"Untersievering";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"015";"Döbling";"01";"Wien";"";"";"9";"Wien";1982432
"01514";"Währing";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"015";"Döbling";"01";"Wien";"";"";"9";"Wien";2420756
"01515";"Weinhaus";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"015";"Döbling";"01";"Wien";"";"";"9";"Wien";174009
"01603";"Donaufeld";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"016";"Floridsdorf";"01";"Wien";"";"";"9";"Wien";4242682
"01605";"Floridsdorf";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"016";"Floridsdorf";"01";"Wien";"";"";"9";"Wien";2333590
"01606";"Großjedlersdorf I";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"016";"Floridsdorf";"01";"Wien";"";"";"9";"Wien";3737743
"01607";"Großjedlersdorf II";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"016";"Floridsdorf";"01";"Wien";"";"";"9";"Wien";2223058
