KG_NR;KG;Meridian;GKZ;PG;BKZ;PB;FA_NR;FA;GB_KZ;GB;VA_NR;VA;DS_NR;DS;BL_KZ;BL;FL
"01609";"Jedlesee";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"016";"Floridsdorf";"01";"Wien";"";"";"9";"Wien";1442209
"01613";"Leopoldau";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"016";"Floridsdorf";"01";"Wien";"";"";"9";"Wien";10489900
"01614";"Schwarze Lackenau";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"016";"Floridsdorf";"01";"Wien";"";"";"9";"Wien";4034922
"01616";"Stammersdorf";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"016";"Floridsdorf";"01";"Wien";"";"";"9";"Wien";13033039
"01617";"Strebersdorf";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"016";"Floridsdorf";"01";"Wien";"";"";"9";"Wien";4633793
"01620";"Brigittenau";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"082";"Leopoldstadt";"01";"Wien";"";"";"9";"Wien";4750135
"01651";"Aspern";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"027";"Donaustadt";"01";"Wien";"";"";"9";"Wien";19901749
"01652";"Breitenlee";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"027";"Donaustadt";"01";"Wien";"";"";"9";"Wien";10074674
"01654";"Eßling";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"027";"Donaustadt";"01";"Wien";"";"";"9";"Wien";14981301
"01657";"Leopoldstadt";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"082";"Leopoldstadt";"01";"Wien";"";"";"9";"Wien";18180061
"01658";"Hirschstetten";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"027";"Donaustadt";"01";"Wien";"";"";"9";"Wien";5519843
"01660";"Kagran";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"027";"Donaustadt";"01";"Wien";"";"";"9";"Wien";10849643
"01661";"Kaiserebersdorf Herrschaft";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"027";"Donaustadt";"01";"Wien";"";"";"9";"Wien";24615272
"01662";"Landjägermeisteramt";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"027";"Donaustadt";"01";"Wien";"";"";"9";"Wien";2045101
"01665";"Stadlau";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"027";"Donaustadt";"01";"Wien";"";"";"9";"Wien";4963620
"01668";"Süssenbrunn";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"027";"Donaustadt";"01";"Wien";"";"";"9";"Wien";5029043
"01669";"Kaisermühlen";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"027";"Donaustadt";"01";"Wien";"";"";"9";"Wien";5338844
"01701";"Gugging";"M34";"32408";"Klosterneuburg";"324";"Wien-Umgebung";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"017";"Klosterneuburg";"01";"Wien";"";"";"3";"Niederösterreich";4506915
"01702";"Höflein an der Donau";"M34";"32408";"Klosterneuburg";"324";"Wien-Umgebung";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"017";"Klosterneuburg";"01";"Wien";"";"";"3";"Niederösterreich";3909743
"01703";"Kierling";"M34";"32408";"Klosterneuburg";"324";"Wien-Umgebung";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"017";"Klosterneuburg";"01";"Wien";"";"";"3";"Niederösterreich";11443223
"01704";"Klosterneuburg";"M34";"32408";"Klosterneuburg";"324";"Wien-Umgebung";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"017";"Klosterneuburg";"01";"Wien";"";"";"3";"Niederösterreich";12511913
"01705";"Kritzendorf";"M34";"32408";"Klosterneuburg";"324";"Wien-Umgebung";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"017";"Klosterneuburg";"01";"Wien";"";"";"3";"Niederösterreich";12163449
"01706";"Weidling";"M34";"32408";"Klosterneuburg";"324";"Wien-Umgebung";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"017";"Klosterneuburg";"01";"Wien";"";"";"3";"Niederösterreich";14534730
"01707";"Weidlingbach";"M34";"32408";"Klosterneuburg";"324";"Wien-Umgebung";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"017";"Klosterneuburg";"01";"Wien";"";"";"3";"Niederösterreich";17126903
"01708";"Gerasdorf";"M34";"32404";"Gerasdorf bei Wien";"324";"Wien-Umgebung";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"017";"Klosterneuburg";"01";"Wien";"";"";"3";"Niederösterreich";17648919
"01709";"Kapellerfeld";"M34";"32404";"Gerasdorf bei Wien";"324";"Wien-Umgebung";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"017";"Klosterneuburg";"01";"Wien";"";"";"3";"Niederösterreich";8052386
"01710";"Seyring";"M34";"32404";"Gerasdorf bei Wien";"324";"Wien-Umgebung";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"017";"Klosterneuburg";"01";"Wien";"";"";"3";"Niederösterreich";9546744
"01801";"Atzgersdorf";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"018";"Liesing";"01";"Wien";"";"";"9";"Wien";3472232
"01802";"Erlaa";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"018";"Liesing";"01";"Wien";"";"";"9";"Wien";2387790
"01803";"Inzersdorf";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"018";"Liesing";"01";"Wien";"";"";"9";"Wien";8638564
"01804";"Kalksburg";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"018";"Liesing";"01";"Wien";"";"";"9";"Wien";3758448
"01805";"Liesing";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"018";"Liesing";"01";"Wien";"";"";"9";"Wien";2738278
"01806";"Mauer";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"018";"Liesing";"01";"Wien";"";"";"9";"Wien";6425720
"01807";"Rodaun";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"018";"Liesing";"01";"Wien";"";"";"9";"Wien";2158074
"01808";"Siebenhirten";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"018";"Liesing";"01";"Wien";"";"";"9";"Wien";2512655
"01901";"Au am Kraking";"M34";"32415";"Pressbaum";"324";"Wien-Umgebung";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"019";"Purkersdorf";"01";"Wien";"";"";"3";"Niederösterreich";9525706
"01902";"Gablitz";"M34";"32403";"Gablitz";"324";"Wien-Umgebung";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"019";"Purkersdorf";"01";"Wien";"";"";"3";"Niederösterreich";18165684
"01903";"Mauerbach";"M34";"32412";"Mauerbach";"324";"Wien-Umgebung";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"019";"Purkersdorf";"01";"Wien";"";"";"3";"Niederösterreich";20318691
"01904";"Pfalzau";"M34";"32415";"Pressbaum";"324";"Wien-Umgebung";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"019";"Purkersdorf";"01";"Wien";"";"";"3";"Niederösterreich";12442448
"01905";"Preßbaum";"M34";"32415";"Pressbaum";"324";"Wien-Umgebung";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"019";"Purkersdorf";"01";"Wien";"";"";"3";"Niederösterreich";16365559
"01906";"Purkersdorf";"M34";"32416";"Purkersdorf";"324";"Wien-Umgebung";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"019";"Purkersdorf";"01";"Wien";"";"";"3";"Niederösterreich";30247066
"01907";"Rekawinkel";"M34";"32415";"Pressbaum";"324";"Wien-Umgebung";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"019";"Purkersdorf";"01";"Wien";"";"";"3";"Niederösterreich";20533251
"01908";"Tullnerbach";"M34";"32421";"Tullnerbach";"324";"Wien-Umgebung";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"019";"Purkersdorf";"01";"Wien";"";"";"3";"Niederösterreich";20244018
"01909";"Wolfsgraben";"M34";"32423";"Wolfsgraben";"324";"Wien-Umgebung";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"019";"Purkersdorf";"01";"Wien";"";"";"3";"Niederösterreich";17341024
"03001";"Großaigen";"M34";"30511";"Euratsfeld";"305";"Amstetten";"015";"Amstetten Melk Scheibbs";"030";"Amstetten";"03";"Amstetten";"";"";"3";"Niederösterreich";9058551
"03002";"Amesleithen";"M31";"30520";"Neuhofen an der Ybbs";"305";"Amstetten";"015";"Amstetten Melk Scheibbs";"030";"Amstetten";"03";"Amstetten";"";"";"3";"Niederösterreich";2978794
"03003";"Amstetten";"M31";"30502";"Amstetten";"305";"Amstetten";"015";"Amstetten Melk Scheibbs";"030";"Amstetten";"03";"Amstetten";"";"";"3";"Niederösterreich";9575040
"03004";"Ardagger Markt";"M31";"30503";"Ardagger";"305";"Amstetten";"015";"Amstetten Melk Scheibbs";"030";"Amstetten";"03";"Amstetten";"";"";"3";"Niederösterreich";6725607
"03005";"Ardagger Stift";"M31";"30503";"Ardagger";"305";"Amstetten";"015";"Amstetten Melk Scheibbs";"030";"Amstetten";"03";"Amstetten";"";"";"3";"Niederösterreich";10821324
"03006";"Berghof";"M34";"30521";"Neustadtl an der Donau";"305";"Amstetten";"015";"Amstetten Melk Scheibbs";"030";"Amstetten";"03";"Amstetten";"";"";"3";"Niederösterreich";6190380
"03007";"Edla";"M31";"30502";"Amstetten";"305";"Amstetten";"015";"Amstetten Melk Scheibbs";"030";"Amstetten";"03";"Amstetten";"";"";"3";"Niederösterreich";9568279
"03008";"Euratsfeld";"M34";"30511";"Euratsfeld";"305";"Amstetten";"015";"Amstetten Melk Scheibbs";"030";"Amstetten";"03";"Amstetten";"";"";"3";"Niederösterreich";12124452
"03009";"Ferschnitz";"M34";"30512";"Ferschnitz";"305";"Amstetten";"015";"Amstetten Melk Scheibbs";"030";"Amstetten";"03";"Amstetten";"";"";"3";"Niederösterreich";11333131
"03010";"Freienstein";"M34";"30521";"Neustadtl an der Donau";"305";"Amstetten";"015";"Amstetten Melk Scheibbs";"030";"Amstetten";"03";"Amstetten";"";"";"3";"Niederösterreich";3969914
"03011";"Gafring";"M34";"30511";"Euratsfeld";"305";"Amstetten";"015";"Amstetten Melk Scheibbs";"030";"Amstetten";"03";"Amstetten";"";"";"3";"Niederösterreich";9427642
"03012";"St. Georgen am Ybbsfelde";"M34";"30527";"St. Georgen am Ybbsfelde";"305";"Amstetten";"015";"Amstetten Melk Scheibbs";"030";"Amstetten";"03";"Amstetten";"";"";"3";"Niederösterreich";6546180
"03013";"Haag Dorf";"M31";"30541";"Winklarn";"305";"Amstetten";"015";"Amstetten Melk Scheibbs";"030";"Amstetten";"03";"Amstetten";"";"";"3";"Niederösterreich";4736231
"03014";"Hainstetten";"M31";"30536";"Viehdorf";"305";"Amstetten";"015";"Amstetten Melk Scheibbs";"030";"Amstetten";"03";"Amstetten";"";"";"3";"Niederösterreich";3389726
"03015";"Hausmening";"M31";"30502";"Amstetten";"305";"Amstetten";"015";"Amstetten Melk Scheibbs";"030";"Amstetten";"03";"Amstetten";"";"";"3";"Niederösterreich";3636185
"03016";"Hermannsdorf";"M34";"30527";"St. Georgen am Ybbsfelde";"305";"Amstetten";"015";"Amstetten Melk Scheibbs";"030";"Amstetten";"03";"Amstetten";"";"";"3";"Niederösterreich";3155013
"03017";"Hößgang";"M34";"30521";"Neustadtl an der Donau";"305";"Amstetten";"015";"Amstetten Melk Scheibbs";"030";"Amstetten";"03";"Amstetten";"";"";"3";"Niederösterreich";3338621
"03018";"Igelschwang";"M31";"30538";"Wallsee-Sindelburg";"305";"Amstetten";"015";"Amstetten Melk Scheibbs";"030";"Amstetten";"03";"Amstetten";"";"";"3";"Niederösterreich";6663437
"03019";"Kollmitzberg";"M31";"30503";"Ardagger";"305";"Amstetten";"015";"Amstetten Melk Scheibbs";"030";"Amstetten";"03";"Amstetten";"";"";"3";"Niederösterreich";12400695
"03020";"Kornberg";"M31";"30520";"Neuhofen an der Ybbs";"305";"Amstetten";"015";"Amstetten Melk Scheibbs";"030";"Amstetten";"03";"Amstetten";"";"";"3";"Niederösterreich";8961681
"03021";"Krahof";"M34";"30527";"St. Georgen am Ybbsfelde";"305";"Amstetten";"015";"Amstetten Melk Scheibbs";"030";"Amstetten";"03";"Amstetten";"";"";"3";"Niederösterreich";8042647
"03022";"Leutzmannsdorf";"M34";"30527";"St. Georgen am Ybbsfelde";"305";"Amstetten";"015";"Amstetten Melk Scheibbs";"030";"Amstetten";"03";"Amstetten";"";"";"3";"Niederösterreich";5086937
"03023";"Mauer bei Amstetten";"M31";"30502";"Amstetten";"305";"Amstetten";"015";"Amstetten Melk Scheibbs";"030";"Amstetten";"03";"Amstetten";"";"";"3";"Niederösterreich";14330973
"03024";"Nabegg";"M34";"30521";"Neustadtl an der Donau";"305";"Amstetten";"015";"Amstetten Melk Scheibbs";"030";"Amstetten";"03";"Amstetten";"";"";"3";"Niederösterreich";9803907
"03025";"Neuhofen an der Ybbs";"M31";"30520";"Neuhofen an der Ybbs";"305";"Amstetten";"015";"Amstetten Melk Scheibbs";"030";"Amstetten";"03";"Amstetten";"";"";"3";"Niederösterreich";4527618
