"KG_NUMMER";"ANZ_GST";"ANZ_GST_GK";"FL_GST_GK";"ANZ_EZ";"ANZ_TP";"ANZ_EP";"ANZ_PP";"ANZ_MP";"ANZ_GP";"ANZ_GP_E";"ANZ_GP_G";"ANZ_GP_S";"ANZ_ADRESSEN";"ANZ_GEBAEUDE";"FL_GEBAEUDE";"ANZ_GEBAEUDENEBENFLAECHEN";"FL_GEBAEUDENEBENFLAECHEN";"ANZ_AECKER_WIESEN_WEIDEN";"FL_AECKER_WIESEN_WEIDEN";"ANZ_DAUERKULTUR_ERWERB";"FL_DAUERKULTUR_ERWERB";"ANZ_VERBUSCHTE_FLAECHEN";"FL_VERBUSCHTE_FLAECHEN";"ANZ_GAERTEN";"FL_GAERTEN";"ANZ_WEINGAERTEN";"FL_WEINGAERTEN";"ANZ_ALPEN";"FL_ALPEN";"ANZ_WAELDER";"FL_WAELDER";"ANZ_KRUMMHOLZFLAECHEN";"FL_KRUMMHOLZFLAECHEN";"ANZ_FORSTSTRASSEN";"FL_FORSTSTRASSEN";"ANZ_FLIESSENDE_GEWAESSER";"FL_FLIESSENDE_GEWAESSER";"ANZ_STEHENDE_GEWAESSER";"FL_STEHENDE_GEWAESSER";"ANZ_GEWAESSERRANDFLAECHEN";"FL_GEWAESSERRANDFLAECHEN";"ANZ_FEUCHTGEBIETE";"FL_FEUCHTGEBIETE";"ANZ_STRASSENVERKEHRSANL";"FL_STRASSENVERKEHRSANL";"ANZ_VERKEHRSRANDFLAECHEN";"FL_VERKEHRSRANDFLAECHEN";"ANZ_PARKPLAETZE";"FL_PARKPLAETZE";"ANZ_SCHIENENVERKEHRSANL";"FL_SCHIENENVERKEHRSANL";"ANZ_BETRIEBSFLAECHEN";"FL_BETRIEBSFLAECHEN";"ANZ_ABBAU_HALDEN_DEPONIEN";"FL_ABBAU_HALDEN_DEPONIEN";"ANZ_FREIZEITFLAECHEN";"FL_FREIZEITFLAECHEN";"ANZ_FRIEDHOEFE";"FL_FRIEDHOEFE";"ANZ_VEGETATIONSARME_FL";"FL_VEGETATIONSARME_FL";"ANZ_FELS_GEROELL";"FL_FELS_GEROELL";"ANZ_GLETSCHER";"FL_GLETSCHER";"RZI_ANZ_RECHTL_WEINGARTEN";"RZI_FL_RECHTL_WEINGARTEN";"RZI_ANZ_RECHTL_KEIN_WEING";"RZI_FL_RECHTL_KEIN_WEING";"RZI_ANZ_RECHTL_WALD";"RZI_FL_RECHTL_WALD";"RZI_ANZ_RECHTL_NICHT_WALD";"RZI_FL_RECHTL_NICHT_WALD";"FL_GES_VERWALTUNGSEINHEIT"
"01002";2452;222;670676;1645;34;9;;;4210;1881;2273;;;1741;1263635;1505;184294;;;;;;;343;463839;;;;;;;;;;;3;4381;;;7;11280;;;412;771169;24;28107;11;28796;62;115932;3;16645;;;40;70967;1;2295;;;;;;;;;;;;;;;2961340
"01004";1990;53;98127;1318;40;3;;;4718;3773;859;;;1459;1195132;1044;138666;;;;;;;66;52071;;;;;;;;;;;2;29602;2;4342;;;;;526;1071856;8;18118;13;14915;;;1;881;;;38;339047;;;;;;;;;;;;;;;;;2864630
"01005";1371;81;77377;952;15;9;;;1652;1008;641;;;1024;534356;915;109963;;;;;;;266;122231;;;;;;;;;;;;;;;;;;;159;294863;;;6;4163;10;5504;;;;;9;18448;;;;;;;;;;;;;;;;;1089528
"01006";4951;1053;2544257;2896;65;46;;;12653;7016;5569;;;3123;2292870;1792;197121;;;;;;;1617;997885;;;;;;;;;;;1;104;4;9536;3;24679;;;1302;1670634;108;91379;96;132436;68;80367;310;708690;;;148;879596;2;58097;;;;;;;;;;;;;;;7143394
"01008";2327;209;275376;1619;17;13;;;4281;2412;1839;;;1820;861867;1235;138148;;;;;;;667;243541;;;;;;;;;;;;;;;;;;;421;607716;10;2148;22;21098;11;19640;24;36154;;;52;81962;;;;;;;;;;;;;;;;;2012274
"01009";1606;143;141567;1125;20;6;;;3342;2099;1218;;;1252;702130;825;91916;;;;;;;495;134367;;;;;;;;;;;1;29950;;;;;;;276;430073;13;7470;9;10941;4;4697;2;2756;;;32;45266;;;;;;;;;;;;;;;;;1459566
"01010";1792;129;156502;1315;17;5;;;2469;1364;964;;;1425;841811;1289;198529;;;;;;;183;99544;;;;;;;;;;;;;;;;;;;159;364989;8;10077;9;30093;4;9145;;;;;26;53333;;;;;;;;;;;;;;;;;1607521
"01011";1827;89;124329;1225;14;6;;;3211;2480;718;;;1365;761858;891;100741;;;;;;;757;297128;;;;;;;;;;;;;4;1372;;;;;270;467081;7;6132;12;16741;2;4067;4;12925;;;52;142258;;;;;;;;;;;;;;;;;1810303
"01101";3395;565;1634871;2056;22;22;;;5868;2920;2873;;;2371;1388203;1290;144248;;;1;5449;;;918;950422;;;;;;;;;;;;;;;;;;;698;1150332;69;59793;65;88676;52;732515;144;366743;;;74;348220;2;44428;;;;;;;;;;;;;;;5279029
"01102";5045;2747;3647590;1726;18;43;;;14428;6827;7568;;;2920;1234514;383;46947;11;112459;;;4;4482;2320;1936762;;;;;56;334356;;;;;;;19;170229;3;110;;;1762;1326925;94;183399;128;231167;14;132441;99;362813;;;145;1785131;;;;;;;;;;;;;;;;;7861735
"01103";5024;2042;3912863;2047;34;36;;;15011;7094;7736;;;2291;1104606;90;22826;277;795550;533;1760037;;;1976;1549388;;;;;44;184528;;;;;3;3457;9;2342;1;12507;;;1747;1050904;237;288539;91;289484;107;404415;324;1290507;;;80;254061;17;2747231;;;;;;;;;;;;;;;11760382
"01104";3050;509;715887;1397;5;26;;;6178;3564;2439;;;1464;410518;174;11882;616;2438623;;;;;1387;656375;;;;;4;4959;;;;;6;21975;1;772;9;79612;;;724;428927;192;181473;8;15560;8;4199;134;170878;;;29;53196;2;33883;;;;;;;;;;;;;;;4512832
"01105";4235;1983;1906875;1510;12;30;;;9666;4214;5361;;;1852;519609;16;1859;565;2262712;;;49;25388;1750;1367061;85;228533;;;57;442138;;;;;;;6;94669;;;;;1526;631479;162;134011;74;166674;80;199183;96;214892;;;141;1319133;1;396;;;;;;;;;;;;;;;7607737
