"KG_NUMMER";"ANZ_GST";"ANZ_GST_GK";"FL_GST_GK";"ANZ_EZ";"ANZ_TP";"ANZ_EP";"ANZ_PP";"ANZ_MP";"ANZ_GP";"ANZ_GP_E";"ANZ_GP_G";"ANZ_GP_S";"ANZ_ADRESSEN";"ANZ_GEBAEUDE";"FL_GEBAEUDE";"ANZ_GEBAEUDENEBENFLAECHEN";"FL_GEBAEUDENEBENFLAECHEN";"ANZ_AECKER_WIESEN_WEIDEN";"FL_AECKER_WIESEN_WEIDEN";"ANZ_DAUERKULTUR_ERWERB";"FL_DAUERKULTUR_ERWERB";"ANZ_VERBUSCHTE_FLAECHEN";"FL_VERBUSCHTE_FLAECHEN";"ANZ_GAERTEN";"FL_GAERTEN";"ANZ_WEINGAERTEN";"FL_WEINGAERTEN";"ANZ_ALPEN";"FL_ALPEN";"ANZ_WAELDER";"FL_WAELDER";"ANZ_KRUMMHOLZFLAECHEN";"FL_KRUMMHOLZFLAECHEN";"ANZ_FORSTSTRASSEN";"FL_FORSTSTRASSEN";"ANZ_FLIESSENDE_GEWAESSER";"FL_FLIESSENDE_GEWAESSER";"ANZ_STEHENDE_GEWAESSER";"FL_STEHENDE_GEWAESSER";"ANZ_GEWAESSERRANDFLAECHEN";"FL_GEWAESSERRANDFLAECHEN";"ANZ_FEUCHTGEBIETE";"FL_FEUCHTGEBIETE";"ANZ_STRASSENVERKEHRSANL";"FL_STRASSENVERKEHRSANL";"ANZ_VERKEHRSRANDFLAECHEN";"FL_VERKEHRSRANDFLAECHEN";"ANZ_PARKPLAETZE";"FL_PARKPLAETZE";"ANZ_SCHIENENVERKEHRSANL";"FL_SCHIENENVERKEHRSANL";"ANZ_BETRIEBSFLAECHEN";"FL_BETRIEBSFLAECHEN";"ANZ_ABBAU_HALDEN_DEPONIEN";"FL_ABBAU_HALDEN_DEPONIEN";"ANZ_FREIZEITFLAECHEN";"FL_FREIZEITFLAECHEN";"ANZ_FRIEDHOEFE";"FL_FRIEDHOEFE";"ANZ_VEGETATIONSARME_FL";"FL_VEGETATIONSARME_FL";"ANZ_FELS_GEROELL";"FL_FELS_GEROELL";"ANZ_GLETSCHER";"FL_GLETSCHER";"RZI_ANZ_RECHTL_WEINGARTEN";"RZI_FL_RECHTL_WEINGARTEN";"RZI_ANZ_RECHTL_KEIN_WEING";"RZI_FL_RECHTL_KEIN_WEING";"RZI_ANZ_RECHTL_WALD";"RZI_FL_RECHTL_WALD";"RZI_ANZ_RECHTL_NICHT_WALD";"RZI_FL_RECHTL_NICHT_WALD";"FL_GES_VERWALTUNGSEINHEIT"
"19202";3979;69;306001;790;34;95;;;12831;6052;2954;;;1065;220375;87;13590;2146;20654317;;;249;642950;549;385575;;;;;1669;32229324;;;;;29;339130;7;905;;;;;814;1121894;1;17;2;5170;16;206915;332;238484;7;23576;10;38370;4;3282;;;;;;;;;;;;;;;56123874
"19203";334;29;29460;134;3;5;;;1070;783;211;;;115;31361;23;6452;152;1434416;;;;;116;88171;;;;;81;378381;;;;;;;1;231;;;;;42;55497;;;;;;;1;1342;;;1;3396;;;;;;;;;;;;;;;;;1999247
"19204";821;31;47693;196;8;9;;;2518;1030;466;;;171;60864;65;26891;543;7639350;;;4;11964;69;54842;;;;;344;2601909;;;;;5;37104;3;1425;;;;;182;205552;;;;;2;2176;5;2963;;;;;;;;;;;;;;;;;;;;;10645040
"19205";800;100;569609;499;;4;;;3294;1987;1093;;;347;71975;31;3598;262;793897;;;;;387;236754;;;;;32;634133;;;;;3;65681;;;1;9433;;;112;110316;;;3;851;2;14742;24;29179;;;9;34187;1;6805;;;;;;;;;;;;;;;2011551
"19206";348;81;235044;144;;1;;;1308;451;588;;;102;27313;2;186;203;718478;;;3;3642;81;49821;;;;;31;225542;;;;;6;45233;;;;;;;44;66867;;;1;1083;2;12249;17;44955;;;;;;;;;;;;;;;;;;;;;1195369
"19207";3860;241;847352;1413;37;39;;;17488;12763;3847;;;1333;352697;323;135216;1865;25420247;;;121;354457;1058;845874;;;;;1166;34611225;;;;;44;301912;4;6604;1;337;;;824;1234605;3;347;1;4884;10;65385;29;47758;10;53512;10;53653;2;13462;;;;;;;;;;;;;;;63502175
"19208";721;36;1080170;330;15;35;;;4499;3229;1028;;;300;85970;30;26509;308;7517474;;;51;291490;190;120959;;;3;16694;271;15980391;;;3;2762;12;69923;1;67;;;;;173;361094;;;;;2;33740;4;8736;2;6234;1;695;1;2566;;;;;;;;;;;;;;;24525304
"19209";615;60;125084;179;3;7;;;3002;1609;1006;;;152;43840;24;13438;335;3076873;;;5;11699;124;101714;;;;;131;1922298;;;;;4;120875;1;14018;;;;;78;163399;;;;;1;40922;11;18861;;;;;;;;;;;;;;;;;;;;;5527937
"19210";397;3;37584;50;3;9;;;828;666;24;;;58;18642;29;13899;255;3760769;;;13;21526;6;3829;;;;;225;2050864;;;;;4;32001;;;;;;;80;84814;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5986344
"19211";261;5;32278;29;2;8;;;877;257;538;;;45;18366;25;9809;177;2699739;;;1;3955;1;647;;;;;102;960618;;;;;;;;;;;;;49;70958;;;;;;;1;1582;;;;;;;;;;;;;;;;;;;;;3765674
"19212";3264;143;614612;1066;14;45;35;;13481;11082;1636;;;1016;234350;262;78755;1575;17219273;;;35;222551;833;636543;;;;;1007;16525955;;;;;38;277501;10;4736;;;;;662;794778;4;3389;4;6504;6;64051;12;34383;7;107674;2;21508;1;5656;;;;;;;;;;;;;;;36237607
"19213";1419;4;14015;208;26;33;;;4007;2856;267;;;343;57057;63;23101;754;5899285;;;128;616414;96;68891;;;21;651095;782;37361115;;;;;4;131711;4;436;;;;;387;610636;;;;;;;8;11916;5;28355;;;1;1600;;;;;;;;;;;;;;;45461612
