"KG_NUMMER";"ANZ_GST";"ANZ_GST_GK";"FL_GST_GK";"ANZ_EZ";"ANZ_TP";"ANZ_EP";"ANZ_PP";"ANZ_MP";"ANZ_GP";"ANZ_GP_E";"ANZ_GP_G";"ANZ_GP_S";"ANZ_ADRESSEN";"ANZ_GEBAEUDE";"FL_GEBAEUDE";"ANZ_GEBAEUDENEBENFLAECHEN";"FL_GEBAEUDENEBENFLAECHEN";"ANZ_AECKER_WIESEN_WEIDEN";"FL_AECKER_WIESEN_WEIDEN";"ANZ_DAUERKULTUR_ERWERB";"FL_DAUERKULTUR_ERWERB";"ANZ_VERBUSCHTE_FLAECHEN";"FL_VERBUSCHTE_FLAECHEN";"ANZ_GAERTEN";"FL_GAERTEN";"ANZ_WEINGAERTEN";"FL_WEINGAERTEN";"ANZ_ALPEN";"FL_ALPEN";"ANZ_WAELDER";"FL_WAELDER";"ANZ_KRUMMHOLZFLAECHEN";"FL_KRUMMHOLZFLAECHEN";"ANZ_FORSTSTRASSEN";"FL_FORSTSTRASSEN";"ANZ_FLIESSENDE_GEWAESSER";"FL_FLIESSENDE_GEWAESSER";"ANZ_STEHENDE_GEWAESSER";"FL_STEHENDE_GEWAESSER";"ANZ_GEWAESSERRANDFLAECHEN";"FL_GEWAESSERRANDFLAECHEN";"ANZ_FEUCHTGEBIETE";"FL_FEUCHTGEBIETE";"ANZ_STRASSENVERKEHRSANL";"FL_STRASSENVERKEHRSANL";"ANZ_VERKEHRSRANDFLAECHEN";"FL_VERKEHRSRANDFLAECHEN";"ANZ_PARKPLAETZE";"FL_PARKPLAETZE";"ANZ_SCHIENENVERKEHRSANL";"FL_SCHIENENVERKEHRSANL";"ANZ_BETRIEBSFLAECHEN";"FL_BETRIEBSFLAECHEN";"ANZ_ABBAU_HALDEN_DEPONIEN";"FL_ABBAU_HALDEN_DEPONIEN";"ANZ_FREIZEITFLAECHEN";"FL_FREIZEITFLAECHEN";"ANZ_FRIEDHOEFE";"FL_FRIEDHOEFE";"ANZ_VEGETATIONSARME_FL";"FL_VEGETATIONSARME_FL";"ANZ_FELS_GEROELL";"FL_FELS_GEROELL";"ANZ_GLETSCHER";"FL_GLETSCHER";"RZI_ANZ_RECHTL_WEINGARTEN";"RZI_FL_RECHTL_WEINGARTEN";"RZI_ANZ_RECHTL_KEIN_WEING";"RZI_FL_RECHTL_KEIN_WEING";"RZI_ANZ_RECHTL_WALD";"RZI_FL_RECHTL_WALD";"RZI_ANZ_RECHTL_NICHT_WALD";"RZI_FL_RECHTL_NICHT_WALD";"FL_GES_VERWALTUNGSEINHEIT"
"01002";2457;229;675950;1645;35;8;;;4316;1865;2352;;;1742;1262206;1504;184318;;;;;;;345;462444;;;;;;;;;;;3;4381;;;7;11280;;;415;773933;24;28107;11;28796;62;115932;3;16645;;;40;70967;1;2295;;;;;;;;;;;;;;;2961304
"01004";1991;57;106493;1318;40;1;;;4744;3722;931;;;1461;1195180;1044;138637;;;;;;;66;52081;;;;;;;;;;;2;29602;2;4342;;;;;525;1071828;8;18118;13;14915;;;1;881;;;38;339047;;;;;;;;;;;;;;;;;2864631
"01005";1372;83;77587;952;12;9;;;1733;1083;647;;;1024;534330;915;109994;;;;;;;267;122220;;;;;;;;;;;;;;;;;;;159;294863;;;6;4163;10;5504;;;;;9;18448;;;;;;;;;;;;;;;;;1089522
"01006";4969;1115;2686444;2914;53;40;;;12874;6920;5837;;;3103;2254803;1794;197625;;;;;;;1620;1001914;;;;;;;;;;;1;104;4;9536;3;24679;;;1312;1674982;102;90775;85;134180;52;80236;317;736207;;;149;879857;2;58097;;;;;;;;;;;;;;;7142995
"01008";2328;210;275683;1618;14;9;;;4350;2464;1846;;;1819;861844;1236;139260;;;;;;;667;243445;;;;;;;;;;;;;;;;;;;421;607721;10;2148;21;20164;11;19640;24;36154;;;52;81971;;;;;;;;;;;;;;;;;2012347
"01009";1606;143;141567;1125;18;5;;;3351;2091;1218;;;1252;702124;825;91958;;;;;;;495;134367;;;;;;;;;;;1;29950;;;;;;;275;430073;13;7470;9;10941;4;4697;2;2756;;;32;45266;;;;;;;;;;;;;;;;;1459602
"01010";1804;142;173903;1315;16;4;;;2590;1390;1105;;;1427;841590;1291;200484;;;;;;;184;89303;;;;;;;;;;;;;;;;;;;161;364194;10;9963;9;30094;4;9145;;;;;30;62747;;;;;;;;;;;;;;;;;1607520
"01011";1834;97;128481;1226;13;5;;;3285;2458;807;;;1365;761469;891;100737;;;;;;;758;297341;;;;;;;;;;;;;4;1372;;;;;273;463755;7;6132;12;16741;2;4067;6;16436;;;52;142258;;;;;;;;;;;;;;;;;1810308
"01101";3405;587;1753522;2063;22;22;;;5998;2969;2972;;;2372;1361894;1288;144384;;;1;5449;;;920;969158;;;;;;;;;;;;;;;;;;;706;1163713;69;59793;64;87878;46;700642;146;393137;;;75;348220;3;44455;;;;;;;;;;;;;;;5278723
"01102";5060;2769;3654674;1739;18;43;;;14629;6894;7667;;;2923;1220404;381;47074;11;112459;;;4;4482;2326;1988647;;;;;57;334033;;;;;;;19;170229;3;110;;;1768;1326740;96;183711;129;232455;14;132441;100;369727;;;144;1739091;;;;;;;;;;;;;;;;;7861603
"01103";5038;2095;3973112;2067;34;34;;;15368;7163;7950;;;2282;1103184;91;22848;281;787514;530;1755640;;;1974;1561962;;;;;44;175522;;;;;3;3457;9;2343;1;12507;;;1754;1060365;238;287891;92;289465;108;404415;330;1287417;;;80;253850;17;2747237;;;;;;;;;;;;;;;11755617
"01104";3133;534;773754;1407;5;26;;;6591;3825;2585;;;1461;409552;175;11895;634;2372042;;;;;1402;715296;;;;;4;4959;;;;;6;21975;1;772;9;79613;;;662;437136;88;180868;8;15560;8;4199;131;169734;;;28;53191;2;33883;;;;;;;;;;;;;;;4510675
"01105";4258;2007;1948774;1529;12;30;;;9948;4367;5473;;;1834;507278;16;1859;564;2256716;;;49;25396;1767;1423193;85;228533;;;57;442805;;;;;;;6;94669;;;;;1535;635785;161;134047;74;166545;81;204722;86;172577;;;140;1314026;1;396;;;;;;;;;;;;;;;7608547
"01106";752;392;726705;275;2;12;;;2114;869;1212;;;308;58704;12;653;150;1420872;;;1;9470;338;163819;;;;;9;44546;;;;;1;760;;;2;4575;;;225;100116;31;58310;4;3523;;;33;28235;;;8;6488;;;;;;;;;;;;;;;;;1900071
"01107";6564;2622;5507998;2674;37;37;;;21615;10398;10908;;;3670;1892842;320;39133;70;343930;212;978556;1;790;3341;2078479;;;;;56;128527;;;;;1;12935;1;978;3;1348;;;1803;1535458;349;466116;140;301767;165;375324;502;1707251;;;137;509229;1;56517;;;;;;;;;;;;;;;10429180
"01108";815;112;506859;324;2;12;;;1950;959;973;;;252;79396;27;4090;375;2264982;;;11;6641;233;129868;;;;;15;118666;;;;;4;3944;;;5;8541;;;217;176469;52;136659;1;1209;;;68;368895;;;45;85133;;;;;;;;;;;;;;;;;3384493
"01109";396;102;1025451;158;5;15;;;1082;433;625;;;176;192537;21;2804;39;193855;56;248499;7;24415;119;106238;;;;;41;569934;;;;;2;261715;14;155484;24;124122;;;111;142860;36;97701;5;21886;14;42430;34;352445;;;4;42733;2;4038;;;;;;;;;;;;;;;2583696
"01201";3084;366;434628;2435;14;28;;;3855;2141;1615;;;2413;365455;5;1086;65;2622353;;;21;188169;2515;1270786;;;;;110;19334835;;;18;899604;27;64860;6;32612;27;121758;;;444;558319;77;223169;4;6071;6;11178;42;245710;;;33;144480;;;;;;;;;;;;;;;;;26090445
"01202";2042;800;571899;1020;6;14;;;5484;2521;2917;;;1428;418621;226;26889;;;;;;;1219;627706;;;;;;;;;;;;;;;;;;;396;331764;9;2294;9;8215;;;24;150388;;;12;93270;1;66831;;;;;;;;;;;;;;;1725978
"01203";449;55;142948;185;2;1;;;1211;730;447;;;215;83008;14;1742;;;;;;;255;175699;;;;;3;3068;;;;;2;22655;;;;;;;92;82100;13;5188;;;15;10355;7;19637;;;8;27075;;;;;;;;;;;;;;;;;430527
"01204";6639;1436;899899;3025;30;44;;;11364;5943;5149;;;4011;441986;135;7552;82;925617;5;44082;11;90567;4005;2056457;;;;;336;15944103;;;30;74049;45;124694;7;13987;44;61727;;;1138;536378;32;22300;5;9768;3;17921;33;36283;;;46;178926;1;13014;;;;;;;;;;;;;;;20599411
"01205";1424;119;171093;652;6;13;;;2936;1717;904;;;796;244449;106;9105;;;2;1449;;;818;547658;;;;;71;62194;;;;;;;1;250;;;;;138;208862;10;3656;7;3040;1;12359;9;4263;;;28;36791;1;95822;;;;;;;;;;;;;;;1229898
"01206";6454;1943;2179618;3029;25;30;;;15563;7233;8130;;;4349;620430;117;6753;6;25887;4;6631;3;20200;4198;2242864;;;;;123;1242606;;;;;51;83717;7;5996;8;136950;;;1010;605937;48;48138;8;5925;25;106725;58;119403;;;34;833833;9;47601;;;;;;;;;;;;;;;6159596
"01207";2257;209;514148;1027;6;12;;;3125;1723;1343;;;1328;338737;31;1993;;;;;;;1322;893905;;;;;37;64349;;;;;;;;;;;;;204;262982;14;10090;6;9762;5;11057;10;42501;;;28;71977;1;7071;;;;;;;;;;;;;;;1714424
"01208";974;81;202548;441;5;6;;;1860;1093;726;;;539;178408;38;3638;;;10;6153;;;515;370185;;;;;;;;;;;1;27873;;;;;;;189;165656;12;13758;4;4620;5;49637;23;39566;;;6;38826;;;;;;;;;;;;;;;;;898320
"01209";5581;1006;736724;2751;14;41;;;9726;4620;4928;;;3101;556064;60;4804;69;280571;1;1161;19;19273;3391;1795466;;;;;172;356265;;;;;19;1439;1;381;;;;;1046;524950;55;22936;17;11729;3;18270;19;7705;;;94;301562;2;35155;;;;;;;;;;;;;;;3937731
"01210";2080;161;324418;1117;9;16;;;3482;2131;1258;;;1369;600843;760;101174;;;;;;;826;477090;;;;;;;;;;;4;35242;2;594;;;;;237;446051;13;44508;8;7674;40;112953;13;14120;;;17;74090;1;14159;;;;;;;;;;;;;;;1928498
"01211";151;103;121220;45;2;5;;;764;360;404;;;110;40241;;;;;;;;;111;150658;;;;;3;22839;;;;;;;;;;;;;24;32151;8;3069;6;6932;;;5;65775;;;2;87319;;;;;;;;;;;;;;;;;408984
"01212";138;50;408200;38;2;5;;;945;412;533;;;80;147758;19;6811;;;4;61560;;;30;41656;;;;;10;473800;;;;;1;1063;4;14484;1;3244;;;41;74230;3;7494;5;19193;1;5785;7;218692;;;35;942676;;;;;;;;;;;;;;;;;2018446
"01213";2078;331;389084;966;7;13;;;4120;2220;1810;;;1152;335737;25;2330;;;39;29904;;;1234;933344;;;;;33;27731;;;;;;;;;;;;;321;306242;29;18896;10;16148;12;24575;43;33836;;;31;75374;;;;;;;;;;;;;;;;;1804117
"01214";1053;83;356417;544;3;7;;;1783;1075;686;;;645;223374;119;11855;;;1;3089;;;560;241238;;;;;;;;;;;3;20984;;;;;;;160;174015;9;25711;19;11868;10;39710;51;59365;;;8;10135;1;169801;;;;;;;;;;;;;;;991145
"01215";878;53;60204;404;4;7;;;1011;634;344;;;508;160085;39;4534;;;;;;;511;270617;;;;;;;;;;;;;;;;;;;83;125276;8;6753;7;9851;3;9892;3;3620;;;6;18655;;;;;;;;;;;;;;;;;609283
"01216";796;124;251241;333;3;7;;;2251;1257;850;;;445;153846;22;1623;;;;;;;429;277738;;;;;36;134388;;;;;7;97075;;;;;;;145;133907;15;15595;;;2;10744;49;100048;;;4;9766;;;;;;;;;;;;;;;;;934730
"01301";2668;1594;1205820;1603;13;11;;;9324;3947;5220;;;1821;521728;81;10795;;;;;;;1723;825154;;;;;3;2320;;;;;;;;;;;;;588;426839;67;92690;66;72355;46;80679;135;166194;;;35;86672;1;3676;;;;;;;;;;;;;;;2289102
"01302";1550;133;517642;990;9;9;;;2102;1008;1062;;;1165;663321;628;76877;;;;;;;507;378603;;;;;;;;;;;;;;;;;;;256;529026;6;2302;3;4560;3;71392;16;20983;;;24;141582;;;;;;;;;;;;;;;;;1888646
"01303";326;36;40575;219;3;2;;;850;526;303;;;199;94211;120;21539;;;;;;;84;22454;;;;;;;;;;;;;;;;;;;93;71562;6;4517;5;7998;7;11166;9;20296;;;21;21724;;;;;;;;;;;;;;;;;275467
"01304";1879;284;1051185;856;4;15;;;3875;1878;1970;;;1010;364844;91;9899;4;31142;5;36085;;;1061;748975;;;;;3;5744;;;;;;;1;339;;;;;285;333364;64;52681;34;18264;26;42493;131;212791;;;53;125126;8;260056;;;;;;;;;;;;;;;2241803
"01305";2620;202;480428;1652;18;18;;;4053;2436;1518;;;1924;964767;1210;126228;;;;;;;699;596457;;;;;;;;;;;;;;;;;;;533;816562;18;33185;33;29206;13;103391;51;146165;;;85;201809;10;126917;;;;;;;;;;;;;;;3144687
"01306";1685;131;210060;1149;6;8;;;2279;1147;1084;;;1242;594298;735;85012;;;;;;;548;180253;;;;;;;;;;;2;20060;;;;;;;195;403313;4;8070;7;5162;21;181623;9;13298;;;62;185046;;;;;;;;;;;;;;;;;1676135
"01307";443;56;74557;249;2;5;;;1023;594;420;;;260;144644;189;29893;;;;;;;87;35067;;;;;;;;;;;3;18631;;;;;;;154;102050;15;5665;5;6656;;;5;8948;;;5;8160;;;;;;;;;;;;;;;;;359714
"01401";6041;2304;1118495;2979;13;47;;;16009;6759;8994;;;3568;499973;266;23599;;;9;19753;12;13486;3866;1906737;7;85633;;;152;2258325;;;;;26;8552;2;3786;;;;;1367;514858;8;2861;7;4626;3;1905;6;15571;;;65;79119;3;134955;;;;;;;;;;;;;;;5573739
"01402";2683;293;496287;1733;8;16;;;3655;1804;1770;;;1954;760403;1112;121576;;;1;7879;;;956;266197;;;;;;;;;;;;;;;;;;;337;477280;12;18852;11;9922;16;9985;42;62386;;;28;153220;1;66811;;;;;;;;;;;;;;;1954511
"01403";931;54;37136;692;3;2;;;940;523;392;;;738;290833;644;78882;;;;;;;132;37059;;;;;;;;;;;;;;;;;;;107;176852;10;7573;2;1350;;;;;;;12;8224;;;;;;;;;;;;;;;;;600773
"01404";1639;625;288878;710;4;19;;;4200;1931;2218;;;808;92827;41;1923;23;619046;;;11;66705;851;488244;;;;;197;2306163;;;;;41;14065;4;6350;;;;;513;181120;17;25022;5;6964;;;3;1357;;;2;54267;;;;;;;;;;;;;;;;;3864053
