KG_NR;KG;Meridian;GKZ;PG;BKZ;PB;FA_NR;FA;GB_KZ;GB;VA_NR;VA;DS_NR;DS;BL_KZ;BL;FL
"01002";"Alsergrund";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"028";"Josefstadt";"01";"Wien";"";"";"9";"Wien";2961304
"01004";"Innere Stadt";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"010";"Innere Stadt Wien";"01";"Wien";"";"";"9";"Wien";2864631
"01005";"Josefstadt";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"028";"Josefstadt";"01";"Wien";"";"";"9";"Wien";1089522
"01006";"Landstraße";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"010";"Innere Stadt Wien";"01";"Wien";"";"";"9";"Wien";7142995
"01008";"Margarethen";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"010";"Innere Stadt Wien";"01";"Wien";"";"";"9";"Wien";2012347
"01009";"Mariahilf";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"010";"Innere Stadt Wien";"01";"Wien";"";"";"9";"Wien";1459602
"01010";"Neubau";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"028";"Josefstadt";"01";"Wien";"";"";"9";"Wien";1607520
"01011";"Wieden";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"010";"Innere Stadt Wien";"01";"Wien";"";"";"9";"Wien";1810308
"01101";"Favoriten";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"011";"Favoriten";"01";"Wien";"";"";"9";"Wien";5278723
"01102";"Inzersdorf Stadt";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"011";"Favoriten";"01";"Wien";"";"";"9";"Wien";7861603
"01103";"Kaiserebersdorf";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"010";"Innere Stadt Wien";"01";"Wien";"";"";"9";"Wien";11755617
