"KG_NUMMER";"ANZ_GST";"ANZ_GST_GK";"FL_GST_GK";"ANZ_EZ";"ANZ_TP";"ANZ_EP";"ANZ_PP";"ANZ_MP";"ANZ_GP";"ANZ_GP_E";"ANZ_GP_G";"ANZ_GP_S";"ANZ_ADRESSEN";"ANZ_GEBAEUDE";"FL_GEBAEUDE";"ANZ_GEBAEUDENEBENFLAECHEN";"FL_GEBAEUDENEBENFLAECHEN";"ANZ_AECKER_WIESEN_WEIDEN";"FL_AECKER_WIESEN_WEIDEN";"ANZ_DAUERKULTUR_ERWERB";"FL_DAUERKULTUR_ERWERB";"ANZ_VERBUSCHTE_FLAECHEN";"FL_VERBUSCHTE_FLAECHEN";"ANZ_GAERTEN";"FL_GAERTEN";"ANZ_WEINGAERTEN";"FL_WEINGAERTEN";"ANZ_ALPEN";"FL_ALPEN";"ANZ_WAELDER";"FL_WAELDER";"ANZ_KRUMMHOLZFLAECHEN";"FL_KRUMMHOLZFLAECHEN";"ANZ_FORSTSTRASSEN";"FL_FORSTSTRASSEN";"ANZ_FLIESSENDE_GEWAESSER";"FL_FLIESSENDE_GEWAESSER";"ANZ_STEHENDE_GEWAESSER";"FL_STEHENDE_GEWAESSER";"ANZ_GEWAESSERRANDFLAECHEN";"FL_GEWAESSERRANDFLAECHEN";"ANZ_FEUCHTGEBIETE";"FL_FEUCHTGEBIETE";"ANZ_STRASSENVERKEHRSANL";"FL_STRASSENVERKEHRSANL";"ANZ_VERKEHRSRANDFLAECHEN";"FL_VERKEHRSRANDFLAECHEN";"ANZ_PARKPLAETZE";"FL_PARKPLAETZE";"ANZ_SCHIENENVERKEHRSANL";"FL_SCHIENENVERKEHRSANL";"ANZ_BETRIEBSFLAECHEN";"FL_BETRIEBSFLAECHEN";"ANZ_ABBAU_HALDEN_DEPONIEN";"FL_ABBAU_HALDEN_DEPONIEN";"ANZ_FREIZEITFLAECHEN";"FL_FREIZEITFLAECHEN";"ANZ_FRIEDHOEFE";"FL_FRIEDHOEFE";"ANZ_VEGETATIONSARME_FL";"FL_VEGETATIONSARME_FL";"ANZ_FELS_GEROELL";"FL_FELS_GEROELL";"ANZ_GLETSCHER";"FL_GLETSCHER";"RZI_ANZ_RECHTL_WEINGARTEN";"RZI_FL_RECHTL_WEINGARTEN";"RZI_ANZ_RECHTL_KEIN_WEING";"RZI_FL_RECHTL_KEIN_WEING";"RZI_ANZ_RECHTL_WALD";"RZI_FL_RECHTL_WALD";"RZI_ANZ_RECHTL_NICHT_WALD";"RZI_FL_RECHTL_NICHT_WALD";"FL_GES_VERWALTUNGSEINHEIT"
"01002";2457;228;674583;1646;34;9;;;4233;1836;2341;;;1743;1263549;1505;184374;;;;;;;344;461081;;;;;;;;;;;3;4381;;;7;11280;;;415;773933;24;28107;11;28796;62;115932;3;16645;;;40;70967;1;2295;;;;;;;;;;;;;;;2961340
"01004";1989;56;101818;1318;40;3;;;4739;3790;859;;;1460;1195163;1044;138647;;;;;;;66;52081;;;;;;;;;;;2;29602;2;4342;;;;;525;1071850;8;18118;13;14915;;;1;881;;;38;339047;;;;;;;;;;;;;;;;;2864646
"01005";1372;83;77587;952;15;9;;;1733;1083;647;;;1024;534333;915;109991;;;;;;;267;122220;;;;;;;;;;;;;;;;;;;159;294863;;;6;4163;10;5504;;;;;9;18448;;;;;;;;;;;;;;;;;1089522
"01006";4941;1082;2565396;2903;64;40;;;12741;6971;5667;;;3109;2278119;1793;197847;;;;;;;1616;996799;;;;;;;;;;;1;104;4;9536;3;24679;;;1301;1672724;100;91342;86;133054;52;80236;305;721239;;;148;879596;2;58097;;;;;;;;;;;;;;;7143372
"01008";2327;209;275376;1618;17;13;;;4289;2416;1839;;;1819;861866;1236;139191;;;;;;;667;243454;;;;;;;;;;;;;;;;;;;421;607717;10;2148;21;20145;11;19640;24;36154;;;52;81962;;;;;;;;;;;;;;;;;2012277
"01009";1606;143;141567;1125;20;6;;;3351;2108;1218;;;1252;702130;825;91952;;;;;;;495;134367;;;;;;;;;;;1;29950;;;;;;;275;430073;13;7470;9;10941;4;4697;2;2756;;;32;45266;;;;;;;;;;;;;;;;;1459602
"01010";1802;141;172511;1316;17;5;;;2527;1336;1105;;;1426;841590;1291;200482;;;;;;;184;89303;;;;;;;;;;;;;;;;;;;160;364192;10;9963;9;30094;4;9145;;;;;30;62747;;;;;;;;;;;;;;;;;1607516
"01011";1828;92;126763;1225;14;6;;;3224;2456;748;;;1366;761829;891;100733;;;;;;;757;297165;;;;;;;;;;;;;4;1372;;;;;270;467086;7;6132;12;16741;2;4067;4;12925;;;52;142258;;;;;;;;;;;;;;;;;1810308
"01101";3402;582;1746454;2057;22;22;;;5964;2950;2940;;;2372;1364508;1288;144387;;;1;5449;;;921;960235;;;;;;;;;;;;;;;;;;;701;1156861;69;59793;65;88676;51;715958;145;390211;;;74;348220;2;44428;;;;;;;;;;;;;;;5278726
"01102";5053;2762;3654670;1732;18;43;;;14515;6823;7659;;;2920;1233855;383;47102;11;112459;;;4;4482;2323;1937510;;;;;57;334033;;;;;;;19;170229;3;110;;;1763;1326676;96;183689;128;231205;14;132441;99;362813;;;145;1785131;;;;;;;;;;;;;;;;;7861735
