"KG_NUMMER";"ANZ_GST";"ANZ_GST_GK";"FL_GST_GK";"ANZ_EZ";"ANZ_TP";"ANZ_EP";"ANZ_PP";"ANZ_MP";"ANZ_GP";"ANZ_GP_E";"ANZ_GP_G";"ANZ_GP_S";"ANZ_ADRESSEN";"ANZ_GEBAEUDE";"FL_GEBAEUDE";"ANZ_GEBAEUDENEBENFLAECHEN";"FL_GEBAEUDENEBENFLAECHEN";"ANZ_AECKER_WIESEN_WEIDEN";"FL_AECKER_WIESEN_WEIDEN";"ANZ_DAUERKULTUR_ERWERB";"FL_DAUERKULTUR_ERWERB";"ANZ_VERBUSCHTE_FLAECHEN";"FL_VERBUSCHTE_FLAECHEN";"ANZ_GAERTEN";"FL_GAERTEN";"ANZ_WEINGAERTEN";"FL_WEINGAERTEN";"ANZ_ALPEN";"FL_ALPEN";"ANZ_WAELDER";"FL_WAELDER";"ANZ_KRUMMHOLZFLAECHEN";"FL_KRUMMHOLZFLAECHEN";"ANZ_FORSTSTRASSEN";"FL_FORSTSTRASSEN";"ANZ_FLIESSENDE_GEWAESSER";"FL_FLIESSENDE_GEWAESSER";"ANZ_STEHENDE_GEWAESSER";"FL_STEHENDE_GEWAESSER";"ANZ_GEWAESSERRANDFLAECHEN";"FL_GEWAESSERRANDFLAECHEN";"ANZ_FEUCHTGEBIETE";"FL_FEUCHTGEBIETE";"ANZ_STRASSENVERKEHRSANL";"FL_STRASSENVERKEHRSANL";"ANZ_VERKEHRSRANDFLAECHEN";"FL_VERKEHRSRANDFLAECHEN";"ANZ_PARKPLAETZE";"FL_PARKPLAETZE";"ANZ_SCHIENENVERKEHRSANL";"FL_SCHIENENVERKEHRSANL";"ANZ_BETRIEBSFLAECHEN";"FL_BETRIEBSFLAECHEN";"ANZ_ABBAU_HALDEN_DEPONIEN";"FL_ABBAU_HALDEN_DEPONIEN";"ANZ_FREIZEITFLAECHEN";"FL_FREIZEITFLAECHEN";"ANZ_FRIEDHOEFE";"FL_FRIEDHOEFE";"ANZ_VEGETATIONSARME_FL";"FL_VEGETATIONSARME_FL";"ANZ_FELS_GEROELL";"FL_FELS_GEROELL";"ANZ_GLETSCHER";"FL_GLETSCHER";"RZI_ANZ_RECHTL_WEINGARTEN";"RZI_FL_RECHTL_WEINGARTEN";"RZI_ANZ_RECHTL_KEIN_WEING";"RZI_FL_RECHTL_KEIN_WEING";"RZI_ANZ_RECHTL_WALD";"RZI_FL_RECHTL_WALD";"RZI_ANZ_RECHTL_NICHT_WALD";"RZI_FL_RECHTL_NICHT_WALD";"FL_GES_VERWALTUNGSEINHEIT"
"01002";2448;213;666752;1644;34;9;;;4159;1869;2232;;;1748;1264331;1507;184123;;;;;;;343;463268;;;;;;;;;;;2;4374;;;7;11280;;;406;770243;24;28107;11;28796;61;115791;3;16645;;;40;70967;1;2295;;;;;;;;;;;;;;;2960220
"01004";1990;53;98127;1317;40;3;;;4661;3782;793;;;1457;1190618;1045;118219;;;;;;;70;54010;;;;;;;;;;;2;29602;2;4342;;;;;524;1086596;5;10239;21;35674;;;1;881;;;33;334449;;;;;;;;;;;;;;;;;2864630
"01005";1371;81;77377;952;15;9;;;1644;1000;641;;;1024;534356;915;109980;;;;;;;265;122214;;;;;;;;;;;;;;;;;;;159;294863;;;6;4163;10;5504;;;;;9;18448;;;;;;;;;;;;;;;;;1089528
"01006";4871;969;2518914;2833;65;46;;;12588;7165;5367;;;3069;2293340;1791;197126;;;;;;;1553;996069;;;;;;;;;;;1;104;4;9536;3;24679;;;1294;1662162;108;91379;98;142793;68;80367;306;708128;;;148;879587;2;58097;;;;;;;;;;;;;;;7143367
"01008";2327;208;275088;1619;17;13;;;4285;2428;1832;;;1816;861339;1230;131912;;;;;;;675;239956;;;;;;;;;;;;;;;;;;;422;608237;5;1599;22;21588;11;19640;27;46073;;;52;81922;;;;;;;;;;;;;;;;;2012266
"01009";1596;140;140062;1125;20;6;;;3323;2094;1211;;;1247;702125;825;91916;;;;;;;494;134348;;;;;;;;;;;1;29950;;;;;;;269;428582;13;6631;9;10943;4;4697;2;2756;;;32;45266;;;;;;;;;;;;;;;;;1457214
"01010";1787;124;153391;1315;17;5;;;2460;1423;955;;;1424;841524;1289;198528;;;;;;;183;99544;;;;;;;;;;;;;;;;;;;155;362165;8;10077;9;30093;4;9145;;;;;26;53333;;;;;;;;;;;;;;;;;1604409
"01011";1828;89;124329;1224;14;6;;;3238;2515;716;;;1372;763939;896;98622;;;;;;;748;308010;;;;;;;;;;;;;4;1372;;;;;269;465088;10;5785;11;13927;2;4067;4;18544;;;49;130949;;;;;;;;;;;;;;;;;1810303
"01101";3389;565;1635850;2057;26;26;;;5828;2885;2881;;;2390;1392007;1273;145463;;;1;5449;;;1001;983296;;;;;;;;;;;;;1;375;;;;;700;1177599;7;2511;49;80791;93;1046355;34;127486;;;69;273301;1;44396;;;;;;;;;;;;;;;5279029
"01102";5044;2739;3642538;1714;18;45;;;14498;6923;7547;;;2929;1231015;469;61202;8;104420;;;;;2295;1954368;;;;;58;394937;;;;;;;19;169846;;;;;1772;1450143;10;14929;74;258536;17;188076;69;304620;;;135;1729640;;;;;;;;;;;;;;;;;7861732
"01103";5048;2022;3816253;2043;34;36;;;15047;7257;7598;;;2323;1072890;92;11858;319;856582;527;1748095;;;2005;1600087;;;;;47;181097;;;;;3;3457;9;2341;1;12507;;;1738;1049169;196;277219;78;224419;104;397547;259;1251506;;;83;252878;20;2819229;;;;;;;;;;;;;;;11760881
"01104";3059;491;697681;1388;5;26;;;5987;3460;2359;;;1423;404178;167;11807;616;2438710;;;;;1385;659013;;;;;4;4959;;;;;6;21975;1;772;9;79612;;;724;437998;193;181518;4;5586;8;4220;134;174638;;;29;53300;9;34996;;;;;;;;;;;;;;;4513282
"01105";4211;1965;1901363;1506;12;36;;;9594;4252;5265;;;1852;519756;16;1855;566;2267760;;;49;25386;1748;1366804;85;228533;;;57;442138;;;;;;;6;94669;;;;;1517;631392;165;135105;74;166674;76;193270;95;214891;;;141;1319133;1;396;;;;;;;;;;;;;;;7607762
"01106";744;373;376961;268;2;12;;;2008;903;1076;;;306;57552;11;656;148;1423598;;;1;9470;337;165604;;;;;9;44654;;;;;1;760;;;1;4573;;;249;99939;58;57722;4;3523;;;31;27036;;;8;6488;;;;;;;;;;;;;;;;;1901575
"01107";6562;2544;5361515;2660;37;46;;;21569;10798;10562;;;3702;1864887;328;40130;78;410590;247;1015335;1;790;3358;2080808;;;;;46;121143;;;;;1;12935;1;978;3;1348;;;1777;1561151;313;447141;123;259230;166;383132;448;1663491;;;134;509406;1;56517;;;;;;;;;;;;;;;10429012
"01108";752;96;324186;315;2;12;;;1629;966;650;;;245;80107;28;4134;328;2268715;;;9;6407;233;126962;;;;;15;118916;;;;;4;3944;;;5;8541;;;255;172059;128;137210;1;1209;;;68;368027;;;45;85155;;;;;;;;;;;;;;;;;3381386
"01109";388;94;811644;154;5;15;;;1014;424;570;;;181;192113;20;2169;43;201173;57;251572;5;22210;112;105709;;;;;41;600031;;;;;3;278737;13;142970;24;122941;;;99;134388;18;46932;5;16853;13;28789;35;384259;;;6;48809;2;4056;;;;;;;;;;;;;;;2583711
"01201";3082;336;399307;2432;15;36;;;3725;2152;1481;;;2394;352486;6;1540;66;2750389;;;26;248767;2517;1305896;;;;;109;19106411;;;18;895485;27;64860;6;32612;28;122276;;;440;550208;74;222566;3;5608;6;11176;42;240749;;;39;169043;;;;;;;;;;;;;;;;;26080072
"01202";1953;721;547120;985;6;14;;;5162;2437;2701;;;1360;413310;277;33221;;;;;;;1116;629431;;;;;;;;;;;;;;;;;;;365;331426;9;6134;4;5832;;;15;180761;;;9;59452;1;66831;;;;;;;;;;;;;;;1726398
"01203";450;55;142948;185;3;4;;;1210;745;447;;;224;82202;29;3047;;;;;;;244;175952;;;;;3;3068;;;;;1;22553;;;;;;;87;82790;4;3499;;;16;26636;1;3639;;;8;27075;;;;;;;;;;;;;;;;;430461
"01204";6661;1389;849085;3007;30;53;;;11375;6219;4889;;;3814;408408;138;7076;85;949300;6;46955;9;68758;3971;2090239;;;;;339;15942676;;;31;74083;45;121326;7;13987;46;63362;;;1151;543692;20;16394;6;11331;3;17203;26;28238;;;46;180249;1;12582;;;;;;;;;;;;;;;20595859
"01205";1422;118;170157;652;6;16;;;2596;1415;890;;;779;240425;124;11840;;;2;1449;;;798;551870;;;;;71;62177;;;;;;;1;250;;;;;136;209538;7;2447;4;2248;1;12514;8;3797;;;27;35397;1;95934;;;;;;;;;;;;;;;1229886
"01206";6448;1908;2141002;2996;26;45;;;15140;7110;7913;;;4098;592285;130;8471;;;6;7740;;;4155;2325747;;;;;126;1241241;;;;;51;85066;7;5997;4;134459;;;996;586570;35;54220;7;5288;27;126090;51;115599;;;30;811899;8;47774;;;;;;;;;;;;;;;6148446
"01207";2271;186;473916;1025;8;13;;;2846;1628;1206;;;1296;330509;65;5885;;;;;;;1297;745970;;;;;37;64181;;;;;;;;;;;;;209;263656;13;11188;3;5260;5;11061;9;43461;;;24;224508;1;7071;;;;;;;;;;;;;;;1712750
"01208";977;80;199802;444;6;9;;;1855;1117;720;;;546;176619;100;14039;;;9;5846;;;462;363192;;;;;;;;;;;1;27428;;;;;;;185;165737;4;1099;8;15924;13;80351;4;8737;;;6;39494;;;;;;;;;;;;;;;;;898466
"01209";5575;956;695710;2746;14;55;;;9387;4614;4600;;;2997;537988;130;13660;89;299837;1;1170;5;2158;3371;1935980;;;;;175;356175;;;;;21;806;2;1492;;;;;1070;530942;53;21607;9;6884;3;18054;17;7215;;;66;170464;1;35100;;;;;;;;;;;;;;;3939532
"01210";2080;155;317130;1117;10;21;;;3470;2165;1233;;;1360;596468;780;101325;;;;;;;808;453122;;;;;;;;;;;4;35242;2;594;;;;;237;445970;12;44397;6;6752;40;112538;19;36659;;;17;80200;1;14200;;;;;;;;;;;;;;;1927467
"01211";151;103;121220;43;2;5;;;769;365;404;;;108;39683;2;337;;;;;;;109;68852;;;;;3;22823;;;;;;;;;;;;;25;31229;8;3402;4;5132;;;3;64698;;;5;171976;;;;;;;;;;;;;;;;;408132
"01212";136;46;403981;36;2;5;;;933;420;513;;;80;147761;18;6808;;;4;61560;;;30;41656;;;;;10;473800;;;;;1;1063;4;14484;1;3244;;;40;73360;3;7494;5;19193;1;5785;7;218692;;;35;942676;;;;;;;;;;;;;;;;;2017576
"01213";2081;308;371857;967;7;22;;;3960;2206;1674;;;1109;325075;77;9799;;;44;41002;;;1205;779659;;;;;42;29866;;;;;;;;;;;;;329;303239;24;16143;7;13993;11;24398;42;32618;;;24;227350;;;;;;;;;;;;;;;;;1803142
"01214";1060;72;342146;547;3;10;;;1844;1205;631;;;655;227809;158;17055;;;1;3090;;;535;246454;;;;;;;;;;;3;20984;;;;;;;159;179886;8;35449;3;3946;13;39839;29;43051;;;4;4188;1;169927;;;;;;;;;;;;;;;991678
"01215";883;50;55760;405;4;8;;;965;628;324;;;508;157625;38;4388;;;;;;;514;272862;;;;;;;;;;;;;;;;;;;79;122931;7;6479;3;1879;3;9903;6;14179;;;6;18626;;;;;;;;;;;;;;;;;608872
"01216";804;117;248462;331;3;10;;;2128;1205;806;;;445;146721;23;1643;;;;;;;429;279763;;;;;37;135165;;;;;7;97075;;;;;;;143;133476;17;15777;;;2;10744;50;104544;;;4;9766;;;;;;;;;;;;;;;;;934674
"01301";2679;1580;1190079;1598;15;15;;;9318;4062;5130;;;1824;491188;157;20408;;;;;;;1715;824541;;;;;4;3570;;;;;;;;;;;;;596;422149;59;77238;41;66282;47;86086;140;210263;;;48;83754;1;3699;;;;;;;;;;;;;;;2289178
"01302";1556;137;520319;995;10;14;;;2046;957;1057;;;1168;660428;629;77165;;;;;;;505;379624;;;;;;;;;;;;;;;;;;;261;534610;6;2970;3;4560;3;72068;16;20983;;;24;141824;;;;;;;;;;;;;;;;;1894232
"01303";328;32;33070;224;3;2;;;783;526;252;;;207;99802;126;19601;;;;;;;85;22975;;;;;;;;;;;;;;;;;;;91;71126;6;4527;5;8006;7;11165;10;16567;;;21;21700;;;;;;;;;;;;;;;;;275469
