"KG-NR";"KATASTRALGEMEINDE";"BUNDESLAND";"VERMESSUNGSAMT";"BEZIRKSGERICHT";"FINANZAMT";"BEZIRKSHAUPTMANNSCHAFT/MAGISTRAT";"PG-NR";"POLITISCHE GEMEINDE";"ANZ_EZ";"ANZ_GST";"ANZ_GST GK";"ANZ_BAUFLÄCHEN";"FL_BAUFLÄCHEN";"ANZ_LANDW. GENUTZT";"FL_LANDW. GENUTZT";"ANZ_GÄRTEN";"FL_GÄRTEN";"ANZ_WEINGÄRTEN";"FL_WEINGÄRTEN";"ANZ_ALPEN";"FL_ALPEN";"ANZ_WALD";"FL_WALD";"ANZ_GEWÄSSER";"FL_GEWÄSSER";"ANZ_Strom";"FL_Strom";"ANZ_Flüsse";"FL_Flüsse";"ANZ_Bäche";"FL_Bäche";"ANZ_Gräben";"FL_Gräben";"ANZ_Kanäle";"FL_Kanäle";"ANZ_Seen";"FL_Seen";"ANZ_Sümpfe";"FL_Sümpfe";"ANZ_Teiche";"FL_Teiche";"ANZ_andere GEWÄSSER";"FL_andere GEWÄSSER";"ANZ_SONSTIGE";"FL_SONSTIGE";"ANZ_Bundesstraßen A";"FL_Bundesstraßen A";"ANZ_Bundesstraßen S und B";"FL_Bundesstraßen S und B";"ANZ_Landesstraßen";"FL_Landesstraßen";"ANZ_Bezirksstraßen";"FL_Bezirksstraßen";"ANZ_Güterwege";"FL_Güterwege";"ANZ_Wege";"FL_Wege";"ANZ_Straßen";"FL_Straßen";"ANZ_Gassen";"FL_Gassen";"ANZ_Plätze";"FL_Plätze";"ANZ_Ortsraum";"FL_Ortsraum";"ANZ_Bahngrund";"FL_Bahngrund";"ANZ_Unproduktiv (Öde)";"FL_Unproduktiv (Öde)";"ANZ_andere SONSTIGE";"FL_andere SONSTIGE";"FL_KATASTRALGEMEINDE"
"01002";"Alsergrund";"Wien";"Wien";"Innere Stadt Wien";"für den 9.,18. u. 19. Bezirk";"Alsergrund";"90001";"Wien";1641;2407;42;1692;1577297;5;844;381;381479;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;329;999081;0;0;5;27927;0;0;0;0;0;0;15;21207;77;298669;182;383989;14;45755;0;0;25;200526;2;597;9;20411;2958701
"01004";"Innere Stadt";"Wien";"Wien";"Innere Stadt Wien";"für den 1. Bezirk";"Innere Stadt";"90001";"Wien";1309;1889;5;1431;1372434;3;70194;50;189027;0;0;0;0;0;0;1;56337;0;0;1;56337;0;0;0;0;0;0;0;0;0;0;0;0;0;0;404;1184626;0;0;0;0;0;0;0;0;0;0;2;23372;90;379592;233;433173;65;249848;0;0;0;0;0;0;14;98641;2872618
"01005";"Josefstadt";"Wien";"Wien";"Innere Stadt Wien";"für den 8.,16. u. 17. Bezirk";"Josefstadt";"90001";"Wien";948;1349;14;1000;687975;0;0;240;85068;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109;317698;0;0;0;0;0;0;0;0;0;0;0;0;10;90401;76;172374;7;31031;0;0;6;6035;0;0;10;17857;1090741
"01006";"Landstraße";"Wien";"Wien";"Innere Stadt Wien";"für den 3. u. 11. Bezirk";"Landstraße";"90001";"Wien";2938;4969;229;2959;3028350;164;524151;1044;1431876;0;0;0;0;0;0;1;983;0;0;0;0;1;983;0;0;0;0;0;0;0;0;0;0;0;0;808;2190817;23;25989;8;22200;1;961;0;0;0;0;58;27935;195;604801;391;743918;53;259720;7;1307;19;168257;6;2857;47;332872;7176177
"01008";"Margarethen";"Wien";"Wien";"Innere Stadt Wien";"für den 4.,5. u. 10. Bezirk";"Margareten";"90001";"Wien";1643;2406;87;1761;1147912;25;33548;336;155947;0;0;0;0;0;0;3;369;0;0;3;369;0;0;0;0;0;0;0;0;0;0;0;0;0;0;281;668768;0;0;21;59033;0;0;0;0;0;0;1;219;52;169331;174;343812;15;39884;0;0;5;45820;0;0;13;10669;2006544
"01009";"Mariahilf";"Wien";"Wien";"Innere Stadt Wien";"für den 6.,7. u. 15. Bezirk";"Mariahilf";"90001";"Wien";1166;1585;72;1220;898098;4;1721;190;65524;0;0;0;0;0;0;2;60468;0;0;2;60468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;169;432450;0;0;6;2645;0;0;0;0;0;0;0;0;34;167734;112;227997;1;5449;1;870;3;7984;2;409;10;19362;1458261
"01010";"Neubau";"Wien";"Wien";"Innere Stadt Wien";"für den 6.,7. u. 15. Bezirk";"Neubau";"90001";"Wien";1324;1797;43;1371;1096077;3;1046;258;89916;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;165;417720;0;0;9;18921;0;0;0;0;0;0;0;0;35;102330;98;231737;7;19611;0;0;2;13671;2;2097;12;29353;1604759
"01011";"Wieden";"Wien";"Wien";"Innere Stadt Wien";"für den 4.,5. u. 10. Bezirk";"Wieden";"90001";"Wien";1213;1775;51;1275;1007748;7;1799;284;215178;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;209;577218;0;0;2;27130;0;0;0;0;0;0;0;0;50;190663;120;227171;18;56339;0;0;3;20409;5;4859;11;50647;1801943
"01101";"Favoriten";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";2041;3251;180;2115;1607614;280;505790;306;530174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;553;2600296;0;0;0;0;0;0;0;0;0;0;26;27335;89;334396;316;547029;37;140551;0;0;12;1274298;11;54005;62;222682;5243874
"01102";"Inzersdorf Stadt";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";1128;3146;465;1330;1372379;391;2263568;1016;1633603;0;0;0;0;0;0;3;19381;0;0;0;0;1;1169;0;0;0;0;0;0;0;0;2;18212;0;0;429;2568619;0;0;6;16589;0;0;0;0;0;0;75;369938;62;359110;208;430122;29;136447;0;0;5;201993;2;295;42;1054125;7857550
"01103";"Kaiserebersdorf";"Wien";"Wien";"Favoriten";"für den 3. u. 11. Bezirk";"Simmering";"90001";"Wien";1767;4914;1025;961;717577;853;2891330;2478;4245526;0;0;0;0;4;7419;17;37313;0;0;0;0;9;12435;2;312;4;24124;0;0;0;0;0;0;2;442;602;3845012;17;57171;28;70098;0;0;0;0;0;0;103;140103;175;282501;229;166813;10;38257;1;288;25;442284;3;712;11;2646785;11744177
"01104";"Oberlaa Land";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";1199;2943;151;865;366748;1074;3193292;770;517521;0;0;0;0;0;0;12;133829;0;0;0;0;11;130682;0;0;0;0;0;0;0;0;1;3147;0;0;226;293371;0;0;5;670;0;0;0;0;0;0;50;44215;90;161049;60;54861;1;1369;2;71;5;3985;3;359;10;26792;4504761
