"KG-NR";"KATASTRALGEMEINDE";"BUNDESLAND";"VERMESSUNGSAMT";"BEZIRKSGERICHT";"FINANZAMT";"BEZIRKSHAUPTMANNSCHAFT/MAGISTRAT";"PG-NR";"POLITISCHE GEMEINDE";"ANZ_EZ";"ANZ_GST";"ANZ_GST GK";"ANZ_BAUFLÄCHEN";"FL_BAUFLÄCHEN";"ANZ_LANDW. GENUTZT";"FL_LANDW. GENUTZT";"ANZ_GÄRTEN";"FL_GÄRTEN";"ANZ_WEINGÄRTEN";"FL_WEINGÄRTEN";"ANZ_ALPEN";"FL_ALPEN";"ANZ_WALD";"FL_WALD";"ANZ_GEWÄSSER";"FL_GEWÄSSER";"ANZ_Strom";"FL_Strom";"ANZ_Flüsse";"FL_Flüsse";"ANZ_Bäche";"FL_Bäche";"ANZ_Gräben";"FL_Gräben";"ANZ_Kanäle";"FL_Kanäle";"ANZ_Seen";"FL_Seen";"ANZ_Sümpfe";"FL_Sümpfe";"ANZ_Teiche";"FL_Teiche";"ANZ_andere GEWÄSSER";"FL_andere GEWÄSSER";"ANZ_SONSTIGE";"FL_SONSTIGE";"ANZ_Bundesstraßen A";"FL_Bundesstraßen A";"ANZ_Bundesstraßen S und B";"FL_Bundesstraßen S und B";"ANZ_Landesstraßen";"FL_Landesstraßen";"ANZ_Bezirksstraßen";"FL_Bezirksstraßen";"ANZ_Güterwege";"FL_Güterwege";"ANZ_Wege";"FL_Wege";"ANZ_Straßen";"FL_Straßen";"ANZ_Gassen";"FL_Gassen";"ANZ_Plätze";"FL_Plätze";"ANZ_Ortsraum";"FL_Ortsraum";"ANZ_Bahngrund";"FL_Bahngrund";"ANZ_Unproduktiv (Öde)";"FL_Unproduktiv (Öde)";"ANZ_andere SONSTIGE";"FL_andere SONSTIGE";"FL_KATASTRALGEMEINDE"
"01002";"Alsergrund";"Wien";"Wien";"Innere Stadt Wien";"für den 9.,18. u. 19. Bezirk";"Alsergrund";"90001";"Wien";1645;2409;39;1693;1348734;5;844;381;380875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;330;1227804;0;0;4;27525;0;0;0;0;0;0;15;21207;80;525807;181;385976;14;45755;0;0;25;200526;2;597;9;20411;2958257
"01004";"Innere Stadt";"Wien";"Wien";"Innere Stadt Wien";"für den 1. Bezirk";"Innere Stadt";"90001";"Wien";1290;1889;5;1431;1372434;3;70194;50;189027;0;0;0;0;0;0;1;56337;0;0;1;56337;0;0;0;0;0;0;0;0;0;0;0;0;0;0;404;1184626;0;0;0;0;0;0;0;0;0;0;2;23372;90;379592;233;433173;65;249848;0;0;0;0;0;0;14;98641;2872618
"01005";"Josefstadt";"Wien";"Wien";"Innere Stadt Wien";"für den 8.,16. u. 17. Bezirk";"Josefstadt";"90001";"Wien";949;1350;14;1000;687975;0;0;240;85068;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110;317698;0;0;0;0;0;0;0;0;0;0;0;0;11;87605;76;172374;7;33827;0;0;6;6035;0;0;10;17857;1090741
"01006";"Landstraße";"Wien";"Wien";"Innere Stadt Wien";"für den 3. u. 11. Bezirk";"Landstraße";"90001";"Wien";2937;4949;208;2959;3033033;173;524690;1048;1427807;0;0;0;0;0;0;1;983;0;0;0;0;1;983;0;0;0;0;0;0;0;0;0;0;0;0;776;2189209;23;25989;2;9724;1;961;0;0;0;0;59;27474;173;610380;392;748705;53;260121;7;1307;13;168243;6;2857;47;333448;7175722
"01008";"Margarethen";"Wien";"Wien";"Innere Stadt Wien";"für den 4.,5. u. 10. Bezirk";"Margareten";"90001";"Wien";1644;2396;72;1753;1148892;21;33301;340;157697;0;0;0;0;0;0;3;369;0;0;3;369;0;0;0;0;0;0;0;0;0;0;0;0;0;0;279;666258;0;0;21;59033;0;0;0;0;0;0;1;219;52;168576;174;342057;15;39884;0;0;3;45820;0;0;13;10669;2006517
"01009";"Mariahilf";"Wien";"Wien";"Innere Stadt Wien";"für den 6.,7. u. 15. Bezirk";"Mariahilf";"90001";"Wien";1169;1580;68;1222;897937;4;1813;197;72806;0;0;0;0;0;0;2;60468;0;0;2;60468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;155;425227;0;0;0;0;0;0;0;0;0;0;0;0;27;162867;111;227386;1;5449;0;0;3;7984;2;409;11;21132;1458251
"01010";"Neubau";"Wien";"Wien";"Innere Stadt Wien";"für den 6.,7. u. 15. Bezirk";"Neubau";"90001";"Wien";1324;1782;43;1372;1096155;4;2176;265;106827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;141;399050;0;0;0;0;0;0;0;0;0;0;0;0;23;101296;99;238450;7;22809;0;0;2;13671;2;2097;8;20727;1604208
"01011";"Wieden";"Wien";"Wien";"Innere Stadt Wien";"für den 4.,5. u. 10. Bezirk";"Wieden";"90001";"Wien";1213;1776;41;1274;1008087;7;1799;286;214840;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;209;577204;0;0;2;27130;0;0;0;0;0;0;0;0;50;190663;120;227157;18;56339;0;0;3;20409;5;4859;11;50647;1801930
"01101";"Favoriten";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";2080;3288;155;2107;1601619;329;516056;305;542853;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;550;2584224;0;0;0;0;0;0;0;0;0;0;20;18941;91;339368;323;552394;40;171217;0;0;12;1274298;11;54005;53;174001;5244752
"01102";"Inzersdorf Stadt";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";1128;3068;387;1317;1355922;400;2272485;955;1627747;0;0;0;0;0;0;3;19381;0;0;0;0;1;1169;0;0;0;0;0;0;0;0;2;18212;0;0;416;2579684;0;0;0;0;0;0;0;0;0;0;71;362806;62;379634;205;428203;29;136447;0;0;5;201993;2;295;42;1070306;7855219
"01103";"Kaiserebersdorf";"Wien";"Wien";"Favoriten";"für den 3. u. 11. Bezirk";"Simmering";"90001";"Wien";1747;4940;1014;987;719861;854;2909636;2487;4229800;0;0;0;0;4;7419;17;37313;0;0;0;0;9;12435;2;312;4;24124;0;0;0;0;0;0;2;442;591;3841808;17;57171;28;59251;0;0;0;0;0;0;103;140896;172;278474;221;177690;10;38257;1;288;25;442284;3;712;11;2646785;11745837
"01104";"Oberlaa Land";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";1181;2935;126;866;368413;1078;3196980;764;514613;0;0;0;0;0;0;12;133829;0;0;0;0;11;130682;0;0;0;0;0;0;0;0;1;3147;0;0;218;291047;0;0;0;0;0;0;0;0;0;0;52;45709;90;161294;55;51468;1;1369;2;71;5;3985;3;359;10;26792;4504882
"01105";"Oberlaa Stadt";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";1241;2942;191;664;271707;1206;5250609;776;1202263;70;161758;0;0;5;140092;1;27824;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;27824;0;0;224;539235;3;22193;0;0;0;0;0;0;0;0;70;113764;45;125358;93;132750;1;867;0;0;0;0;0;0;12;144303;7593488
"01106";"Rothneusiedl";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";157;455;19;112;72282;210;1665631;104;105673;0;0;0;0;0;0;7;9898;0;0;0;0;7;9898;0;0;0;0;0;0;0;0;0;0;0;0;22;47087;0;0;0;0;0;0;0;0;0;0;9;14109;8;18173;4;14508;1;297;0;0;0;0;0;0;0;0;1900571
"01107";"Simmering";"Wien";"Wien";"Favoriten";"für den 3. u. 11. Bezirk";"Simmering";"90001";"Wien";2098;5313;447;1819;2270025;876;2500199;1731;3018718;0;0;0;0;3;70510;11;25566;0;0;0;0;3;572;6;2103;2;22891;0;0;0;0;0;0;0;0;875;2510026;38;168001;8;55200;0;0;0;0;0;0;190;224147;222;496573;290;435230;21;25985;1;74;20;544076;2;546;83;560194;10395044
"01108";"Unterlaa";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";284;743;44;146;87022;421;3081141;113;94009;0;0;0;0;0;0;5;16997;0;0;0;0;4;16860;1;137;0;0;0;0;0;0;0;0;0;0;60;100368;0;0;0;0;0;0;1;664;0;0;41;66395;14;27882;2;1659;0;0;0;0;0;0;0;0;2;3768;3379537
"01109";"Albern";"Wien";"Wien";"Favoriten";"für den 3. u. 11. Bezirk";"Simmering";"90001";"Wien";118;340;25;90;37443;47;346999;135;414971;0;0;0;0;20;944431;29;507787;2;320818;0;0;6;88288;20;93383;0;0;0;0;1;5298;0;0;0;0;22;334766;0;0;0;0;0;0;4;13347;0;0;11;289737;1;41;0;0;0;0;1;3611;1;10610;0;0;4;17420;2586397
"01201";"Auhof";"Wien";"Wien";"Hietzing";"für den 12.,13.,14.u.23.Bez.";"Hietzing";"90001";"Wien";2359;4870;25;1783;169431;327;4215957;2430;1326780;0;0;0;0;89;19620170;13;96847;0;0;1;34019;9;22306;0;0;0;0;0;0;0;0;3;40522;0;0;232;642311;1;137413;14;113468;0;0;0;0;0;0;58;89778;54;120756;85;120362;17;23995;0;0;1;11776;0;0;2;24763;26071496
