"KG-NR";"KATASTRALGEMEINDE";"BUNDESLAND";"VERMESSUNGSAMT";"BEZIRKSGERICHT";"FINANZAMT";"BEZIRKSHAUPTMANNSCHAFT/MAGISTRAT";"PG-NR";"POLITISCHE GEMEINDE";"ANZ_EZ";"ANZ_GST";"ANZ_GST GK";"ANZ_BAUFLÄCHEN";"FL_BAUFLÄCHEN";"ANZ_LANDW. GENUTZT";"FL_LANDW. GENUTZT";"ANZ_GÄRTEN";"FL_GÄRTEN";"ANZ_WEINGÄRTEN";"FL_WEINGÄRTEN";"ANZ_ALPEN";"FL_ALPEN";"ANZ_WALD";"FL_WALD";"ANZ_GEWÄSSER";"FL_GEWÄSSER";"ANZ_Strom";"FL_Strom";"ANZ_Flüsse";"FL_Flüsse";"ANZ_Bäche";"FL_Bäche";"ANZ_Gräben";"FL_Gräben";"ANZ_Kanäle";"FL_Kanäle";"ANZ_Seen";"FL_Seen";"ANZ_Sümpfe";"FL_Sümpfe";"ANZ_Teiche";"FL_Teiche";"ANZ_andere GEWÄSSER";"FL_andere GEWÄSSER";"ANZ_SONSTIGE";"FL_SONSTIGE";"ANZ_Bundesstraßen A";"FL_Bundesstraßen A";"ANZ_Bundesstraßen S und B";"FL_Bundesstraßen S und B";"ANZ_Landesstraßen";"FL_Landesstraßen";"ANZ_Bezirksstraßen";"FL_Bezirksstraßen";"ANZ_Güterwege";"FL_Güterwege";"ANZ_Wege";"FL_Wege";"ANZ_Straßen";"FL_Straßen";"ANZ_Gassen";"FL_Gassen";"ANZ_Plätze";"FL_Plätze";"ANZ_Ortsraum";"FL_Ortsraum";"ANZ_Bahngrund";"FL_Bahngrund";"ANZ_Unproduktiv (Öde)";"FL_Unproduktiv (Öde)";"ANZ_andere SONSTIGE";"FL_andere SONSTIGE";"FL_KATASTRALGEMEINDE"
"01002";"Alsergrund";"Wien";"Wien";"Innere Stadt Wien";"für den 9.,18. u. 19. Bezirk";"Alsergrund";"90001";"Wien";1672;2407;16;1701;1332062;5;844;391;405745;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;310;1219468;0;0;0;0;0;0;0;0;0;0;15;21207;77;543365;182;384622;14;47549;0;0;11;201717;2;597;9;20411;2958119
"01003";"Brigittenau";"Wien";"Wien";"Innere Stadt Wien";"für den 2.,20.,21. u. 22. Bezirk";"Brigittenau";"90001";"Wien";1435;2718;20;1673;1804427;72;198255;379;439972;0;0;0;0;88;181163;7;288114;2;8784;0;0;0;0;0;0;5;279330;0;0;0;0;0;0;0;0;499;1856650;0;0;0;0;0;0;0;0;0;0;23;8472;175;749230;130;261733;23;133572;11;14282;53;607226;12;22038;72;60097;4768581
"01004";"Innere Stadt";"Wien";"Wien";"Innere Stadt Wien";"für den 1. Bezirk";"Innere Stadt";"90001";"Wien";1309;1921;3;1449;1369883;3;70194;51;189967;0;0;0;0;0;0;1;56337;0;0;1;56337;0;0;0;0;0;0;0;0;0;0;0;0;0;0;417;1186148;0;0;0;0;0;0;0;0;0;0;2;23372;91;381940;245;428211;65;253984;0;0;0;0;0;0;14;98641;2872529
"01005";"Josefstadt";"Wien";"Wien";"Innere Stadt Wien";"für den 8.,16. u. 17. Bezirk";"Josefstadt";"90001";"Wien";960;1369;3;1003;688664;0;0;255;89487;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;111;312589;0;0;0;0;0;0;0;0;0;0;0;0;13;85262;74;171361;7;31632;0;0;6;6035;0;0;11;18299;1090740
"01006";"Landstraße";"Wien";"Wien";"Innere Stadt Wien";"für den 3. u. 11. Bezirk";"Landstraße";"90001";"Wien";3035;5133;71;2996;2949713;190;532610;1188;1510041;0;0;0;0;0;0;1;983;0;0;0;0;1;983;0;0;0;0;0;0;0;0;0;0;0;0;768;2186180;0;0;0;0;0;0;0;0;1;276;66;26201;180;617847;397;751267;48;261842;6;831;13;167978;9;3045;48;356893;7179527
"01007";"Leopoldstadt";"Wien";"Wien";"Innere Stadt Wien";"für den 2.,20.,21. u. 22. Bezirk";"Leopoldstadt";"90001";"Wien";2383;4316;19;2681;2477818;304;4192029;542;2027749;0;0;0;0;260;2267461;33;3241676;5;2236239;0;0;0;0;3;16630;6;761030;0;0;0;0;11;147199;8;80578;496;3935118;0;0;0;0;0;0;0;0;0;0;23;103532;157;1404979;201;364547;28;262604;0;0;18;924899;26;233896;43;640661;18141851
"01008";"Margarethen";"Wien";"Wien";"Innere Stadt Wien";"für den 4.,5. u. 10. Bezirk";"Margareten";"90001";"Wien";1649;2411;23;1786;1143488;22;44492;347;165329;0;0;0;0;0;0;3;385;0;0;3;385;0;0;0;0;0;0;0;0;0;0;0;0;0;0;253;652192;0;0;0;0;0;0;0;0;0;0;1;219;35;217189;183;333749;17;45667;0;0;2;21514;0;0;15;33854;2005886
"01009";"Mariahilf";"Wien";"Wien";"Innere Stadt Wien";"für den 6.,7. u. 15. Bezirk";"Mariahilf";"90001";"Wien";1177;1574;23;1225;897507;4;2398;203;77998;0;0;0;0;0;0;2;62678;0;0;2;62678;0;0;0;0;0;0;0;0;0;0;0;0;0;0;140;417663;0;0;0;0;0;0;0;0;0;0;0;0;16;158392;106;224022;1;5449;0;0;3;7984;3;457;11;21359;1458244
"01010";"Neubau";"Wien";"Wien";"Innere Stadt Wien";"für den 6.,7. u. 15. Bezirk";"Neubau";"90001";"Wien";1342;1790;9;1375;1095582;4;2176;276;109314;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;135;397070;0;0;0;0;0;0;0;0;0;0;0;0;19;98576;97;238870;7;22809;0;0;2;13671;2;2097;8;21047;1604142
"01011";"Wieden";"Wien";"Wien";"Innere Stadt Wien";"für den 4.,5. u. 10. Bezirk";"Wieden";"90001";"Wien";1217;1816;12;1298;1008009;7;1799;291;215418;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;220;576690;0;0;0;0;0;0;0;0;0;0;0;0;46;215937;132;223048;21;59245;0;0;3;20409;5;4859;13;53192;1801916
