"KG-NR";"KATASTRALGEMEINDE";"BUNDESLAND";"VERMESSUNGSAMT";"BEZIRKSGERICHT";"FINANZAMT";"BEZIRKSHAUPTMANNSCHAFT/MAGISTRAT";"PG-NR";"POLITISCHE GEMEINDE";"ANZ_EZ";"ANZ_GST";"ANZ_GST GK";"ANZ_BAUFLÄCHEN";"FL_BAUFLÄCHEN";"ANZ_LANDW. GENUTZT";"FL_LANDW. GENUTZT";"ANZ_GÄRTEN";"FL_GÄRTEN";"ANZ_WEINGÄRTEN";"FL_WEINGÄRTEN";"ANZ_ALPEN";"FL_ALPEN";"ANZ_WALD";"FL_WALD";"ANZ_GEWÄSSER";"FL_GEWÄSSER";"ANZ_Strom";"FL_Strom";"ANZ_Flüsse";"FL_Flüsse";"ANZ_Bäche";"FL_Bäche";"ANZ_Gräben";"FL_Gräben";"ANZ_Kanäle";"FL_Kanäle";"ANZ_Seen";"FL_Seen";"ANZ_Sümpfe";"FL_Sümpfe";"ANZ_Teiche";"FL_Teiche";"ANZ_andere GEWÄSSER";"FL_andere GEWÄSSER";"ANZ_SONSTIGE";"FL_SONSTIGE";"ANZ_Bundesstraßen A";"FL_Bundesstraßen A";"ANZ_Bundesstraßen S und B";"FL_Bundesstraßen S und B";"ANZ_Landesstraßen";"FL_Landesstraßen";"ANZ_Bezirksstraßen";"FL_Bezirksstraßen";"ANZ_Güterwege";"FL_Güterwege";"ANZ_Wege";"FL_Wege";"ANZ_Straßen";"FL_Straßen";"ANZ_Gassen";"FL_Gassen";"ANZ_Plätze";"FL_Plätze";"ANZ_Ortsraum";"FL_Ortsraum";"ANZ_Bahngrund";"FL_Bahngrund";"ANZ_Unproduktiv (Öde)";"FL_Unproduktiv (Öde)";"ANZ_andere SONSTIGE";"FL_andere SONSTIGE";"FL_KATASTRALGEMEINDE"
"01002";"Alsergrund";"Wien";"Wien";"Innere Stadt Wien";"für den 9.,18. u. 19. Bezirk";"Alsergrund";"90001";"Wien";1632;2389;46;1692;1622066;0;0;350;310596;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;348;1025477;0;0;24;65648;0;0;0;0;0;0;12;20847;77;271340;183;384168;14;45755;0;0;23;196026;2;59;13;41634;2958139
"01004";"Innere Stadt";"Wien";"Wien";"Innere Stadt Wien";"für den 1. Bezirk";"Innere Stadt";"90001";"Wien";1298;1889;5;1431;1372434;0;0;50;189027;0;0;0;0;0;0;1;56337;0;0;1;56337;0;0;0;0;0;0;0;0;0;0;0;0;0;0;407;1254820;0;0;0;0;0;0;0;0;0;0;2;23372;91;395799;232;428844;68;308164;0;0;0;0;0;0;14;98641;2872618
"01005";"Josefstadt";"Wien";"Wien";"Innere Stadt Wien";"für den 8.,16. u. 17. Bezirk";"Josefstadt";"90001";"Wien";947;1347;15;1000;688168;0;0;238;84836;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109;317737;0;0;0;0;0;0;0;0;0;0;0;0;10;90401;76;172413;7;31031;0;0;6;6035;0;0;10;17857;1090741
"01006";"Landstraße";"Wien";"Wien";"Innere Stadt Wien";"für den 3. u. 11. Bezirk";"Landstraße";"90001";"Wien";2937;4929;276;2959;3087388;157;497060;971;1355926;0;0;0;0;0;0;1;983;0;0;0;0;1;983;0;0;0;0;0;0;0;0;0;0;0;0;848;2232520;24;29199;8;22200;1;961;0;0;0;0;53;25898;213;613649;397;746055;52;260281;6;831;23;169098;6;2109;65;362239;7173877
"01008";"Margarethen";"Wien";"Wien";"Innere Stadt Wien";"für den 4.,5. u. 10. Bezirk";"Margareten";"90001";"Wien";1639;2406;91;1765;1150279;3;1720;337;157359;0;0;0;0;0;0;3;369;0;0;3;369;0;0;0;0;0;0;0;0;0;0;0;0;0;0;298;696855;0;0;21;59033;0;0;0;0;0;0;1;219;56;171136;179;344731;15;39884;5;19848;7;50072;0;0;14;11932;2006582
"01009";"Mariahilf";"Wien";"Wien";"Innere Stadt Wien";"für den 6.,7. u. 15. Bezirk";"Mariahilf";"90001";"Wien";1159;1587;81;1222;898364;0;0;190;65524;0;0;0;0;0;0;2;60468;0;0;2;60468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;173;433912;0;0;6;2645;0;0;0;0;0;0;0;0;35;167811;113;228357;1;5449;3;1895;3;7984;2;409;10;19362;1458268
"01010";"Neubau";"Wien";"Wien";"Innere Stadt Wien";"für den 6.,7. u. 15. Bezirk";"Neubau";"90001";"Wien";1325;1798;47;1372;1097155;0;0;258;88873;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;168;418756;0;0;9;18921;0;0;0;0;0;0;0;0;37;103057;98;231706;7;19611;0;0;2;13671;2;2097;13;29693;1604784
"01011";"Wieden";"Wien";"Wien";"Innere Stadt Wien";"für den 4.,5. u. 10. Bezirk";"Wieden";"90001";"Wien";1212;1776;52;1282;1009263;0;0;284;215369;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;210;577295;0;0;2;27130;0;0;0;0;0;0;0;0;50;190720;121;227191;18;56339;0;0;3;20409;5;4859;11;50647;1801927
"01101";"Favoriten";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";1993;3246;198;2094;1597995;262;506573;288;531845;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;605;2607933;0;0;0;0;0;0;0;0;0;0;28;28090;118;341241;315;542282;37;137643;0;0;12;1274246;10;50328;85;234103;5244346
"01102";"Inzersdorf Stadt";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";1122;3181;488;1327;1283718;389;2259395;1017;1646573;0;0;0;0;0;0;5;46918;0;0;0;0;1;1169;0;0;0;0;0;0;0;0;4;45749;0;0;469;2620933;0;0;5;15131;0;0;0;0;0;0;76;369503;90;385161;215;452661;29;130460;0;0;5;201694;2;1397;47;1064926;7857537
"01103";"Kaiserebersdorf";"Wien";"Wien";"Favoriten";"für den 3. u. 11. Bezirk";"Simmering";"90001";"Wien";1791;4925;1146;951;764113;825;2521386;2493;4266364;0;0;0;0;4;7419;17;37186;0;0;0;0;9;12411;2;312;4;24124;0;0;0;0;0;0;2;339;641;4153029;19;57337;32;72840;0;0;0;0;0;0;106;143169;184;311082;244;165909;10;38257;1;288;30;705564;3;495;12;2658088;11749497
"01104";"Oberlaa Land";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";1207;2941;162;868;367559;1069;3189930;771;519665;0;0;0;0;0;0;12;133829;0;0;0;0;11;130682;0;0;0;0;0;0;0;0;1;3147;0;0;226;293947;0;0;5;670;0;0;0;0;0;0;48;41345;92;164466;60;54890;1;1369;2;71;5;3985;3;359;10;26792;4504930
"01105";"Oberlaa Stadt";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";1244;2958;209;658;270656;1206;5095236;768;1195077;70;162078;0;0;5;140092;1;27824;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;27824;0;0;255;702992;3;22193;12;4503;0;0;0;0;0;0;72;94443;50;123779;97;151625;1;867;0;0;0;0;0;0;20;305582;7593955
"01106";"Rothneusiedl";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";157;465;25;112;72500;211;1665582;105;105450;0;0;0;0;0;0;7;9892;0;0;0;0;7;9892;0;0;0;0;0;0;0;0;0;0;0;0;31;47347;0;0;5;236;0;0;0;0;0;0;9;14109;12;18311;4;14394;1;297;0;0;0;0;0;0;0;0;1900771
"01107";"Simmering";"Wien";"Wien";"Favoriten";"für den 3. u. 11. Bezirk";"Simmering";"90001";"Wien";2083;5247;504;1791;2189771;873;2310912;1678;2892052;0;0;0;0;3;70510;11;25468;0;0;0;0;3;572;6;2005;2;22891;0;0;0;0;0;0;0;0;893;2905521;38;168001;13;65083;0;0;0;0;0;0;190;223900;221;492322;299;442744;21;25985;1;74;18;540823;2;546;90;946043;10394234
"01108";"Unterlaa";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";291;744;55;147;86857;420;3078870;113;94774;0;0;0;0;0;0;5;16997;0;0;0;0;4;16860;1;137;0;0;0;0;0;0;0;0;0;0;65;102131;0;0;0;0;0;0;1;664;0;0;44;65623;15;29365;2;1661;0;0;0;0;0;0;0;0;3;4818;3379629
"01109";"Albern";"Wien";"Wien";"Favoriten";"für den 3. u. 11. Bezirk";"Simmering";"90001";"Wien";134;351;43;87;36736;45;261139;134;400666;0;0;0;0;18;779378;21;657629;1;243134;0;0;5;52116;12;285594;0;0;0;0;1;4809;0;0;2;71976;47;450855;6;45018;0;0;0;0;3;12280;0;0;10;19371;7;6958;1;802;0;0;1;3611;6;15677;0;0;13;347138;2586403
"01201";"Auhof";"Wien";"Wien";"Hietzing";"für den 12.,13.,14.u.23.Bez.";"Hietzing";"90001";"Wien";2359;4849;47;1785;177010;321;4213605;2427;1319726;0;0;0;0;85;19619401;13;96847;0;0;1;34019;9;22306;0;0;0;0;0;0;0;0;3;40522;0;0;230;645316;1;137413;14;113468;0;0;0;0;0;0;56;89556;54;124135;84;121565;18;22640;0;0;1;11776;0;0;2;24763;26071905
"01202";"Breitensee";"Wien";"Wien";"Hietzing";"für den 12.,13.,14.u.23.Bez.";"Penzing";"90001";"Wien";666;1490;31;625;580475;139;82959;555;680412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;172;384612;0;0;1;14531;0;0;0;0;0;0;9;10307;58;160941;83;115139;11;15020;0;0;0;0;0;0;10;68674;1728458
"01203";"Hacking";"Wien";"Wien";"Hietzing";"für den 12.,13.,14.u.23.Bez.";"Hietzing";"90001";"Wien";179;479;14;192;100630;2;1978;192;189134;0;0;0;0;0;0;1;22637;0;0;1;22637;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94;115275;0;0;0;0;0;0;0;0;0;0;3;426;42;50188;32;25815;2;967;4;5527;3;19271;1;217;7;12864;429654
"01204";"Hadersdorf";"Wien";"Wien";"Hietzing";"für den 12.,13.,14.u.23.Bez.";"Penzing";"90001";"Wien";2582;5881;413;1989;251918;638;1574756;2588;2129637;0;0;0;0;302;15984788;48;118466;0;0;0;0;46;107530;0;0;0;0;0;0;0;0;2;10936;0;0;405;540527;0;0;0;0;0;0;0;0;0;0;104;52542;223;305880;58;92520;4;9438;0;0;2;34326;2;1127;12;44694;20600092
"01205";"Hietzing";"Wien";"Wien";"Hietzing";"für den 12.,13.,14.u.23.Bez.";"Hietzing";"90001";"Wien";665;1537;45;667;256659;4;492;776;633581;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91;339000;0;0;0;0;0;0;0;0;0;0;17;5037;13;91311;52;99940;5;16836;0;0;1;13534;0;0;3;112342;1229732
"01206";"Hütteldorf";"Wien";"Wien";"Hietzing";"für den 12.,13.,14.u.23.Bez.";"Penzing";"90001";"Wien";2362;5318;155;1837;551898;671;972307;2370;2383788;0;0;0;0;102;1417687;28;86404;0;0;2;60658;25;25704;1;42;0;0;0;0;0;0;0;0;0;0;364;763870;0;0;9;22250;0;0;0;0;0;0;115;97667;49;146611;142;199965;14;25382;0;0;4;99365;2;1922;29;170708;6175954
