"KG-NR";"KATASTRALGEMEINDE";"BUNDESLAND";"VERMESSUNGSAMT";"BEZIRKSGERICHT";"FINANZAMT";"BEZIRKSHAUPTMANNSCHAFT/MAGISTRAT";"PG-NR";"POLITISCHE GEMEINDE";"ANZ_EZ";"ANZ_GST";"ANZ_GST GK";"ANZ_BAUFLÄCHEN";"FL_BAUFLÄCHEN";"ANZ_LANDW. GENUTZT";"FL_LANDW. GENUTZT";"ANZ_GÄRTEN";"FL_GÄRTEN";"ANZ_WEINGÄRTEN";"FL_WEINGÄRTEN";"ANZ_ALPEN";"FL_ALPEN";"ANZ_WALD";"FL_WALD";"ANZ_GEWÄSSER";"FL_GEWÄSSER";"ANZ_Strom";"FL_Strom";"ANZ_Flüsse";"FL_Flüsse";"ANZ_Bäche";"FL_Bäche";"ANZ_Gräben";"FL_Gräben";"ANZ_Kanäle";"FL_Kanäle";"ANZ_Seen";"FL_Seen";"ANZ_Sümpfe";"FL_Sümpfe";"ANZ_Teiche";"FL_Teiche";"ANZ_andere GEWÄSSER";"FL_andere GEWÄSSER";"ANZ_SONSTIGE";"FL_SONSTIGE";"ANZ_Bundesstraßen A";"FL_Bundesstraßen A";"ANZ_Bundesstraßen S und B";"FL_Bundesstraßen S und B";"ANZ_Landesstraßen";"FL_Landesstraßen";"ANZ_Bezirksstraßen";"FL_Bezirksstraßen";"ANZ_Güterwege";"FL_Güterwege";"ANZ_Wege";"FL_Wege";"ANZ_Straßen";"FL_Straßen";"ANZ_Gassen";"FL_Gassen";"ANZ_Plätze";"FL_Plätze";"ANZ_Ortsraum";"FL_Ortsraum";"ANZ_Bahngrund";"FL_Bahngrund";"ANZ_Unproduktiv (Öde)";"FL_Unproduktiv (Öde)";"ANZ_andere SONSTIGE";"FL_andere SONSTIGE";"FL_KATASTRALGEMEINDE"
"66152";"Obegg";"Steiermark";"Leibnitz";"Leibnitz";"Leibnitz";"Leibnitz";"61039";"Spielfeld";58;464;6;44;12424;216;521670;80;277995;56;185157;0;0;50;404411;12;6896;0;0;0;0;4;982;0;0;0;0;0;0;0;0;0;0;8;5914;16;39048;0;0;0;0;0;0;0;0;0;0;11;11961;2;10855;0;0;0;0;0;0;1;14312;2;1920;0;0;1447601
"66154";"Obergralla";"Steiermark";"Leibnitz";"Leibnitz";"Leibnitz";"Leibnitz";"61012";"Gralla";507;2561;22;211;123471;1314;4151181;173;168214;0;0;0;0;891;2775529;7;429719;0;0;1;252995;1;2808;0;0;0;0;1;127658;0;0;2;23694;2;22564;104;439040;2;149109;4;44962;0;0;0;0;0;0;92;205724;1;945;0;0;0;0;0;0;0;0;1;4251;4;34049;8087154
"66155";"Oberjahring";"Steiermark";"Leibnitz";"Leibnitz";"Leibnitz";"Leibnitz";"61033";"Sankt Nikolai im Sausal";130;859;0;60;24341;662;1677538;52;118164;0;0;0;0;55;218379;1;130;0;0;0;0;1;130;0;0;0;0;0;0;0;0;0;0;0;0;32;63264;0;0;0;0;1;7902;0;0;0;0;31;55362;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2101816
"66156";"Oberlupitscheni";"Steiermark";"Leibnitz";"Leibnitz";"Leibnitz";"Leibnitz";"61038";"Seggauberg";91;675;0;69;25642;305;1032813;125;432537;61;154602;0;0;104;1026981;1;1235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1235;0;0;22;58789;0;0;1;352;1;8217;0;0;0;0;20;50220;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2732599
"66157";"Obervogau";"Steiermark";"Leibnitz";"Leibnitz";"Leibnitz";"Leibnitz";"61025";"Obervogau";340;1421;8;192;82705;743;2387671;185;178510;0;0;0;0;306;817373;9;233285;0;0;2;179165;6;40850;0;0;0;0;1;13270;0;0;0;0;0;0;72;247717;1;44076;1;20610;3;16890;0;0;0;0;43;78058;1;6123;0;0;0;0;5;8377;0;0;1;1326;17;72257;3947261
"66158";"Ottenberg";"Steiermark";"Leibnitz";"Leibnitz";"Leibnitz";"Leibnitz";"61028";"Ratsch an der Weinstraße";80;638;0;56;30923;244;862794;111;460283;90;321162;0;0;113;1043006;4;6980;0;0;0;0;4;6980;0;0;0;0;0;0;0;0;0;0;0;0;31;59406;0;0;0;0;3;4796;0;0;0;0;28;54610;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2784554
"66159";"Petzles";"Steiermark";"Leibnitz";"Leibnitz";"Leibnitz";"Leibnitz";"61033";"Sankt Nikolai im Sausal";108;874;0;79;20082;418;1106758;96;156302;34;51876;0;0;198;848886;3;1929;0;0;0;0;2;956;0;0;0;0;0;0;0;0;1;973;0;0;52;92654;0;0;0;0;0;0;0;0;0;0;52;92654;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2278487
"66160";"Ratsch";"Steiermark";"Leibnitz";"Leibnitz";"Leibnitz";"Leibnitz";"61028";"Ratsch an der Weinstraße";175;1337;0;111;48514;560;1654435;160;476601;189;781054;0;0;306;2407907;2;14608;0;0;0;0;2;14608;0;0;0;0;0;0;0;0;0;0;0;0;41;101931;0;0;0;0;9;20095;0;0;0;0;27;78567;0;0;0;0;0;0;0;0;0;0;0;0;5;3269;5485050
"66161";"Reith";"Steiermark";"Leibnitz";"Leibnitz";"Leibnitz";"Leibnitz";"61030";"Sankt Andrä-Höch";62;495;0;55;18116;277;717545;57;125270;0;0;0;0;91;458414;5;22406;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;22406;0;0;11;31367;0;0;0;0;0;0;0;0;0;0;8;28006;0;0;0;0;0;0;3;3361;0;0;0;0;0;0;1373118
"66162";"Rettenbach";"Steiermark";"Leibnitz";"Leibnitz";"Leibnitz";"Leibnitz";"61038";"Seggauberg";57;298;0;53;8331;117;217056;84;165631;36;116922;0;0;11;79246;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;19184;0;0;0;0;0;0;0;0;0;0;8;19184;0;0;0;0;0;0;0;0;0;0;0;0;0;0;606370
