"KG-NR";"KATASTRALGEMEINDE";"BUNDESLAND";"VERMESSUNGSAMT";"BEZIRKSGERICHT";"FINANZAMT";"BEZIRKSHAUPTMANNSCHAFT/MAGISTRAT";"PG-NR";"POLITISCHE GEMEINDE";"ANZ_EZ";"ANZ_GST";"ANZ_GST GK";"ANZ_BAUFLÄCHEN";"FL_BAUFLÄCHEN";"ANZ_LANDW. GENUTZT";"FL_LANDW. GENUTZT";"ANZ_GÄRTEN";"FL_GÄRTEN";"ANZ_WEINGÄRTEN";"FL_WEINGÄRTEN";"ANZ_ALPEN";"FL_ALPEN";"ANZ_WALD";"FL_WALD";"ANZ_GEWÄSSER";"FL_GEWÄSSER";"ANZ_Strom";"FL_Strom";"ANZ_Flüsse";"FL_Flüsse";"ANZ_Bäche";"FL_Bäche";"ANZ_Gräben";"FL_Gräben";"ANZ_Kanäle";"FL_Kanäle";"ANZ_Seen";"FL_Seen";"ANZ_Sümpfe";"FL_Sümpfe";"ANZ_Teiche";"FL_Teiche";"ANZ_andere GEWÄSSER";"FL_andere GEWÄSSER";"ANZ_SONSTIGE";"FL_SONSTIGE";"ANZ_Bundesstraßen A";"FL_Bundesstraßen A";"ANZ_Bundesstraßen S und B";"FL_Bundesstraßen S und B";"ANZ_Landesstraßen";"FL_Landesstraßen";"ANZ_Bezirksstraßen";"FL_Bezirksstraßen";"ANZ_Güterwege";"FL_Güterwege";"ANZ_Wege";"FL_Wege";"ANZ_Straßen";"FL_Straßen";"ANZ_Gassen";"FL_Gassen";"ANZ_Plätze";"FL_Plätze";"ANZ_Ortsraum";"FL_Ortsraum";"ANZ_Bahngrund";"FL_Bahngrund";"ANZ_Unproduktiv (Öde)";"FL_Unproduktiv (Öde)";"ANZ_andere SONSTIGE";"FL_andere SONSTIGE";"FL_KATASTRALGEMEINDE"
"01002";"Alsergrund";"Wien";"Wien";"Innere Stadt Wien";"für den 9.,18. u. 19. Bezirk";"Alsergrund";"90001";"Wien";1673;2392;22;1691;1333385;5;844;387;403223;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;309;1220669;0;0;0;0;0;0;0;0;0;0;15;21207;75;543896;181;385292;14;47549;0;0;13;201717;2;597;9;20411;2958121
"01003";"Brigittenau";"Wien";"Wien";"Innere Stadt Wien";"für den 2.,20.,21. u. 22. Bezirk";"Brigittenau";"90001";"Wien";1427;2608;33;1617;1823394;71;198175;356;431399;0;0;0;0;88;181163;7;288114;2;8784;0;0;0;0;0;0;5;279330;0;0;0;0;0;0;0;0;469;1846364;0;0;0;0;0;0;0;0;0;0;23;8681;164;748011;128;262638;20;132398;11;14282;53;607226;12;22038;58;51090;4768609
"01004";"Innere Stadt";"Wien";"Wien";"Innere Stadt Wien";"für den 1. Bezirk";"Innere Stadt";"90001";"Wien";1307;1893;2;1435;1368867;3;70194;50;189027;0;0;0;0;0;0;1;56337;0;0;1;56337;0;0;0;0;0;0;0;0;0;0;0;0;0;0;404;1188104;0;0;0;0;0;0;0;0;0;0;2;23372;91;383062;232;428679;65;254350;0;0;0;0;0;0;14;98641;2872529
"01005";"Josefstadt";"Wien";"Wien";"Innere Stadt Wien";"für den 8.,16. u. 17. Bezirk";"Josefstadt";"90001";"Wien";957;1350;7;1001;688516;0;0;241;84829;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;108;317384;0;0;0;0;0;0;0;0;0;0;0;0;11;87605;74;172001;7;33827;0;0;6;6035;0;0;10;17916;1090729
"01006";"Landstraße";"Wien";"Wien";"Innere Stadt Wien";"für den 3. u. 11. Bezirk";"Landstraße";"90001";"Wien";3022;5091;93;3001;2974864;190;547963;1152;1487198;0;0;0;0;0;0;1;983;0;0;0;0;1;983;0;0;0;0;0;0;0;0;0;0;0;0;757;2165079;0;0;0;0;0;0;0;0;1;276;66;28423;170;614998;397;751276;48;260026;6;831;13;167978;9;3045;47;338226;7176087
"01007";"Leopoldstadt";"Wien";"Wien";"Innere Stadt Wien";"für den 2.,20.,21. u. 22. Bezirk";"Leopoldstadt";"90001";"Wien";2366;4300;27;2681;2482784;288;4192169;542;2035619;0;0;0;0;260;2267461;33;3241676;5;2236239;0;0;0;0;3;16630;6;761030;0;0;0;0;11;147199;8;80578;496;3922388;0;0;0;0;0;0;0;0;0;0;23;103532;157;1395593;201;366633;28;262604;0;0;18;919469;26;233896;43;640661;18142097
"01008";"Margarethen";"Wien";"Wien";"Innere Stadt Wien";"für den 4.,5. u. 10. Bezirk";"Margareten";"90001";"Wien";1647;2405;24;1784;1143406;20;44125;345;165170;0;0;0;0;0;0;3;385;0;0;3;385;0;0;0;0;0;0;0;0;0;0;0;0;0;0;253;652789;0;0;0;0;0;0;0;0;0;0;1;219;35;217189;185;333979;17;45667;0;0;3;45846;0;0;12;9889;2005875
"01009";"Mariahilf";"Wien";"Wien";"Innere Stadt Wien";"für den 6.,7. u. 15. Bezirk";"Mariahilf";"90001";"Wien";1172;1573;36;1226;901646;4;2398;201;73353;0;0;0;0;0;0;2;62678;0;0;2;62678;0;0;0;0;0;0;0;0;0;0;0;0;0;0;140;418236;0;0;0;0;0;0;0;0;0;0;0;0;16;158556;106;224431;1;5449;0;0;3;7984;3;457;11;21359;1458311
"01010";"Neubau";"Wien";"Wien";"Innere Stadt Wien";"für den 6.,7. u. 15. Bezirk";"Neubau";"90001";"Wien";1338;1792;18;1374;1094605;4;2176;273;108733;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;141;398525;0;0;0;0;0;0;0;0;0;0;0;0;22;99763;100;239138;7;22809;0;0;2;13671;2;2097;8;21047;1604039
"01011";"Wieden";"Wien";"Wien";"Innere Stadt Wien";"für den 4.,5. u. 10. Bezirk";"Wieden";"90001";"Wien";1216;1817;18;1299;1007591;7;1799;291;215359;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;220;577167;0;0;0;0;0;0;0;0;0;0;0;0;46;215937;132;223525;21;59245;0;0;3;20409;5;4859;13;53192;1801916
"01101";"Favoriten";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";2094;3306;65;2120;1576501;320;552191;323;561995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;543;2553586;0;0;0;0;0;0;0;0;0;0;13;7565;84;320689;327;558077;40;171217;0;0;11;1275261;11;54005;57;166772;5244273
"01102";"Inzersdorf Stadt";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";1128;3092;121;1400;1222657;502;2725041;815;1558976;0;0;0;0;0;0;5;39250;0;0;0;0;1;1169;0;0;0;0;0;0;0;0;4;38081;0;0;370;2308834;0;0;0;0;0;0;0;0;0;0;38;61173;57;368635;190;380635;29;135428;0;0;5;202200;2;295;49;1160468;7854758
"01103";"Kaiserebersdorf";"Wien";"Wien";"Favoriten";"für den 3. u. 11. Bezirk";"Simmering";"90001";"Wien";1387;4100;122;994;711336;856;2946783;1731;4335952;0;0;0;0;4;8371;14;40720;0;0;0;0;6;15842;2;312;4;24124;0;0;0;0;0;0;2;442;501;3704771;0;0;0;0;0;0;0;0;0;0;102;137788;152;259609;197;166035;10;38631;1;288;23;443162;3;784;13;2658474;11747933
"01104";"Oberlaa Land";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";1170;2944;74;831;331378;1104;3210091;789;541577;0;0;0;0;0;0;12;133829;0;0;0;0;11;130682;0;0;0;0;0;0;0;0;1;3147;0;0;209;287848;0;0;0;0;0;0;0;0;0;0;44;45199;89;160349;55;49724;1;1369;2;71;5;3985;3;359;10;26792;4504723
"01105";"Oberlaa Stadt";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";1259;3011;53;656;134791;1283;5786536;829;916178;44;91298;0;0;5;140092;1;27824;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;27824;0;0;193;497868;0;0;0;0;0;0;0;0;0;0;74;199691;41;101033;68;97539;1;867;0;0;0;0;0;0;9;98738;7594587
"01106";"Rothneusiedl";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";153;449;2;108;67642;209;1669467;106;106810;0;0;0;0;0;0;7;9902;0;0;0;0;7;9902;0;0;0;0;0;0;0;0;0;0;0;0;19;46805;0;0;0;0;0;0;0;0;0;0;7;13804;7;18196;4;14508;1;297;0;0;0;0;0;0;0;0;1900626
"01107";"Simmering";"Wien";"Wien";"Favoriten";"für den 3. u. 11. Bezirk";"Simmering";"90001";"Wien";2091;5363;157;1874;2217218;928;2530647;1729;3225055;0;0;0;0;3;70510;12;25936;0;0;0;0;3;654;6;2103;3;23179;0;0;0;0;0;0;0;0;817;2323028;0;0;0;0;0;0;0;0;0;0;182;209919;195;508137;304;439534;29;30968;1;74;20;546185;2;546;84;587665;10392394
"01108";"Unterlaa";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";281;739;26;142;84628;421;3082272;114;94555;0;0;0;0;0;0;5;16997;0;0;0;0;4;16860;1;137;0;0;0;0;0;0;0;0;0;0;57;100929;0;0;0;0;0;0;1;664;0;0;39;66671;14;27717;2;1659;0;0;0;0;0;0;0;0;1;4218;3379381
"01109";"Albern";"Wien";"Wien";"Favoriten";"für den 3. u. 11. Bezirk";"Simmering";"90001";"Wien";126;366;7;92;42359;45;466370;158;552514;0;0;0;0;21;911371;30;556801;2;320818;0;0;6;133742;20;93749;0;0;0;0;2;8492;0;0;0;0;23;62870;0;0;0;0;0;0;3;13347;0;0;13;17841;1;41;0;0;0;0;1;3611;1;10610;0;0;4;17420;2592285
"01201";"Auhof";"Wien";"Wien";"Hietzing";"für den 12.,13.,14. u. 23. Bez.";"Hietzing";"90001";"Wien";2354;4861;2;1795;170077;314;4248784;2433;1327305;0;0;0;0;91;19689597;12;96847;0;0;1;34019;8;22306;0;0;0;0;0;0;0;0;3;40522;0;0;216;538877;1;137413;3;11282;0;0;0;0;0;0;58;89778;51;120349;83;119521;17;23995;0;0;1;11776;0;0;2;24763;26071487
