"KG-NR";"KATASTRALGEMEINDE";"BUNDESLAND";"VERMESSUNGSAMT";"BEZIRKSGERICHT";"FINANZAMT";"BEZIRKSHAUPTMANNSCHAFT/MAGISTRAT";"PG-NR";"POLITISCHE GEMEINDE";"ANZ_EZ";"ANZ_GST";"ANZ_GST GK";"ANZ_BAUFLÄCHEN";"FL_BAUFLÄCHEN";"ANZ_LANDW. GENUTZT";"FL_LANDW. GENUTZT";"ANZ_GÄRTEN";"FL_GÄRTEN";"ANZ_WEINGÄRTEN";"FL_WEINGÄRTEN";"ANZ_ALPEN";"FL_ALPEN";"ANZ_WALD";"FL_WALD";"ANZ_GEWÄSSER";"FL_GEWÄSSER";"ANZ_Strom";"FL_Strom";"ANZ_Flüsse";"FL_Flüsse";"ANZ_Bäche";"FL_Bäche";"ANZ_Gräben";"FL_Gräben";"ANZ_Kanäle";"FL_Kanäle";"ANZ_Seen";"FL_Seen";"ANZ_Sümpfe";"FL_Sümpfe";"ANZ_Teiche";"FL_Teiche";"ANZ_andere GEWÄSSER";"FL_andere GEWÄSSER";"ANZ_SONSTIGE";"FL_SONSTIGE";"ANZ_Bundesstraßen A";"FL_Bundesstraßen A";"ANZ_Bundesstraßen S und B";"FL_Bundesstraßen S und B";"ANZ_Landesstraßen";"FL_Landesstraßen";"ANZ_Bezirksstraßen";"FL_Bezirksstraßen";"ANZ_Güterwege";"FL_Güterwege";"ANZ_Wege";"FL_Wege";"ANZ_Straßen";"FL_Straßen";"ANZ_Gassen";"FL_Gassen";"ANZ_Plätze";"FL_Plätze";"ANZ_Ortsraum";"FL_Ortsraum";"ANZ_Bahngrund";"FL_Bahngrund";"ANZ_Unproduktiv (Öde)";"FL_Unproduktiv (Öde)";"ANZ_andere SONSTIGE";"FL_andere SONSTIGE";"FL_KATASTRALGEMEINDE";"MER";"ZENTRUM Bezeichnung";"y-Koord";"x-Koord";"y-ggmmss";"x-ggmmss";"Höhe";"ANZ_TP";"ANZ_EP";"ANZ_EPterr";"ANZ_EPphot";"ANZ_GP";"ANZ_GP E";"ANZ_GP S";"ANZ_GP G";"ANZ_GP PP"
"10069";"Wutzendorf";"Niederösterreich";"Horn";"Horn";"Horn";"Horn";"31102";"Brunn an der Wild";44;247;15;23;13077;181;1142668;19;19183;0;0;0;0;11;24192;3;4938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;37;2;4901;12;35698;0;0;0;0;3;16801;0;0;0;0;5;15038;0;0;0;0;0;0;4;3859;0;0;0;0;0;0;1239756;34;"";-60100;+393500;153102;484038;420;3;12;12;0;470;242;0;226;0
"10070";"Zaingrub";"Niederösterreich";"Horn";"Horn";"Horn";"Horn";"31121";"Rosenburg - Mold";107;522;216;62;35559;246;4714033;72;68609;0;0;0;0;75;3001344;13;29706;0;0;0;0;7;6660;4;22709;0;0;0;0;0;0;2;337;0;0;77;197494;0;0;1;10175;6;27260;0;0;0;0;57;138604;0;0;0;0;0;0;4;8567;2;2495;1;1671;6;8722;8046745;34;"";-47517;+387646;154119;483732;301;7;39;39;0;1679;510;0;1164;0
"10071";"Zitternberg";"Niederösterreich";"Horn";"Horn";"Horn";"Horn";"31106";"Gars am Kamp";226;683;0;124;41410;317;954178;149;119420;1;1701;0;0;59;392231;4;31141;0;0;1;26795;1;3629;2;717;0;0;0;0;0;0;0;0;0;0;33;61182;0;0;2;13314;1;7572;0;0;0;0;24;37200;0;0;0;0;0;0;6;3096;0;0;0;0;0;0;1601263;34;"";-49000;+383500;154009;483518;300;3;4;4;0;1403;1402;0;0;0
"10072";"Germanns";"Niederösterreich";"Horn";"Horn";"Horn";"Horn";"31119";"Röhrenbach";68;334;0;14;11440;232;1826207;26;40485;0;0;0;0;30;821902;6;1521;0;0;0;0;3;792;0;0;0;0;0;0;0;0;0;0;3;729;26;85736;0;0;0;0;0;0;4;13606;0;0;12;24070;0;0;0;0;0;0;3;4145;0;0;0;0;7;43915;2787291;34;"";-65000;+391900;152703;483944;500;3;3;3;0;77;77;0;0;0
"10073";"Kleinullrichschlag";"Niederösterreich";"Horn";"Horn";"Horn";"Horn";"31110";"Irnfritz";87;1022;0;51;37399;753;3318159;72;49752;0;0;0;0;119;1692229;1;4091;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4091;0;0;26;105189;0;0;0;0;4;22337;1;23931;0;0;15;52036;0;0;0;0;0;0;5;6645;0;0;0;0;1;240;5206819;34;"";-58692;+404270;153205;484627;527;4;3;3;0;471;471;0;0;0
"10074";"Tautendorf bei Gars";"Niederösterreich";"Horn";"Horn";"Horn";"Horn";"31106";"Gars am Kamp";225;1332;0;113;47689;934;3624940;124;133726;0;0;0;0;107;951177;5;11049;0;0;0;0;1;1798;0;0;0;0;0;0;2;1902;1;76;1;7273;50;114513;0;0;0;0;11;64883;0;0;0;0;30;45542;0;0;0;0;0;0;8;3059;0;0;0;0;1;1029;4883094;34;"";-52488;+382463;153719;483443;432;6;39;39;0;791;791;0;0;0
"10101";"Amelsdorf";"Niederösterreich";"Horn";"Eggenburg";"Horn";"Horn";"31103";"Burgschleinitz - Kühnring";73;286;13;33;26249;173;2690738;25;38173;0;0;0;0;21;122270;7;10301;0;0;0;0;3;742;2;7044;0;0;0;0;0;0;0;0;2;2515;41;122177;0;0;5;43794;5;21845;0;0;0;0;22;41064;1;9121;1;506;0;0;4;2108;0;0;0;0;3;3739;3009908;34;"";-40820;+383664;154648;483525;413;5;27;27;0;1310;1256;0;53;0
"10102";"Brugg";"Niederösterreich";"Horn";"Eggenburg";"Horn";"Horn";"31124";"Sigmundsherberg";97;484;103;34;12580;207;1483869;34;22078;0;0;0;0;153;571920;4;8655;0;0;0;0;4;8655;0;0;0;0;0;0;0;0;0;0;0;0;52;75714;0;0;0;0;7;28673;0;0;0;0;25;33935;8;8670;0;0;0;0;8;912;0;0;0;0;4;3524;2174816;34;"";-43512;+396773;154431;484229;425;7;21;21;0;834;295;0;527;0
"10103";"Burgschleinitz";"Niederösterreich";"Horn";"Eggenburg";"Horn";"Horn";"31103";"Burgschleinitz - Kühnring";318;1024;46;236;87235;416;4307446;124;120031;1;1251;0;0;146;673384;9;40503;0;0;0;0;6;22372;0;0;0;0;0;0;0;0;1;13970;2;4161;111;254949;0;0;4;25691;3;25309;5;10681;0;0;64;136872;2;3493;0;0;0;0;20;16799;0;0;3;4068;10;32036;5484799;34;"";-38118;+385438;154859;483623;376;9;50;50;0;3372;3035;0;335;0
"10105";"Buttendorf";"Niederösterreich";"Horn";"Eggenburg";"Horn";"Horn";"31103";"Burgschleinitz - Kühnring";75;280;128;35;15711;135;1382661;25;25090;0;0;0;0;40;200042;2;8741;0;0;0;0;1;6929;1;1812;0;0;0;0;0;0;0;0;0;0;46;67530;0;0;0;0;8;30553;0;0;0;0;30;35501;0;0;0;0;0;0;6;401;0;0;0;0;2;1075;1699775;34;"";-43348;+383402;154444;483516;403;5;12;12;0;686;108;0;576;0
