"KG-NR";"KATASTRALGEMEINDE";"BUNDESLAND";"VERMESSUNGSAMT";"BEZIRKSGERICHT";"FINANZAMT";"BEZIRKSHAUPTMANNSCHAFT/MAGISTRAT";"PG-NR";"POLITISCHE GEMEINDE";"ANZ_EZ";"ANZ_GST";"ANZ_GST GK";"ANZ_BAUFLÄCHEN";"FL_BAUFLÄCHEN";"ANZ_LANDW. GENUTZT";"FL_LANDW. GENUTZT";"ANZ_GÄRTEN";"FL_GÄRTEN";"ANZ_WEINGÄRTEN";"FL_WEINGÄRTEN";"ANZ_ALPEN";"FL_ALPEN";"ANZ_WALD";"FL_WALD";"ANZ_GEWÄSSER";"FL_GEWÄSSER";"ANZ_Strom";"FL_Strom";"ANZ_Flüsse";"FL_Flüsse";"ANZ_Bäche";"FL_Bäche";"ANZ_Gräben";"FL_Gräben";"ANZ_Kanäle";"FL_Kanäle";"ANZ_Seen";"FL_Seen";"ANZ_Sümpfe";"FL_Sümpfe";"ANZ_Teiche";"FL_Teiche";"ANZ_andere GEWÄSSER";"FL_andere GEWÄSSER";"ANZ_SONSTIGE";"FL_SONSTIGE";"ANZ_Bundesstraßen A";"FL_Bundesstraßen A";"ANZ_Bundesstraßen S und B";"FL_Bundesstraßen S und B";"ANZ_Landesstraßen";"FL_Landesstraßen";"ANZ_Bezirksstraßen";"FL_Bezirksstraßen";"ANZ_Güterwege";"FL_Güterwege";"ANZ_Wege";"FL_Wege";"ANZ_Straßen";"FL_Straßen";"ANZ_Gassen";"FL_Gassen";"ANZ_Plätze";"FL_Plätze";"ANZ_Ortsraum";"FL_Ortsraum";"ANZ_Bahngrund";"FL_Bahngrund";"ANZ_Unproduktiv (Öde)";"FL_Unproduktiv (Öde)";"ANZ_andere SONSTIGE";"FL_andere SONSTIGE";"FL_KATASTRALGEMEINDE";"MER";"ZENTRUM Bezeichnung";"y-Koord";"x-Koord";"y-ggmmss";"x-ggmmss";"Höhe";"ANZ_TP";"ANZ_EP";"ANZ_EPterr";"ANZ_EPphot";"ANZ_GP";"ANZ_GP E";"ANZ_GP S";"ANZ_GP G";"ANZ_GP PP"
"01002";"Alsergrund";"Wien";"Wien";"Josefstadt";"für den 9.,18. u. 19. Bezirk";"Alsergrund";"90001";"Wien";1635;2385;59;1689;1620435;0;0;347;311748;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;352;1025965;0;0;24;65648;0;0;0;0;0;0;12;20847;77;271473;185;384445;14;45755;0;0;23;196026;2;59;15;41712;2958148;34;"";+1762;+342442;162125;481315;177;38;9;9;0;2050;1510;0;539;0
"01004";"Innere Stadt";"Wien";"Wien";"Innere Stadt Wien";"für den 1. Bezirk";"Innere Stadt";"90001";"Wien";1312;1935;17;1431;1371048;0;0;50;123275;0;0;0;0;0;0;1;56337;0;0;1;56337;0;0;0;0;0;0;0;0;0;0;0;0;0;0;454;1321997;0;0;23;29491;0;0;0;0;0;0;3;22069;95;368857;232;428787;76;300673;0;0;9;3201;0;0;16;168919;2872657;34;"";+3041;+341095;162227;481232;171;47;3;3;0;2852;2655;0;183;0
"01005";"Josefstadt";"Wien";"Wien";"Josefstadt";"für den 8.,16. u. 17. Bezirk";"Josefstadt";"90001";"Wien";951;1346;23;996;685683;0;0;237;84860;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;114;320335;0;0;0;0;0;0;0;0;0;0;0;0;9;90401;80;172568;7;31031;0;0;6;6035;0;0;12;20300;1090878;34;"";+1299;+341350;162103;481240;195;14;12;12;0;924;732;0;192;0
"01006";"Landstraße";"Wien";"Wien";"Innere Stadt Wien";"für den 3. u. 11. Bezirk";"Landstraße";"90001";"Wien";2899;4838;321;2924;3100073;130;394535;920;1306008;0;0;0;0;0;0;1;983;0;0;0;0;1;983;0;0;0;0;0;0;0;0;0;0;0;0;877;2372540;25;29710;8;22200;1;961;0;0;0;0;44;23035;220;623061;406;758967;51;210579;6;831;45;253730;6;2072;65;447394;7174139;34;"";+4904;+339561;162357;481142;169;80;50;50;0;7919;5685;0;2089;0
"01008";"Margarethen";"Wien";"Wien";"Innere Stadt Wien";"für den 4.,5. u. 10. Bezirk";"Margareten";"90001";"Wien";1636;2400;96;1760;1150366;3;1720;335;156842;0;0;0;0;0;0;3;369;0;0;3;369;0;0;0;0;0;0;0;0;0;0;0;0;0;0;299;697272;0;0;23;64175;0;0;0;0;0;0;1;219;56;166048;178;342052;15;39846;5;19848;7;50072;0;0;14;15012;2006569;34;"";+1561;+338669;162116;481113;170;23;16;16;0;2915;2111;0;787;0
"01009";"Mariahilf";"Wien";"Wien";"Innere Stadt Wien";"für den 6.,7. u. 15. Bezirk";"Mariahilf";"90001";"Wien";1156;1588;89;1203;894638;0;0;178;61800;0;0;0;0;0;0;2;60468;0;0;2;60468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;205;441386;0;0;6;2645;0;0;0;0;0;0;0;0;52;177082;127;225616;1;5449;2;973;3;7984;2;409;12;21228;1458292;34;"";+1492;+339841;162112;481151;192;22;10;10;0;2331;1687;0;640;0
"01010";"Neubau";"Wien";"Wien";"Josefstadt";"für den 6.,7. u. 15. Bezirk";"Neubau";"90001";"Wien";1327;1795;53;1370;1096840;0;0;257;88814;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;168;419124;0;0;9;18921;0;0;0;0;0;0;0;0;37;103121;98;232010;7;19611;0;0;2;13671;2;2097;13;29693;1604778;34;"";+810;+340388;162039;481209;207;21;6;6;0;1488;989;0;499;0
"01011";"Wieden";"Wien";"Wien";"Innere Stadt Wien";"für den 4.,5. u. 10. Bezirk";"Wieden";"90001";"Wien";1217;1782;55;1283;1016818;0;0;283;215118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;216;570061;0;0;10;44706;0;0;0;0;0;0;0;0;49;173194;121;227667;18;56339;0;0;3;20409;5;4859;10;42887;1801997;34;"";+2629;+339726;162207;481147;200;21;10;10;0;2602;2209;0;386;0
"01101";"Favoriten";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";2003;3239;227;2081;1646847;250;500775;286;554319;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;625;2542939;0;0;1;587;0;0;0;0;0;0;30;27522;123;349665;322;546557;34;121577;1;498;13;1202497;10;47624;91;246412;5244880;34;"";+3477;+337318;162248;481029;248;32;30;30;0;3874;2526;0;1264;0
"01102";"Inzersdorf Stadt";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";1205;3211;542;1322;1278448;379;2070208;1034;1856988;0;0;0;0;0;0;5;46918;0;0;0;0;1;1169;0;0;0;0;0;0;0;0;4;45749;0;0;501;2602926;0;0;6;15784;0;0;0;0;0;0;88;376199;93;386224;223;506224;29;130460;0;0;8;203980;2;1397;52;982658;7855488;34;"";+1862;+336348;162130;480958;243;24;61;61;0;8180;5871;0;2148;0
"01103";"Kaiserebersdorf";"Wien";"Wien";"Innere Stadt Wien";"für den 3. u. 11. Bezirk";"Simmering";"90001";"Wien";1908;4869;1232;922;697365;756;2278199;2479;4031893;0;0;0;0;4;7419;17;34735;0;0;0;0;9;9960;2;312;4;24124;0;0;0;0;0;0;2;339;706;4699669;12;82474;33;73277;0;0;0;0;0;0;111;141069;203;352167;278;184210;9;37806;1;288;33;723722;3;495;23;3104161;11749280;34;"";+8753;+334818;162704;480908;174;41;59;59;0;5524;1898;0;3532;0
"01104";"Oberlaa Land";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";1239;2967;234;863;355860;1045;3126863;784;480452;0;0;0;0;0;0;12;133889;0;0;0;0;11;130742;0;0;0;0;0;0;0;0;1;3147;0;0;273;406576;0;0;5;670;0;0;0;0;0;0;53;43234;104;173831;71;56548;1;1369;2;71;8;5743;3;359;26;124751;4503640;34;"";+5410;+333004;162422;480809;175;6;41;41;0;4363;3220;0;1114;0
"01105";"Oberlaa Stadt";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";1210;2765;251;649;250700;972;3611856;754;1271607;71;181467;0;0;36;382144;3;34520;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;34520;0;0;300;1867463;3;22193;12;4503;0;0;0;0;0;0;68;76558;51;125225;113;154087;1;867;1;1611;11;203464;0;0;40;1278955;7599757;34;"";+5606;+335092;162431;480917;250;13;64;64;0;2393;1135;0;1243;0
"01106";"Rothneusiedl";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";165;472;59;109;74026;200;1645101;118;117413;0;0;0;0;0;0;7;10403;0;0;0;0;7;10403;0;0;0;0;0;0;0;0;0;0;0;0;39;51839;0;0;6;273;0;0;0;0;0;0;9;14109;12;19271;10;16875;1;297;0;0;0;0;0;0;1;1014;1898782;34;"";+3582;+333044;162253;480811;190;2;20;20;0;881;567;0;314;0
"01107";"Simmering";"Wien";"Wien";"Innere Stadt Wien";"für den 3. u. 11. Bezirk";"Simmering";"90001";"Wien";2136;5214;637;1788;2206300;802;2196574;1687;2900837;0;0;0;0;3;70510;11;25468;0;0;0;0;3;572;6;2005;2;22891;0;0;0;0;0;0;0;0;955;2994935;36;186609;20;49476;0;0;0;0;0;0;186;204754;240;519801;325;459010;23;22207;1;74;24;537549;2;546;98;1014909;10394624;34;"";+6711;+336798;162525;481012;173;56;63;63;0;5990;2363;0;3535;0
